General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Abdoulaye Doucouré,MLI,MF,29,1993,17.0,548,530,16,0,1,0,8,0,0,0,0,0,430,2,14
Alex Iwobi,NGA,"MF,FW",26,1996,37.5,1536,1469,58,3,14,13,104,31,17,14,1,0,1154,9,46
Amadou Onana,BEL,MF,20,2001,27.6,980,970,6,4,5,7,5,1,0,0,0,0,816,4,6
Anthony Gordon,ENG,FW,21,2001,12.2,280,272,7,0,1,1,25,1,2,2,0,0,193,1,10
Asmir Begović,BIH,GK,35,1987,1.0,30,21,9,1,0,0,0,0,0,0,0,0,21,0,0
Ben Godfrey,ENG,DF,24,1998,8.9,281,232,48,1,0,0,7,47,0,0,0,0,182,1,9
Conor Coady,ENG,DF,29,1993,23.3,1209,1169,35,31,1,10,1,3,0,0,0,0,1025,5,1
Dele Alli,ENG,MF,26,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0
Demarai Gray,JAM,"FW,MF",26,1996,27.9,838,666,172,57,2,8,173,7,74,53,20,0,579,0,38
Dominic Calvert-Lewin,ENG,FW,25,1997,12.9,221,220,1,0,0,1,6,0,0,0,0,0,131,0,9
Dwight McNeil,ENG,"FW,MF",22,1999,27.8,987,838,142,50,3,6,194,31,61,53,4,0,656,7,49
Ellis Simms,ENG,FW,21,2001,2.5,62,62,0,0,1,0,1,0,0,0,0,0,38,0,0
Idrissa Gana Gueye,SEN,MF,32,1989,28.6,1226,1205,17,13,1,4,10,3,0,0,0,0,1025,4,23
Isaac Price,NIR,MF,18,2003,0.4,14,14,0,0,0,0,1,0,0,0,0,0,12,0,0
James Garner,ENG,"MF,DF",21,2001,8.9,353,310,41,6,0,2,37,16,17,15,2,0,256,2,9
James Tarkowski,ENG,DF,29,1992,38.0,1633,1578,48,41,3,18,0,6,0,0,0,0,1322,7,4
Jordan Pickford,ENG,GK,28,1994,37.0,1312,823,484,169,1,7,0,0,0,0,0,0,749,5,1
Mason Holgate,ENG,DF,25,1996,5.6,217,191,24,7,1,5,2,17,0,0,0,0,143,2,2
Michael Keane,ENG,DF,29,1993,10.9,441,429,9,3,0,0,4,6,0,0,0,0,305,3,8
Nathan Patterson,SCO,"DF,MF",20,2001,14.2,649,503,145,7,1,0,39,137,1,0,0,0,488,1,14
Neal Maupay,FRA,FW,25,1996,12.4,253,222,30,1,0,1,3,2,0,0,0,0,190,1,10
Rúben Vinagre,POR,"DF,MF",23,1999,0.3,24,19,5,1,0,0,2,4,0,0,0,0,15,0,1
Salomón Rondón,VEN,FW,32,1989,1.2,29,28,1,0,0,0,0,1,0,0,0,0,22,0,0
Séamus Coleman,IRL,DF,33,1988,18.4,789,615,174,10,0,3,22,164,0,0,0,0,597,0,20
Thomas Cannon,IRL,FW,19,2002,0.3,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0
Tom Davies,ENG,MF,24,1998,6.0,234,227,6,5,3,3,2,1,0,0,0,0,173,1,6
Vitaliy Mykolenko,UKR,DF,23,1999,29.5,1292,1045,239,10,1,3,57,227,2,1,1,0,966,8,30
Yerry Mina,COL,DF,27,1994,6.6,325,309,15,13,0,1,1,2,0,0,0,0,286,1,1
