General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Abdoulaye Doucouré,MLI,MF,29,1993,17.0,31,20,9,15,7,12,37,32.4,25,26,3,23,13,44,11,0
Alex Iwobi,NGA,"MF,FW",26,1996,37.5,69,37,37,28,4,33,65,50.8,32,41,2,39,25,94,29,0
Amadou Onana,BEL,MF,20,2001,27.6,72,43,24,42,6,30,42,71.4,12,25,6,19,37,109,39,0
Anthony Gordon,ENG,FW,21,2001,12.2,34,22,17,10,7,8,24,33.3,16,19,0,19,4,38,11,0
Asmir Begović,BIH,GK,35,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ben Godfrey,ENG,DF,24,1998,8.9,20,11,13,5,2,11,29,37.9,18,12,6,6,8,28,33,1
Conor Coady,ENG,DF,29,1993,23.3,14,9,8,6,0,7,15,46.7,8,21,17,4,14,28,88,3
Dele Alli,ENG,MF,26,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Demarai Gray,JAM,"FW,MF",26,1996,27.9,33,24,9,14,10,17,31,54.8,14,23,3,20,13,46,18,0
Dominic Calvert-Lewin,ENG,FW,25,1997,12.9,4,2,1,0,3,1,5,20.0,4,5,1,4,3,7,18,0
Dwight McNeil,ENG,"FW,MF",22,1999,27.8,64,41,35,14,15,27,65,41.5,38,46,7,39,31,95,41,0
Ellis Simms,ENG,FW,21,2001,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Idrissa Gana Gueye,SEN,MF,32,1989,28.6,97,57,49,35,13,31,62,50.0,31,50,12,38,56,153,34,3
Isaac Price,NIR,MF,18,2003,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
James Garner,ENG,"MF,DF",21,2001,8.9,16,13,4,8,4,9,19,47.4,10,9,1,8,12,28,13,0
James Tarkowski,ENG,DF,29,1992,38.0,51,26,36,13,2,20,39,51.3,19,99,78,21,51,102,201,3
Jordan Pickford,ENG,GK,28,1994,37.0,0,0,0,0,0,0,1,0.0,1,0,0,0,4,4,15,3
Mason Holgate,ENG,DF,25,1996,5.6,11,7,8,3,0,3,11,27.3,8,7,3,4,7,18,28,0
Michael Keane,ENG,DF,29,1993,10.9,7,4,5,2,0,5,8,62.5,3,12,7,5,14,21,55,1
Nathan Patterson,SCO,"DF,MF",20,2001,14.2,49,24,32,13,4,29,54,53.7,25,24,4,20,15,64,45,0
Neal Maupay,FRA,FW,25,1996,12.4,11,5,3,4,4,2,4,50.0,2,8,0,8,5,16,0,0
Rúben Vinagre,POR,"DF,MF",23,1999,0.3,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0
Salomón Rondón,VEN,FW,32,1989,1.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Séamus Coleman,IRL,DF,33,1988,18.4,35,26,21,10,4,19,29,65.5,10,14,7,7,22,57,58,2
Thomas Cannon,IRL,FW,19,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tom Davies,ENG,MF,24,1998,6.0,15,9,5,9,1,7,14,50.0,7,10,1,9,4,19,7,1
Vitaliy Mykolenko,UKR,DF,23,1999,29.5,58,34,36,19,3,28,51,54.9,23,50,16,34,46,104,99,0
Yerry Mina,COL,DF,27,1994,6.6,15,8,9,6,0,9,11,81.8,2,7,4,3,6,21,28,0
