General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Bartłomiej Drągowski,POL,GK,24,1997,32.7,54,4,1,7,3,46.1,0.25,-4.9,-0.15,151,482,31.3,975,159,37.6,34.6,196,58.7,46.5,472,13,2.8,32,0.98,14.1
Federico Marchetti,ITA,GK,39,1983,0.7,2,0,0,0,0,1.5,0.48,-0.5,-0.74,2,4,50.0,10,2,10.0,24.3,8,37.5,32.4,8,0,0.0,1,1.36,22.0
Jeroen Zoet,NED,GK,31,1991,3.7,4,1,0,1,0,2.8,0.14,-1.2,-0.31,25,78,32.1,110,13,54.5,39.0,23,78.3,58.4,62,4,6.5,6,1.61,14.7
Petar Zovko,BIH,GK,20,2002,0.8,2,0,0,0,0,1.7,0.55,-0.3,-0.42,7,21,33.3,23,3,47.8,35.1,13,76.9,51.1,24,1,4.2,2,2.47,17.0
