General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Adolfo Gaich,ARG,FW,23,1999,8.1,2,24,8,33.3,2.98,0.99,0.08,0.25,16.8,0,0,0,2.5,2.5,0.1,-0.5,-0.5
Adrien Tameze,CMR,MF,28,1994,33.7,0,12,2,16.7,0.36,0.06,0.0,0.0,22.8,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Ajdin Hrustic,AUS,MF,26,1996,2.5,0,3,0,0.0,1.19,0.0,0.0,,19.4,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Alessandro Cortinovis,ITA,MF,21,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Antonín Barák,CZE,MF,27,1994,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bruno Amione,ARG,DF,20,2002,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Cyril Ngonge,BEL,"MF,FW",22,2000,8.3,3,26,10,38.5,3.14,1.21,0.12,0.3,23.5,0,0,0,2.0,2.0,0.08,1.0,1.0
Darko Lazović,SRB,"MF,DF",31,1990,24.9,4,43,14,32.6,1.73,0.56,0.09,0.29,18.8,4,0,0,3.6,3.6,0.08,0.4,0.4
Davide Faraoni,ITA,DF,30,1991,16.5,2,20,5,25.0,1.21,0.3,0.1,0.4,18.6,0,0,0,2.7,2.7,0.14,-0.7,-0.7
Deyovaisio Zeefuik,NED,DF,24,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Diego Coppola,ITA,DF,18,2003,13.1,0,3,0,0.0,0.23,0.0,0.0,,11.8,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Fabio Depaoli,ITA,DF,25,1997,24.1,2,19,4,21.1,0.79,0.17,0.11,0.5,16.0,0,0,0,1.7,1.7,0.09,0.3,0.3
Federico Ceccherini,ITA,DF,30,1992,15.7,2,7,2,28.6,0.44,0.13,0.29,1.0,15.0,0,0,0,0.8,0.8,0.11,1.2,1.2
Filippo Terracciano,ITA,"DF,MF",19,2003,9.1,0,5,3,60.0,0.55,0.33,0.0,0.0,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Giangiacomo Magnani,ITA,DF,26,1995,17.0,0,7,1,14.3,0.41,0.06,0.0,0.0,19.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Ibrahim Sulemana,GHA,MF,19,2003,7.2,0,9,3,33.3,1.24,0.41,0.0,0.0,24.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Isak Hien,SWE,DF,23,1999,29.0,0,3,0,0.0,0.1,0.0,0.0,,8.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Ivan Ilić,SRB,MF,21,2001,9.5,0,9,2,22.2,0.95,0.21,0.0,0.0,21.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Jayden Braaf,NED,"MF,FW",19,2002,3.2,0,9,3,33.3,2.81,0.94,0.0,0.0,16.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Josh Doig,SCO,DF,20,2002,15.0,2,18,6,33.3,1.2,0.4,0.11,0.33,16.1,0,0,0,1.8,1.8,0.1,0.2,0.2
Juan David Cabal,COL,DF,21,2001,4.9,0,1,1,100.0,0.2,0.2,0.0,0.0,32.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Kevin Lasagna,ITA,"FW,MF",29,1992,17.5,1,52,11,21.2,2.98,0.63,0.02,0.09,18.2,0,0,0,6.0,6.0,0.12,-5.0,-5.0
Koray Günter,GER,DF,27,1994,11.1,1,9,1,11.1,0.81,0.09,0.11,1.0,14.2,0,0,0,0.9,0.9,0.1,0.1,0.1
Lorenzo Montipò,ITA,GK,26,1996,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Martin Hongla,CMR,MF,24,1998,5.8,0,5,2,40.0,0.86,0.34,0.0,0.0,28.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Miguel Veloso,POR,MF,36,1986,12.9,0,16,2,12.5,1.24,0.15,0.0,0.0,23.3,2,0,0,0.5,0.5,0.03,-0.5,-0.5
Milan Đurić,BIH,FW,32,1990,15.2,1,16,5,31.3,1.05,0.33,0.06,0.2,10.7,0,0,0,1.4,1.4,0.09,-0.4,-0.4
Oliver Abildgaard,DEN,MF,26,1996,6.6,0,3,2,66.7,0.46,0.3,0.0,0.0,14.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ondrej Duda,SVK,MF,27,1994,11.8,0,13,4,30.8,1.1,0.34,0.0,0.0,22.6,1,0,0,0.8,0.8,0.07,-0.8,-0.8
Panagiotis Retsos,GRE,DF,23,1998,1.4,0,1,0,0.0,0.74,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Paweł Dawidowicz,POL,DF,27,1995,18.1,1,11,2,18.2,0.61,0.11,0.09,0.5,10.7,0,0,0,1.1,1.1,0.1,-0.1,-0.1
Roberto Piccoli,ITA,FW,21,2001,2.1,0,4,2,50.0,1.87,0.94,0.0,0.0,12.7,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Simone Perilli,ITA,GK,27,1995,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Simone Verdi,ITA,"MF,FW",30,1992,12.2,5,29,10,34.5,2.38,0.82,0.14,0.4,20.9,6,1,1,2.6,1.8,0.06,2.4,2.2
Thomas Henry,FRA,FW,27,1994,11.4,2,18,5,27.8,1.57,0.44,0.11,0.4,17.4,0,0,0,1.7,1.7,0.1,0.3,0.3
Yayah Kallon,SLE,"MF,FW",21,2001,9.6,1,20,6,30.0,2.09,0.63,0.05,0.17,19.4,0,0,0,1.7,1.7,0.08,-0.7,-0.7
