General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Adolfo Gaich,ARG,FW,23,1999,8.1,2,0,0,17,13,4,0,3,3,1,0,1,14,25,51,32.9
Adrien Tameze,CMR,MF,28,1994,33.7,3,0,0,32,31,1,21,37,30,0,0,0,218,27,31,46.6
Ajdin Hrustic,AUS,MF,26,1996,2.5,0,0,0,7,2,0,7,0,1,0,0,0,11,1,3,25.0
Alessandro Cortinovis,ITA,MF,21,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0
Antonín Barák,CZE,MF,27,1994,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Bruno Amione,ARG,DF,20,2002,0.6,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0
Cyril Ngonge,BEL,"MF,FW",22,2000,8.3,2,0,0,13,11,5,18,6,3,0,1,0,29,17,35,32.7
Darko Lazović,SRB,"MF,DF",31,1990,24.9,0,0,0,8,3,9,123,16,13,0,0,0,142,6,16,27.3
Davide Faraoni,ITA,DF,30,1991,16.5,7,0,0,21,11,4,37,15,24,0,0,0,85,14,21,40.0
Deyovaisio Zeefuik,NED,DF,24,1998,0.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Diego Coppola,ITA,DF,18,2003,13.1,5,0,0,10,0,0,3,14,17,0,1,0,70,47,34,58.0
Fabio Depaoli,ITA,DF,25,1997,24.1,7,0,0,43,31,4,60,18,28,0,0,0,113,24,39,38.1
Federico Ceccherini,ITA,DF,30,1992,15.7,9,1,0,31,19,0,6,19,19,0,0,0,102,30,17,63.8
Filippo Terracciano,ITA,"DF,MF",19,2003,9.1,2,0,0,7,17,0,25,10,13,0,0,0,47,15,20,42.9
Giangiacomo Magnani,ITA,DF,26,1995,17.0,7,1,0,22,8,0,4,21,22,0,0,1,93,33,21,61.1
Ibrahim Sulemana,GHA,MF,19,2003,7.2,4,0,0,11,3,1,2,14,13,0,0,0,55,10,12,45.5
Isak Hien,SWE,DF,23,1999,29.0,9,0,0,52,23,0,1,31,36,0,0,0,229,80,53,60.2
Ivan Ilić,SRB,MF,21,2001,9.5,1,0,0,9,9,0,47,8,10,0,0,0,72,10,13,43.5
Jayden Braaf,NED,"MF,FW",19,2002,3.2,1,0,0,8,1,3,5,2,3,0,0,0,13,0,5,0.0
Josh Doig,SCO,DF,20,2002,15.0,1,0,0,14,7,2,46,11,8,0,0,0,93,16,23,41.0
Juan David Cabal,COL,DF,21,2001,4.9,3,0,0,7,2,1,8,13,6,0,0,0,41,18,15,54.5
Kevin Lasagna,ITA,"FW,MF",29,1992,17.5,2,0,0,25,22,15,13,5,6,0,0,0,64,20,68,22.7
Koray Günter,GER,DF,27,1994,11.1,3,0,0,17,10,0,3,30,6,0,0,0,81,22,21,51.2
Lorenzo Montipò,ITA,GK,26,1996,37.0,1,0,0,0,5,0,0,0,0,0,0,0,55,4,2,66.7
Martin Hongla,CMR,MF,24,1998,5.8,4,0,0,11,4,0,8,6,5,0,0,0,48,5,8,38.5
Miguel Veloso,POR,MF,36,1986,12.9,6,0,0,20,8,1,62,6,10,0,0,1,114,14,14,50.0
Milan Đurić,BIH,FW,32,1990,15.2,3,0,0,24,29,5,0,1,1,0,0,0,30,197,57,77.6
Oliver Abildgaard,DEN,MF,26,1996,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4
Ondrej Duda,SVK,MF,27,1994,11.8,4,0,0,17,26,0,14,13,14,0,0,0,107,11,14,44.0
Panagiotis Retsos,GRE,DF,23,1998,1.4,0,0,0,4,2,0,0,2,4,0,0,0,7,3,3,50.0
Paweł Dawidowicz,POL,DF,27,1995,18.1,6,1,0,37,13,1,13,23,31,0,0,0,120,43,27,61.4
Roberto Piccoli,ITA,FW,21,2001,2.1,0,0,0,2,3,4,3,0,0,0,0,0,4,3,13,18.8
Simone Perilli,ITA,GK,27,1995,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Simone Verdi,ITA,"MF,FW",30,1992,12.2,3,0,0,15,26,1,77,0,10,0,0,0,66,9,14,39.1
Thomas Henry,FRA,FW,27,1994,11.4,4,0,0,27,16,9,5,0,3,0,0,0,29,46,39,54.1
Yayah Kallon,SLE,"MF,FW",21,2001,9.6,1,0,0,13,21,4,33,8,10,0,0,0,40,9,22,29.0
