name,position,id
Virgil van Dijk,DF,e06683ca
Trent Alexander-Arnold,DF,cd1acf9d
Georginio Wijnaldum,MF,eb58eef0
Andrew Robertson,DF,2e4f5f03
Roberto Firmino,FW,4c370d81
Mohamed Salah,FW,e342ad68
Sadio Mané,FW,c691bfe2
Alisson,GK,7a2e46a8
Jordan Henderson,MF,935e6b8f
Fabinho,MF,7f3b388c
Joe Gomez,DF,7a11550b
Alex Oxlade-Chamberlain,"MF,FW",38c7feef
James Milner,"MF,DF",2f90f6b8
Adrián,GK,f76e6b4e
Naby Keïta,MF,f25c8e3a
Dejan Lovren,DF,1a2935f6
Joël Matip,DF,b217ef29
Divock Origi,FW,43a166b4
Adam Lallana,"MF,FW",99813635
Neco Williams,DF,dd323728
Takumi Minamino,"FW,MF",f833a830
Xherdan Shaqiri,"FW,MF",6421ec64
Curtis Jones,MF,4fb9c88f
Harvey Elliott,DF,b9e1436c
Rhian Brewster,FW,30e81a88
Ki-Jana Hoever,"DF,MF",9a71e978
Caoimhín Kelleher,GK,62d7ef38
Andy Lonergan,GK,165cf989
Nathaniel Phillips,DF,515ebe8d
