name,position,id
David de Gea,GK,7ba6d84e
Harry Maguire,DF,d8931174
Victor Lindelöf,DF,f5deef4c
Aaron Wan-Bissaka,DF,9e525177
Marcus Rashford,FW,a1d5bd30
Anthony Martial,FW,8b788c01
Daniel James,FW,c931d9f9
Fred,MF,b853e0ad
Scott McTominay,MF,d93c2511
Luke Shaw,DF,9c94165b
Nemanja Matić,MF,eb7822d7
Andreas Pereira,"MF,FW",6639e500
Bruno Fernandes,MF,507c7bdf
Paul Pogba,MF,867239d3
Mason Greenwood,FW,58eee997
Brandon Williams,DF,5e74d6c8
Ashley Young,DF,be927d03
Jesse Lingard,"MF,FW",810e3c74
Juan Mata,"MF,FW",29733c72
Axel Tuanzebe,DF,2baec6ce
Timothy Fosu-Mensah,DF,a9142dc3
Phil Jones,DF,def899bd
Eric Bailly,DF,a1232f4e
Marcos Rojo,DF,e0991c04
Diogo Dalot,"DF,MF",d9565625
Odion Ighalo,FW,03622183
Tahith Chong,"FW,DF",2696b6a9
Angel Gomes,MF,645a3363
James Garner,MF,4e015693
Lee Grant,GK,9dab6e3b
Sergio Romero,GK,1e26e376
