General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Adil Aouchiche,FRA,MF,20,2002,2.8,154,133,21,8,0,4,17,3,8,2,4,0,115,0,4
Adrian Grbić,AUT,"MF,FW",25,1996,0.3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Armand Lauriente,FRA,FW,23,1998,3.0,95,92,3,1,2,0,6,0,2,1,1,0,73,0,1
Ayman Kari,FRA,"MF,DF",17,2004,1.1,74,73,0,0,0,0,0,0,0,0,0,0,67,1,1
Bamba Dieng,SEN,FW,22,2000,8.3,141,135,6,0,1,0,5,2,0,0,0,0,106,0,9
Bamo Meïté,CIV,DF,20,2001,16.7,936,912,24,22,0,1,0,2,0,0,0,0,838,0,7
Bonke Innocent,NGA,MF,26,1996,13.1,577,568,9,8,0,4,0,1,0,0,0,0,515,0,5
Chrislain Matsima,FRA,"DF,MF",20,2002,2.5,127,120,7,7,0,0,0,0,0,0,0,0,108,0,3
Dango Ouattara,BFA,"FW,MF",20,2002,17.2,444,431,12,1,6,0,33,8,2,0,0,0,267,1,10
Darlin Yongwa,CMR,DF,21,2000,8.7,331,275,55,2,0,0,20,53,0,0,0,0,264,1,15
Eli Junior Kroupi,FRA,"FW,MF",16,2006,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Enzo Le Fée,FRA,MF,22,2000,33.6,2118,1863,249,103,11,13,136,13,94,39,38,2,1708,6,48
Gedeon Kalulu,COD,DF,24,1997,27.1,1375,1151,219,44,0,4,29,175,0,0,0,0,1101,5,37
Ibrahima Koné,MLI,FW,23,1999,17.5,359,351,8,0,2,0,1,1,0,0,0,0,240,0,11
Igor Carioca,BRA,DF,25,1996,5.1,274,228,45,4,2,0,14,41,0,0,0,0,224,1,10
Jean-Victor Makengo,FRA,MF,24,1998,11.8,540,525,12,9,2,1,1,2,0,0,0,0,475,3,5
Julien Laporte,FRA,DF,28,1993,18.4,799,779,18,12,0,10,0,2,0,0,0,0,681,2,6
Julien Ponceau,FRA,MF,21,2000,18.4,840,786,50,12,2,2,12,9,2,0,0,0,691,4,23
Laurent Abergel,FRA,MF,29,1993,26.0,1483,1431,49,47,10,8,6,1,1,0,0,0,1308,3,14
Montassar Talbi,TUN,DF,24,1998,38.0,1970,1821,147,56,0,1,2,3,0,0,0,0,1753,2,10
Quentin Boisgard,FRA,MF,25,1997,2.0,98,91,7,1,0,0,8,0,5,3,2,0,79,0,2
Romain Faivre,FRA,"MF,FW",24,1998,13.8,543,496,44,16,4,2,26,6,19,11,3,0,452,3,11
Siriné Doucouré,MLI,"FW,MF",20,2002,1.5,46,44,1,0,1,0,0,0,1,0,0,0,29,1,3
Stéphane Diarra,FRA,"FW,MF",23,1998,11.8,328,313,15,1,0,0,15,10,4,2,0,0,240,0,15
Terem Moffi,NGA,FW,23,1999,15.4,208,204,2,0,2,1,3,0,0,0,0,0,154,2,6
Théo Le Bris,FRA,"MF,DF",19,2002,16.1,611,550,58,7,0,0,13,47,0,0,0,0,491,3,19
Vincent Le Goff,FRA,DF,32,1989,37.0,2044,1716,322,63,2,2,39,259,0,0,0,0,1702,6,36
Vito Mannone,ITA,GK,34,1988,17.9,583,417,166,54,0,0,0,0,0,0,0,0,444,0,0
Yoann Cathline,FRA,"FW,MF",20,2002,12.1,361,327,33,6,1,0,48,20,7,2,4,0,241,1,21
Yvon Mvogo,SUI,GK,28,1994,20.1,622,417,201,56,0,2,0,0,0,0,0,0,466,4,1
