General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Adil Aouchiche,FRA,MF,20,2002,2.8,115,154,74.7,1969,665,56,62,90.3,41,51,80.4,12,30,40.0,0,0.1,0.1,-0.1,1,15,3,0,23
Adrian Grbić,AUT,"MF,FW",25,1996,0.3,1,2,50.0,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Armand Lauriente,FRA,FW,23,1998,3.0,73,95,76.8,1175,373,28,33,84.8,33,38,86.8,5,11,45.5,0,1.1,0.8,-1.1,9,6,5,0,14
Ayman Kari,FRA,"MF,DF",17,2004,1.1,67,74,90.5,939,192,38,40,95.0,20,22,90.9,4,4,100.0,0,0.0,0.1,0.0,1,2,2,0,7
Bamba Dieng,SEN,FW,22,2000,8.3,106,141,75.2,1536,201,56,69,81.2,37,46,80.4,6,10,60.0,0,0.6,0.3,-0.6,5,5,0,0,7
Bamo Meïté,CIV,DF,20,2001,16.7,838,936,89.5,14114,5481,340,360,94.4,424,449,94.4,42,85,49.4,0,0.1,0.1,-0.1,1,25,1,0,32
Bonke Innocent,NGA,MF,26,1996,13.1,515,577,89.3,8110,1984,245,268,91.4,211,230,91.7,31,43,72.1,1,0.3,0.2,0.7,5,30,1,0,31
Chrislain Matsima,FRA,"DF,MF",20,2002,2.5,108,127,85.0,2009,663,34,36,94.4,62,68,91.2,8,16,50.0,0,0.0,0.0,0.0,0,3,0,0,1
Dango Ouattara,BFA,"FW,MF",20,2002,17.2,267,444,60.1,3726,1232,151,220,68.6,85,152,55.9,13,34,38.2,5,3.1,3.0,1.9,23,20,23,2,39
Darlin Yongwa,CMR,DF,21,2000,8.7,264,331,79.8,3562,1191,175,198,88.4,77,95,81.1,6,16,37.5,1,1.7,0.7,-0.7,9,11,16,3,24
Eli Junior Kroupi,FRA,"FW,MF",16,2006,0.1,4,4,100.0,46,22,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Enzo Le Fée,FRA,MF,22,2000,33.6,1708,2118,80.6,28806,9189,773,868,89.1,645,777,83.0,184,307,59.9,6,6.8,4.7,-0.8,67,170,37,5,218
Gedeon Kalulu,COD,DF,24,1997,27.1,1101,1375,80.1,17656,6738,561,623,90.0,415,510,81.4,77,153,50.3,4,1.5,1.2,2.5,23,82,17,5,106
Ibrahima Koné,MLI,FW,23,1999,17.5,240,359,66.9,2822,790,151,205,73.7,59,100,59.0,3,7,42.9,1,1.0,1.0,0.0,15,17,3,0,27
Igor Carioca,BRA,DF,25,1996,5.1,224,274,81.8,3429,1228,119,133,89.5,86,102,84.3,12,23,52.2,0,0.5,0.3,-0.5,2,17,5,1,22
Jean-Victor Makengo,FRA,MF,24,1998,11.8,475,540,88.0,6908,1677,261,288,90.6,168,185,90.8,19,28,67.9,0,0.5,0.7,-0.5,8,33,3,0,42
Julien Laporte,FRA,DF,28,1993,18.4,681,799,85.2,14120,4913,196,213,92.0,377,406,92.9,96,156,61.5,0,0.0,0.1,0.0,1,52,1,0,41
Julien Ponceau,FRA,MF,21,2000,18.4,691,840,82.3,10711,3196,352,407,86.5,260,302,86.1,42,59,71.2,4,3.0,2.0,1.0,26,75,12,1,101
Laurent Abergel,FRA,MF,29,1993,26.0,1308,1483,88.2,22287,7579,593,640,92.7,562,617,91.1,111,160,69.4,1,1.3,1.1,-0.3,14,144,11,0,143
Montassar Talbi,TUN,DF,24,1998,38.0,1753,1970,89.0,31264,10740,614,653,94.0,970,1030,94.2,113,218,51.8,2,0.5,0.6,1.5,5,40,2,1,61
Quentin Boisgard,FRA,MF,25,1997,2.0,79,98,80.6,1013,236,54,60,90.0,19,25,76.0,2,6,33.3,0,0.1,0.4,-0.1,4,9,4,0,11
Romain Faivre,FRA,"MF,FW",24,1998,13.8,452,543,83.2,6643,1953,254,290,87.6,152,178,85.4,22,37,59.5,3,2.1,2.6,0.9,17,33,22,2,67
Siriné Doucouré,MLI,"FW,MF",20,2002,1.5,29,46,63.0,381,112,15,22,68.2,11,17,64.7,0,0,,1,0.6,0.7,0.4,5,1,3,0,5
Stéphane Diarra,FRA,"FW,MF",23,1998,11.8,240,328,73.2,3312,1087,138,180,76.7,82,107,76.6,9,15,60.0,0,1.7,0.8,-1.7,11,8,12,1,33
Terem Moffi,NGA,FW,23,1999,15.4,154,208,74.0,2056,532,89,117,76.1,54,66,81.8,3,5,60.0,0,0.5,0.7,-0.5,9,14,5,0,20
Théo Le Bris,FRA,"MF,DF",19,2002,16.1,491,611,80.4,6675,1852,304,358,84.9,160,187,85.6,10,24,41.7,2,1.2,1.7,0.8,14,26,11,2,47
Vincent Le Goff,FRA,DF,32,1989,37.0,1702,2044,83.3,26725,11113,867,967,89.7,690,791,87.2,93,189,49.2,0,0.7,1.7,-0.7,14,135,28,9,178
Vito Mannone,ITA,GK,34,1988,17.9,444,583,76.2,10835,7099,94,95,98.9,252,255,98.8,97,232,41.8,0,0.0,0.0,0.0,0,2,0,0,0
Yoann Cathline,FRA,"FW,MF",20,2002,12.1,241,361,66.8,3681,1269,134,170,78.8,82,129,63.6,17,37,45.9,1,0.7,0.7,0.3,6,14,13,6,29
Yvon Mvogo,SUI,GK,28,1994,20.1,466,622,74.9,12098,8637,114,114,100.0,211,211,100.0,136,287,47.4,0,0.0,0.0,0.0,0,5,0,0,0
