General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Adil Aouchiche,FRA,MF,20,2002,11,250,23,7.3,2.8,1,73,0,10,18,14,0.82,3,5,-2,-0.72,-0.75,3.5,2.9,0.5,0.19,0.59
Adrian Grbić,AUT,"MF,FW",25,1996,2,25,13,0.7,0.3,0,,0,2,13,10,1.0,0,0,0,0.0,0.03,0.3,0.3,-0.1,-0.28,0.08
Armand Lauriente,FRA,FW,23,1998,3,266,89,7.8,3.0,3,89,0,0,,0,2.33,5,3,2,0.68,0.76,6.3,4.0,2.3,0.79,1.25
Aurélien Pelon,FRA,MF,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ayman Kari,FRA,"MF,DF",17,2004,5,96,19,2.8,1.1,0,,0,5,19,7,2.0,2,2,0,0.0,0.03,3.1,1.5,1.6,1.53,1.94
Bamba Dieng,SEN,FW,22,2000,15,747,50,21.8,8.3,9,69,0,6,21,0,1.07,7,7,0,0.0,0.03,10.9,10.8,0.1,0.01,0.47
Bamo Meïté,CIV,DF,20,2001,17,1503,88,43.9,16.7,16,90,15,1,69,9,1.17,20,23,-3,-0.18,-0.27,19.0,24.9,-5.8,-0.35,0.02
Bonke Innocent,NGA,MF,26,1996,25,1182,47,34.6,13.1,14,67,2,11,23,7,1.6,18,19,-1,-0.08,-0.08,11.3,22.4,-11.1,-0.85,-0.75
Chrislain Matsima,FRA,"DF,MF",20,2002,6,227,38,6.6,2.5,2,90,2,4,12,8,1.67,3,5,-2,-0.79,-0.82,1.6,5.9,-4.3,-1.71,-1.45
Dango Ouattara,BFA,"FW,MF",20,2002,18,1548,86,45.3,17.2,18,86,13,0,,0,1.61,27,25,2,0.12,0.26,21.1,26.6,-5.4,-0.32,0.08
Darlin Yongwa,CMR,DF,21,2000,14,781,56,22.8,8.7,8,83,5,6,20,23,1.0,8,13,-5,-0.58,-0.71,9.6,12.4,-2.8,-0.32,0.05
Eli Junior Kroupi,FRA,"FW,MF",16,2006,1,8,8,0.2,0.1,0,,0,1,8,2,3.0,0,0,0,0.0,0.03,0.0,0.1,0.0,-0.18,0.18
Enzo Le Fée,FRA,MF,22,2000,35,3028,87,88.5,33.6,35,87,22,0,,0,1.54,49,47,2,0.06,0.75,40.2,51.7,-11.5,-0.34,0.15
Gedeon Kalulu,COD,DF,24,1997,29,2438,84,71.3,27.1,28,86,23,1,25,0,1.55,41,40,1,0.04,0.22,32.1,45.9,-13.8,-0.51,-0.53
Ibrahima Koné,MLI,FW,23,1999,37,1577,43,46.1,17.5,15,76,5,22,20,1,1.46,24,23,1,0.06,0.15,19.0,25.1,-6.2,-0.35,0.01
Igor Carioca,BRA,DF,25,1996,7,456,65,13.3,5.1,5,84,2,2,17,9,1.14,4,5,-1,-0.2,-0.2,5.4,6.3,-0.8,-0.17,0.22
Jean-Victor Makengo,FRA,MF,24,1998,15,1064,71,31.1,11.8,12,80,7,3,35,0,1.07,9,14,-5,-0.42,-0.58,12.6,16.0,-3.4,-0.29,0.1
Julian Pollersbeck,GER,GK,27,1994,0,,,,,0,,0,0,,11,,,,,,,,,,,
Julien Laporte,FRA,DF,28,1993,20,1654,83,48.4,18.4,19,86,17,1,24,2,1.7,29,26,3,0.16,0.37,23.3,27.4,-4.1,-0.22,0.27
Julien Ponceau,FRA,MF,21,2000,31,1655,53,48.4,18.4,20,72,3,11,19,6,1.29,29,29,0,0.0,0.05,22.1,29.1,-7.0,-0.38,-0.04
Laurent Abergel,FRA,MF,29,1993,29,2342,81,68.5,26.0,28,83,19,1,26,0,1.72,38,35,3,0.12,0.45,31.6,39.7,-8.1,-0.31,0.16
Loris Mouyokolo,FRA,DF,21,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Léo Pétrot,FRA,DF,25,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
Maxime Wackers,FRA,DF,24,1998,0,,,,,0,,0,0,,12,,,,,,,,,,,
Montassar Talbi,TUN,DF,24,1998,38,3420,90,100.0,38.0,38,90,38,0,,0,1.45,52,53,-1,-0.03,,44.5,58.2,-13.6,-0.36,
Pablo Pagis,FRA,MF,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Paul Bellon,FRA,MF,22,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Paul Nardi,FRA,GK,28,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Quentin Boisgard,FRA,MF,25,1997,5,184,37,5.4,2.0,1,67,0,4,29,7,1.2,2,0,2,0.98,1.06,2.6,1.6,0.9,0.44,0.85
Romain Faivre,FRA,"MF,FW",24,1998,16,1246,78,36.4,13.8,14,83,6,2,40,0,1.19,14,15,-1,-0.07,-0.07,15.2,17.6,-2.4,-0.17,0.29
Samuel Loric,FRA,DF,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Siriné Doucouré,MLI,"FW,MF",20,2002,12,136,11,4.0,1.5,0,,0,12,11,16,1.25,4,1,3,1.99,2.09,4.0,2.3,1.7,1.14,1.56
Stéphane Diarra,FRA,"FW,MF",23,1998,28,1066,38,31.2,11.8,14,62,0,14,14,9,1.46,21,22,-1,-0.08,-0.08,14.3,20.8,-6.4,-0.54,-0.26
Teddy Bartouche-Selbonne,GLP,GK,25,1997,0,,,,,0,,0,0,,13,,,,,,,,,,,
Terem Moffi,NGA,FW,23,1999,18,1386,77,40.5,15.4,17,80,6,1,31,0,1.72,25,25,0,0.0,0.04,18.0,25.5,-7.5,-0.49,-0.21
Théo Le Bris,FRA,"MF,DF",19,2002,27,1452,54,42.5,16.1,15,78,7,12,23,1,1.59,22,23,-1,-0.06,-0.06,17.8,25.3,-7.5,-0.46,-0.18
Vincent Le Goff,FRA,DF,32,1989,37,3330,90,97.4,37.0,37,90,37,0,,1,1.49,52,52,0,0.0,1.0,43.4,57.2,-13.8,-0.37,-0.49
Vito Mannone,ITA,GK,34,1988,18,1608,89,47.0,17.9,17,90,17,1,78,9,1.0,19,24,-5,-0.28,-0.48,17.6,28.7,-11.0,-0.62,-0.49
Yoann Cathline,FRA,"FW,MF",20,2002,23,1090,47,31.9,12.1,11,75,4,12,22,6,1.22,13,16,-3,-0.25,-0.32,12.0,18.1,-6.0,-0.5,-0.21
Yvon Mvogo,SUI,GK,28,1994,21,1812,86,53.0,20.1,21,86,20,0,,1,1.76,33,29,4,0.2,0.48,26.9,29.5,-2.6,-0.13,0.49
