General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Adil Aouchiche,FRA,MF,20,2002,2.8,0,8,3,37.5,2.88,1.08,0.0,0.0,17.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Adrian Grbić,AUT,"MF,FW",25,1996,0.3,0,3,0,0.0,10.8,0.0,0.0,,28.5,2,0,0,0.2,0.2,0.06,-0.2,-0.2
Armand Lauriente,FRA,FW,23,1998,3.0,1,14,5,35.7,4.74,1.69,0.07,0.2,18.2,2,0,0,1.8,1.8,0.13,-0.8,-0.8
Ayman Kari,FRA,"MF,DF",17,2004,1.1,0,4,0,0.0,3.75,0.0,0.0,,18.6,0,0,0,0.5,0.5,0.14,-0.5,-0.5
Bamba Dieng,SEN,FW,22,2000,8.3,3,21,7,33.3,2.53,0.84,0.1,0.29,16.0,0,1,1,4.9,4.1,0.23,-1.9,-2.1
Bamo Meïté,CIV,DF,20,2001,16.7,1,3,1,33.3,0.18,0.06,0.33,1.0,8.5,0,0,0,0.7,0.7,0.25,0.3,0.3
Bonke Innocent,NGA,MF,26,1996,13.1,0,4,0,0.0,0.3,0.0,0.0,,26.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Chrislain Matsima,FRA,"DF,MF",20,2002,2.5,0,1,0,0.0,0.4,0.0,0.0,,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Dango Ouattara,BFA,"FW,MF",20,2002,17.2,6,52,17,32.7,3.02,0.99,0.12,0.35,16.6,4,0,0,5.2,5.2,0.1,0.8,0.8
Darlin Yongwa,CMR,DF,21,2000,8.7,1,9,3,33.3,1.04,0.35,0.11,0.33,16.9,0,0,0,0.7,0.7,0.08,0.3,0.3
Eli Junior Kroupi,FRA,"FW,MF",16,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Enzo Le Fée,FRA,MF,22,2000,33.6,5,45,18,40.0,1.34,0.54,0.11,0.28,23.4,8,0,0,3.5,3.5,0.08,1.5,1.5
Gedeon Kalulu,COD,DF,24,1997,27.1,0,10,2,20.0,0.37,0.07,0.0,0.0,20.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Ibrahima Koné,MLI,FW,23,1999,17.5,7,28,13,46.4,1.6,0.74,0.18,0.38,16.1,0,2,3,5.6,3.2,0.12,1.4,1.8
Igor Carioca,BRA,DF,25,1996,5.1,0,4,1,25.0,0.79,0.2,0.0,0.0,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Jean-Victor Makengo,FRA,MF,24,1998,11.8,0,5,2,40.0,0.42,0.17,0.0,0.0,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Julien Laporte,FRA,DF,28,1993,18.4,0,6,2,33.3,0.33,0.11,0.0,0.0,14.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Julien Ponceau,FRA,MF,21,2000,18.4,1,14,4,28.6,0.76,0.22,0.07,0.25,18.5,0,0,0,1.8,1.8,0.13,-0.8,-0.8
Laurent Abergel,FRA,MF,29,1993,26.0,0,13,2,15.4,0.5,0.08,0.0,0.0,24.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Montassar Talbi,TUN,DF,24,1998,38.0,1,9,6,66.7,0.24,0.16,0.11,0.17,11.8,0,0,0,0.7,0.7,0.08,0.3,0.3
Quentin Boisgard,FRA,MF,25,1997,2.0,1,6,3,50.0,2.93,1.47,0.17,0.33,18.5,0,0,0,0.4,0.4,0.07,0.6,0.6
Romain Faivre,FRA,"MF,FW",24,1998,13.8,5,25,14,56.0,1.81,1.01,0.2,0.36,17.0,0,0,0,2.7,2.7,0.11,2.3,2.3
Siriné Doucouré,MLI,"FW,MF",20,2002,1.5,0,7,1,14.3,4.63,0.66,0.0,0.0,13.5,0,0,0,0.7,0.7,0.11,-0.7,-0.7
Stéphane Diarra,FRA,"FW,MF",23,1998,11.8,2,20,8,40.0,1.69,0.68,0.1,0.25,16.2,0,0,0,2.2,2.2,0.11,-0.2,-0.2
Terem Moffi,NGA,FW,23,1999,15.4,12,33,18,54.5,2.14,1.17,0.33,0.61,13.6,0,1,2,7.3,5.7,0.17,4.7,5.3
Théo Le Bris,FRA,"MF,DF",19,2002,16.1,2,10,4,40.0,0.62,0.25,0.2,0.5,14.0,0,0,0,1.1,1.1,0.11,0.9,0.9
Vincent Le Goff,FRA,DF,32,1989,37.0,0,17,6,35.3,0.46,0.16,0.0,0.0,18.3,0,0,0,1.2,1.2,0.07,-1.2,-1.2
Vito Mannone,ITA,GK,34,1988,17.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Yoann Cathline,FRA,"FW,MF",20,2002,12.1,1,26,9,34.6,2.15,0.74,0.04,0.11,20.3,0,0,0,1.5,1.5,0.06,-0.5,-0.5
Yvon Mvogo,SUI,GK,28,1994,20.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
