General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Abdou Diallo,SEN,"DF,MF",26,1996,5.3,6,5,5,1,0,1,3,33.3,2,8,5,3,8,14,22,0
Alexander Sørloth,NOR,FW,26,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Amadou Haidara,MLI,MF,24,1998,15.9,25,11,15,10,0,13,34,38.2,21,26,6,20,26,51,20,0
André Silva,POR,FW,26,1995,19.3,12,6,2,5,5,3,8,37.5,5,11,1,10,3,15,3,0
Benjamin Henrichs,GER,"DF,MF",25,1997,24.3,73,46,41,29,3,43,66,65.2,23,48,4,44,35,108,46,0
Christopher Nkunku,FRA,"FW,MF",24,1997,21.1,6,4,2,1,3,1,6,16.7,5,8,3,5,8,14,11,0
Dani Olmo,ESP,"MF,FW",24,1998,14.2,15,9,1,10,4,6,14,42.9,8,15,0,15,6,21,6,0
David Raum,GER,"DF,MF",24,1998,18.7,39,25,23,12,4,17,29,58.6,12,24,6,18,16,55,26,1
Dominik Szoboszlai,HUN,"MF,FW",21,2000,27.2,45,28,12,20,13,17,42,40.5,25,43,2,41,17,62,27,0
Emil Forsberg,SWE,"MF,FW",30,1991,16.5,16,11,1,8,7,6,20,30.0,14,25,2,23,3,19,7,0
Hugo Novoa,ESP,"DF,FW",19,2003,2.0,8,2,1,3,4,4,7,57.1,3,4,0,4,1,9,0,0
Janis Blaswich,GER,GK,31,1991,26.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0
Joško Gvardiol,CRO,DF,20,2002,24.1,23,17,15,8,0,9,22,40.9,13,34,17,17,34,57,76,1
Kevin Kampl,SVN,MF,31,1990,15.2,21,11,6,14,1,6,27,22.2,21,26,9,17,22,43,11,0
Konrad Laimer,AUT,MF,25,1997,16.3,60,31,23,30,7,30,54,55.6,24,31,4,27,18,78,8,0
Lukas Klostermann,GER,DF,26,1996,10.1,16,8,7,9,0,8,15,53.3,7,6,3,3,13,29,31,0
Marcel Halstenberg,GER,DF,30,1991,17.3,40,21,20,15,5,23,41,56.1,18,22,1,21,21,61,29,0
Mohamed Simakan,FRA,DF,22,2000,16.2,21,14,12,5,4,14,21,66.7,7,21,4,17,16,37,55,0
Péter Gulácsi,HUN,GK,32,1990,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Sanoussy Ba,GER,DF,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Timo Werner,GER,"FW,MF",26,1996,21.5,10,5,4,3,3,4,12,33.3,8,12,0,12,7,17,5,0
Willi Orban,HUN,DF,29,1992,32.8,51,30,33,18,0,26,43,60.5,17,42,24,18,39,90,129,1
Xaver Schlager,AUT,MF,24,1997,16.7,41,24,13,26,2,20,43,46.5,23,19,2,17,17,58,23,0
Yussuf Poulsen,DEN,FW,28,1994,4.6,6,4,1,4,1,2,5,40.0,3,3,1,2,0,6,5,0
Ørjan Nyland,NOR,GK,31,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
