General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Abdou Diallo,SEN,"DF,MF",26,1996,5.3,323,381,84.8,6092,2643,128,139,92.1,157,174,90.2,36,60,60.0,0,0.1,0.3,-0.1,1,25,4,0,24
Alexander Sørloth,NOR,FW,26,1995,0.1,2,2,100.0,21,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Amadou Haidara,MLI,MF,24,1998,15.9,684,824,83.0,11151,3521,345,406,85.0,272,310,87.7,51,72,70.8,1,1.5,1.3,-0.5,12,93,14,0,85
André Silva,POR,FW,26,1995,19.3,349,477,73.2,4277,862,241,291,82.8,75,104,72.1,9,14,64.3,3,2.9,2.9,0.1,26,16,13,0,37
Benjamin Henrichs,GER,"DF,MF",25,1997,24.3,1198,1538,77.9,19513,5932,624,711,87.8,480,576,83.3,77,165,46.7,2,1.8,3.5,0.2,20,92,31,10,109
Christopher Nkunku,FRA,"FW,MF",24,1997,21.1,497,620,80.2,7415,1852,289,335,86.3,136,160,85.0,44,66,66.7,4,4.3,4.6,-0.3,39,35,28,2,71
Dani Olmo,ESP,"MF,FW",24,1998,14.2,450,596,75.5,6561,1888,258,300,86.0,134,173,77.5,31,57,54.4,5,4.5,5.1,0.5,38,36,27,1,68
David Raum,GER,"DF,MF",24,1998,18.7,898,1189,75.5,15022,4628,454,503,90.3,347,436,79.6,79,178,44.4,2,4.6,5.0,-2.6,36,42,26,15,69
Dominik Szoboszlai,HUN,"MF,FW",21,2000,27.2,1262,1580,79.9,21421,5686,665,757,87.8,405,491,82.5,145,210,69.0,8,8.1,8.6,-0.1,70,107,46,9,151
Emil Forsberg,SWE,"MF,FW",30,1991,16.5,422,520,81.2,5980,1691,259,300,86.3,124,145,85.5,20,32,62.5,4,2.3,2.6,1.7,18,47,21,1,67
Hugo Novoa,ESP,"DF,FW",19,2003,2.0,77,108,71.3,1064,275,48,53,90.6,23,33,69.7,2,7,28.6,0,0.0,0.1,0.0,2,1,0,0,4
Janis Blaswich,GER,GK,31,1991,26.0,988,1142,86.5,21548,10888,248,249,99.6,588,593,99.2,147,292,50.3,0,0.0,0.0,0.0,0,11,0,0,1
Joško Gvardiol,CRO,DF,20,2002,24.1,1914,2149,89.1,38395,13386,588,632,93.0,1096,1159,94.6,217,314,69.1,0,0.6,1.0,-0.6,12,137,10,1,116
Kevin Kampl,SVN,MF,31,1990,15.2,791,898,88.1,12894,3384,396,436,90.8,328,354,92.7,50,64,78.1,2,1.0,1.1,1.0,12,71,14,1,80
Konrad Laimer,AUT,MF,25,1997,16.3,596,751,79.4,9538,2846,294,339,86.7,241,279,86.4,39,77,50.6,0,2.3,1.7,-2.3,16,63,17,2,93
Lukas Klostermann,GER,DF,26,1996,10.1,687,784,87.6,12138,3677,282,305,92.5,355,380,93.4,44,79,55.7,0,0.1,0.5,-0.1,1,36,3,0,40
Marcel Halstenberg,GER,DF,30,1991,17.3,918,1171,78.4,15582,5277,432,490,88.2,414,498,83.1,62,127,48.8,1,2.1,1.8,-1.1,19,49,16,5,59
Mohamed Simakan,FRA,DF,22,2000,16.2,901,1108,81.3,14885,5523,451,508,88.8,368,431,85.4,65,120,54.2,1,1.2,1.4,-0.2,11,81,16,2,88
Péter Gulácsi,HUN,GK,32,1990,6.0,189,215,87.9,4257,2285,44,44,100.0,112,112,100.0,33,59,55.9,0,0.0,0.0,0.0,0,3,0,0,0
Sanoussy Ba,GER,DF,18,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Timo Werner,GER,"FW,MF",26,1996,21.5,505,685,73.7,7147,1425,301,360,83.6,162,222,73.0,22,35,62.9,3,3.1,3.0,-0.1,20,38,19,2,51
Willi Orban,HUN,DF,29,1992,32.8,2345,2638,88.9,46398,16406,683,740,92.3,1415,1500,94.3,240,352,68.2,0,0.4,0.6,-0.4,6,154,2,0,153
Xaver Schlager,AUT,MF,24,1997,16.7,771,928,83.1,13466,4066,370,411,90.0,324,369,87.8,74,106,69.8,1,0.7,1.6,0.3,8,87,10,1,77
Yussuf Poulsen,DEN,FW,28,1994,4.6,69,126,54.8,844,220,40,61,65.6,14,37,37.8,4,9,44.4,1,1.8,1.6,-0.8,8,7,2,1,7
Ørjan Nyland,NOR,GK,31,1990,2.0,75,99,75.8,1997,1298,19,20,95.0,36,36,100.0,20,42,47.6,1,0.1,0.0,0.9,1,6,1,0,0
