General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Janis Blaswich,GER,GK,31,1991,26.0,29,6,0,2,0,26.9,0.27,-2.1,-0.08,59,189,31.2,985,126,14.9,25.3,156,26.9,30.0,288,20,6.9,39,1.5,17.0
Péter Gulácsi,HUN,GK,32,1990,6.0,10,1,0,2,1,10.1,0.37,1.1,0.19,11,37,29.7,179,37,15.6,26.4,36,25.0,29.6,61,3,4.9,10,1.67,19.4
Ørjan Nyland,NOR,GK,31,1990,2.0,2,0,0,1,1,1.8,0.36,0.8,0.39,11,33,33.3,83,9,32.5,33.6,15,40.0,36.7,28,0,0.0,0,0.0,12.5
