comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 1,L 0–2,8602292d,4ba7cbea,1,90,3,2,1,33.3,0,0.5,0,0,0,0,0,3,0.0,13,5,23.1,31.5,3,0.0,29.0,8,3,37.5,0,6.0,2022-08-06,877e3193
Premier League,Matchweek 2,W 2–1,8602292d,d3fd31cc,1,90,4,1,4,75.0,0,0.9,0,0,0,0,3,6,50.0,16,3,37.5,37.1,1,0.0,14.0,11,2,18.2,0,3.7,2022-08-13,8cd71c65
Premier League,Matchweek 3,L 1–3,8602292d,47c64c55,1,90,9,3,5,66.7,0,3.9,1,0,1,0,7,15,46.7,30,3,43.3,34.9,11,18.2,23.9,9,0,0.0,1,25.0,2022-08-20,3f89bccf
Premier League,Matchweek 4,L 0–1,8602292d,7c21e445,1,90,2,1,1,50.0,0,0.1,0,0,0,0,0,8,0.0,33,4,21.2,29.6,5,20.0,28.8,11,2,18.2,2,20.6,2022-08-28,659b9113
Premier League,Matchweek 5,L 1–2,8602292d,18bb7c10,1,90,8,2,6,75.0,0,2.2,0,0,0,0,5,15,33.3,19,4,42.1,34.1,13,53.8,44.5,17,2,11.8,0,7.6,2022-08-31,cc235aad
Premier League,Matchweek 6,D 1–1,8602292d,b8fd03ef,1,90,4,1,3,75.0,0,1.1,0,0,0,0,9,32,28.1,43,4,60.5,42.7,10,60.0,47.7,12,2,16.7,1,19.7,2022-09-03,3091f0b8
Premier League,Matchweek 8,W 1–0,8602292d,33c895d4,1,90,1,0,1,100.0,1,0.1,0,0,0,0,7,12,58.3,22,3,40.9,35.3,8,37.5,38.5,14,0,0.0,0,,2022-09-16,1219daa1
Premier League,Matchweek 9,D 0–0,8602292d,5bfb9659,1,90,1,0,1,100.0,1,0.0,0,0,0,0,5,19,26.3,33,6,51.5,39.4,4,50.0,42.3,7,4,57.1,0,12.2,2022-10-02,627d2279
Premier League,Matchweek 10,D 1–1,8602292d,e4a775cb,1,90,3,1,2,66.7,0,0.5,0,0,0,0,0,1,0.0,18,6,5.6,20.1,3,0.0,20.0,7,1,14.3,0,4.0,2022-10-10,fb99ddf9
Premier League,Matchweek 11,L 0–2,8602292d,cff3d9bb,1,90,4,2,2,50.0,0,1.3,0,0,0,0,8,9,88.9,37,7,21.6,27.6,2,50.0,30.0,5,1,20.0,1,14.3,2022-10-16,7113ce7f
Premier League,Matchweek 12,L 0–3,8602292d,fd962109,1,90,7,3,5,71.4,0,2.5,1,1,0,0,10,18,55.6,26,4,46.2,36.3,9,66.7,48.0,16,3,18.8,0,4.5,2022-10-20,e6102606
Premier League,Matchweek 13,W 4–0,8602292d,cd051869,Y*,90,3,0,3,100.0,1,0.9,0,0,0,0,8,21,38.1,27,3,51.9,42.7,8,87.5,58.1,18,2,11.1,1,12.0,2022-10-23,7764ca02
Premier League,Matchweek 14,L 0–4,8602292d,b2b47a98,Y*,34,1,,1,,,0.1,,,,,2,8,25.0,9,,55.6,39.3,4,75.0,51.5,2,,,,,2022-10-29,96f5ee84
Premier League,Matchweek 15,W 3–1,8602292d,19538871,Y*,90,3,1,3,66.7,0,0.4,0,0,0,0,4,13,30.8,42,2,23.8,29.8,4,75.0,56.8,17,3,17.6,0,7.0,2022-11-06,6638574f
Premier League,Matchweek 16,W 2–1,8602292d,d07537b9,1,90,2,1,1,50.0,0,0.3,0,0,0,0,7,21,33.3,28,0,50.0,37.3,8,87.5,58.9,22,1,4.5,1,8.0,2022-11-13,a7031cbd
Premier League,Matchweek 18,W 2–0,8602292d,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01,63e8eaf8
Premier League,Matchweek 19,D 1–1,8602292d,8cec06e1,1,90,3,1,2,66.7,0,0.6,0,0,0,0,2,4,50.0,18,1,22.2,29.5,6,0.0,15.3,14,0,0.0,2,20.3,2023-01-04,895a1c1f
Premier League,Matchweek 20,W 2–1,8602292d,5bfb9659,Y*,90,3,1,2,66.7,0,1.8,0,0,0,0,4,15,26.7,50,7,28.0,30.6,6,16.7,23.0,19,2,10.5,2,16.4,2023-01-13,ea58bf24
Premier League,Matchweek 21,W 1–0,8602292d,33c895d4,Y*,90,5,0,5,100.0,1,1.2,0,0,0,0,8,14,57.1,46,5,28.3,29.9,2,50.0,41.5,11,2,18.2,11,24.1,2023-01-21,91d49468
Premier League,Matchweek 22,L 2–4,8602292d,a2d435b3,Y*,90,5,4,1,20.0,0,2.3,0,0,0,0,2,5,40.0,24,5,16.7,23.3,5,20.0,26.4,8,3,37.5,1,11.6,2023-02-04,76a2a22c
Premier League,Matchweek 23,L 1–3,8602292d,b8fd03ef,Y*,90,8,3,5,75.0,0,3.0,1,1,0,0,10,20,50.0,37,3,37.8,35.7,7,85.7,58.4,14,2,14.3,1,14.0,2023-02-12,18fcd595
Premier League,Matchweek 24,L 2–4,8602292d,18bb7c10,1,90,5,4,2,20.0,0,1.4,0,0,0,0,11,33,33.3,32,2,75.0,47.4,11,81.8,54.8,17,3,17.6,0,7.3,2023-02-18,e50bfcf8
Premier League,Matchweek 25,W 2–0,8602292d,d3fd31cc,1,90,4,0,4,100.0,1,0.6,0,0,0,0,4,13,30.8,37,7,24.3,29.1,7,57.1,45.1,23,1,4.3,2,17.2,2023-02-25,25436a3b
Premier League,Matchweek 26,W 1–0,8602292d,47c64c55,1,90,0,0,0,,1,0.0,0,0,0,0,5,8,62.5,39,0,15.4,25.1,6,33.3,29.3,11,0,0.0,1,16.0,2023-03-04,433a4487
Premier League,Matchweek 27,D 1–1,8602292d,7c21e445,1,90,5,1,4,100.0,0,1.2,1,1,0,0,5,10,50.0,39,5,25.6,27.3,8,0.0,14.6,27,1,3.7,4,15.2,2023-03-12,df6f054e
Premier League,Matchweek 28,W 3–0,8602292d,4ba7cbea,1,90,3,0,3,100.0,1,0.8,0,0,0,0,7,15,46.7,42,4,28.6,29.6,5,60.0,45.4,10,0,0.0,5,24.0,2023-03-18,88981274
