comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,date,match_id
Premier League,Matchweek 1,W 2–1,5bfb9659,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,2022-08-06,82702941
Premier League,Matchweek 2,D 2–2,5bfb9659,33c895d4,0,0,0,0,0,0,0,0,0,0,0,2022-08-13,54b33a13
Premier League,Matchweek 3,W 3–0,5bfb9659,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,2022-08-21,a5632124
Premier League,Matchweek 4,L 0–1,5bfb9659,d07537b9,0,0,0,0,0,0,0,0,0,0,0,2022-08-27,77c70160
Premier League,Matchweek 5,D 1–1,5bfb9659,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,2022-08-30,42d294e5
Premier League,Matchweek 6,L 2–5,5bfb9659,cd051869,0,0,0,0,0,0,0,0,0,0,0,2022-09-03,88f9aad9
Premier League,Matchweek 9,D 0–0,5bfb9659,8602292d,0,0,0,0,0,0,0,0,0,0,0,2022-10-02,627d2279
Premier League,Matchweek 10,L 1–2,5bfb9659,47c64c55,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,f9563020
Premier League,Matchweek 11,L 0–1,5bfb9659,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,2022-10-16,92885cfc
Premier League,Matchweek 12,L 0–2,5bfb9659,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,2022-10-20,6356af5a
Premier League,Matchweek 15,W 4–3,5bfb9659,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,2022-11-05,63975c3e
