General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Abdou Harroui,NED,MF,24,1998,7.2,2,14,4,28.6,1.95,0.56,0.14,0.5,23.4,0,0,0,1.5,1.5,0.1,0.5,0.5
Agustín Álvarez Martínez,URU,"FW,MF",21,2001,4.1,1,14,4,28.6,3.42,0.98,0.07,0.25,15.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5
Alessandro Russo,ITA,GK,21,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrea Consigli,ITA,GK,35,1987,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrea Pinamonti,ITA,FW,23,1999,24.0,5,66,21,31.8,2.75,0.87,0.06,0.19,15.3,0,1,1,7.1,6.3,0.1,-2.1,-2.3
Armand Lauriente,FRA,FW,23,1998,24.2,7,55,21,38.2,2.28,0.87,0.11,0.29,20.4,10,1,1,4.7,3.9,0.07,2.3,2.1
Davide Frattesi,ITA,MF,22,1999,31.9,7,64,24,37.5,2.0,0.75,0.11,0.29,13.9,0,0,0,7.8,7.8,0.12,-0.8,-0.8
Domenico Berardi,ITA,FW,27,1994,20.7,12,75,19,25.3,3.62,0.92,0.07,0.26,22.0,4,7,8,11.4,5.1,0.07,0.6,-0.1
Emil Ceide,NOR,FW,20,2001,5.7,0,10,3,30.0,1.75,0.52,0.0,0.0,15.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Filippo Romagna,ITA,DF,25,1997,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Giacomo Raspadori,ITA,FW,22,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gian Marco Ferrari,ITA,DF,30,1992,24.7,1,8,1,12.5,0.32,0.04,0.13,1.0,10.6,0,0,0,1.2,1.2,0.15,-0.2,-0.2
Gianluca Pegolo,ITA,GK,41,1981,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Giorgos Kyriakopoulos,GRE,"FW,DF",26,1996,8.5,1,13,4,30.8,1.53,0.47,0.08,0.25,15.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Grégoire Defrel,MTQ,FW,31,1991,13.0,2,16,10,62.5,1.23,0.77,0.13,0.2,11.8,0,0,0,3.5,3.5,0.22,-1.5,-1.5
Hamed Junior Traorè,CIV,"MF,FW",22,2000,6.6,0,8,4,50.0,1.22,0.61,0.0,0.0,20.1,2,0,0,1.0,1.0,0.12,-1.0,-1.0
Janis Antiste,FRA,FW,19,2002,0.6,1,1,1,100.0,1.73,1.73,1.0,1.0,17.3,0,0,0,0.2,0.2,0.18,0.8,0.8
Jeremy Toljan,GER,DF,27,1994,29.7,0,5,0,0.0,0.17,0.0,0.0,,18.1,0,0,0,0.5,0.5,0.1,-0.5,-0.5
Kaan Ayhan,TUR,DF,27,1994,6.1,0,1,1,100.0,0.17,0.17,0.0,0.0,37.5,0,0,0,0.0,0.0,0.01,0.0,0.0
Kristian Thorstvedt,NOR,MF,23,1999,12.6,2,20,8,40.0,1.58,0.63,0.1,0.25,16.4,0,0,0,2.1,2.1,0.11,-0.1,-0.1
Luca D'Andrea,ITA,FW,17,2004,3.5,0,7,3,42.9,1.99,0.85,0.0,0.0,17.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Martin Erlic,CRO,DF,24,1998,25.9,0,4,0,0.0,0.15,0.0,0.0,,8.8,0,0,0,0.5,0.5,0.12,-0.5,-0.5
Matheus Henrique,BRA,MF,24,1997,21.6,4,25,12,48.0,1.16,0.55,0.16,0.33,16.9,0,0,0,2.9,2.9,0.11,1.1,1.1
Maxime Lopez,FRA,MF,24,1997,25.5,0,16,5,31.3,0.63,0.2,0.0,0.0,22.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0
Mert Müldür,TUR,"FW,DF",23,1999,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nadir Zortea,ITA,DF,23,1999,7.3,0,5,2,40.0,0.68,0.27,0.0,0.0,23.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Nedim Bajrami,ALB,"FW,MF",23,1999,9.1,1,23,8,34.8,2.53,0.88,0.04,0.13,20.7,4,0,0,1.9,1.9,0.08,-0.9,-0.9
Pedro Obiang,EQG,MF,30,1992,9.7,0,7,0,0.0,0.72,0.0,0.0,,19.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Riccardo Marchizza,ITA,DF,24,1998,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Rogério,BRA,DF,24,1998,33.3,0,15,5,33.3,0.45,0.15,0.0,0.0,23.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Ruan,BRA,DF,23,1999,19.0,0,5,1,20.0,0.26,0.05,0.0,0.0,10.4,0,0,0,0.5,0.5,0.1,-0.5,-0.5
