General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Abdou Harroui,NED,MF,24,1998,7.2,254,308,82.5,3861,992,133,147,90.5,98,116,84.5,14,21,66.7,0,0.3,0.5,-0.3,6,35,7,2,36
Agustín Álvarez Martínez,URU,"FW,MF",21,2001,4.1,68,84,81.0,942,179,43,52,82.7,13,17,76.5,6,8,75.0,1,0.4,0.3,0.6,2,4,2,0,6
Alessandro Russo,ITA,GK,21,2001,1.0,37,50,74.0,750,387,16,16,100.0,15,15,100.0,6,19,31.6,0,0.0,0.0,0.0,0,0,0,0,0
Andrea Consigli,ITA,GK,35,1987,35.0,1130,1427,79.2,31355,20598,200,201,99.5,483,486,99.4,444,735,60.4,0,0.0,0.0,0.0,0,16,0,0,1
Andrea Pinamonti,ITA,FW,23,1999,24.0,324,496,65.3,3971,594,216,285,75.8,68,117,58.1,12,23,52.2,0,1.5,1.6,-1.5,17,15,14,2,29
Armand Lauriente,FRA,FW,23,1998,24.2,572,805,71.1,8488,2579,338,400,84.5,170,235,72.3,36,92,39.1,6,6.2,4.3,-0.2,61,39,49,10,90
Davide Frattesi,ITA,MF,22,1999,31.9,812,1024,79.3,13717,3762,400,479,83.5,301,363,82.9,80,116,69.0,0,1.9,2.0,-1.9,27,80,22,1,137
Domenico Berardi,ITA,FW,27,1994,20.7,614,909,67.5,12161,3346,260,343,75.8,224,317,70.7,109,173,63.0,7,6.6,5.9,0.4,45,38,56,10,114
Emil Ceide,NOR,FW,20,2001,5.7,123,169,72.8,1571,499,89,103,86.4,24,36,66.7,4,7,57.1,1,1.3,0.9,-0.3,8,7,9,1,19
Filippo Romagna,ITA,DF,25,1997,0.5,34,36,94.4,579,165,13,13,100.0,21,22,95.5,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Giacomo Raspadori,ITA,FW,22,2000,0.5,10,12,83.3,207,33,2,2,100.0,6,7,85.7,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,2
Gian Marco Ferrari,ITA,DF,30,1992,24.7,1111,1295,85.8,22139,8213,353,387,91.2,598,655,91.3,144,221,65.2,0,0.4,1.0,-0.4,4,78,5,1,101
Gianluca Pegolo,ITA,GK,41,1981,2.0,64,77,83.1,1652,1058,13,13,100.0,31,32,96.9,19,31,61.3,0,0.0,0.0,0.0,0,0,0,0,0
Giorgos Kyriakopoulos,GRE,"FW,DF",26,1996,8.5,300,391,76.7,5430,2158,148,165,89.7,103,125,82.4,44,81,54.3,1,1.4,0.9,-0.4,14,23,14,9,32
Grégoire Defrel,MTQ,FW,31,1991,13.0,211,250,84.4,2451,347,138,151,91.4,46,56,82.1,3,9,33.3,1,0.5,0.2,0.5,9,12,1,0,10
Hamed Junior Traorè,CIV,"MF,FW",22,2000,6.6,184,245,75.1,3077,823,87,101,86.1,68,83,81.9,20,34,58.8,3,1.8,0.8,1.2,17,17,7,3,26
Janis Antiste,FRA,FW,19,2002,0.6,13,18,72.2,159,43,8,11,72.7,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Jeremy Toljan,GER,DF,27,1994,29.7,1363,1610,84.7,21955,8084,722,793,91.0,505,576,87.7,104,163,63.8,1,2.4,1.6,-1.4,22,124,23,7,142
Kaan Ayhan,TUR,DF,27,1994,6.1,288,332,86.7,6000,1702,84,87,96.6,154,167,92.2,48,72,66.7,0,0.0,0.0,0.0,0,20,0,0,15
Kristian Thorstvedt,NOR,MF,23,1999,12.6,372,488,76.2,5598,1802,208,249,83.5,130,167,77.8,19,32,59.4,1,1.1,1.2,-0.1,10,44,6,1,60
Luca D'Andrea,ITA,FW,17,2004,3.5,61,84,72.6,896,334,32,42,76.2,24,31,77.4,3,6,50.0,1,0.8,0.4,0.2,10,6,3,2,9
Martin Erlic,CRO,DF,24,1998,25.9,1111,1295,85.8,22928,7861,323,360,89.7,609,665,91.6,168,245,68.6,0,0.2,0.6,-0.2,2,48,3,0,65
Matheus Henrique,BRA,MF,24,1997,21.6,741,864,85.8,12502,3344,345,386,89.4,296,323,91.6,72,91,79.1,1,1.8,1.3,-0.8,27,85,16,0,116
Maxime Lopez,FRA,MF,24,1997,25.5,1471,1673,87.9,25307,8848,676,738,91.6,611,675,90.5,144,190,75.8,0,2.1,2.3,-2.1,32,179,19,3,210
Mert Müldür,TUR,"FW,DF",23,1999,0.1,3,3,100.0,30,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Nadir Zortea,ITA,DF,23,1999,7.3,310,410,75.6,4912,1981,164,181,90.6,121,154,78.6,19,54,35.2,1,0.7,0.5,0.3,7,23,9,4,38
