General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Abdou Harroui,NED,MF,24,1998,7.2,308,303,5,0,1,1,11,2,0,0,0,0,254,0,7
Agustín Álvarez Martínez,URU,"FW,MF",21,2001,4.1,84,76,8,0,0,1,4,0,3,0,3,0,68,0,1
Alessandro Russo,ITA,GK,21,2001,1.0,50,37,13,5,0,0,0,0,0,0,0,0,37,0,0
Andrea Consigli,ITA,GK,35,1987,35.0,1427,1042,383,98,0,2,0,0,0,0,0,0,1130,2,0
Andrea Pinamonti,ITA,FW,23,1999,24.0,496,441,54,0,1,3,14,0,0,0,0,0,324,1,22
Armand Lauriente,FRA,FW,23,1998,24.2,805,732,73,21,2,5,110,7,44,26,8,0,572,0,29
Davide Frattesi,ITA,MF,22,1999,31.9,1024,998,25,19,6,21,21,6,0,0,0,0,812,1,25
Domenico Berardi,ITA,FW,27,1994,20.7,909,831,76,21,6,39,83,12,43,25,6,0,614,2,30
Emil Ceide,NOR,FW,20,2001,5.7,169,166,3,0,1,0,6,3,0,0,0,0,123,0,11
Filippo Romagna,ITA,DF,25,1997,0.5,36,34,2,2,0,0,0,0,0,0,0,0,34,0,0
Giacomo Raspadori,ITA,FW,22,2000,0.5,12,9,3,0,0,0,1,0,1,1,0,0,10,0,0
Gian Marco Ferrari,ITA,DF,30,1992,24.7,1295,1164,127,83,0,16,6,5,0,0,0,0,1111,4,4
Gianluca Pegolo,ITA,GK,41,1981,2.0,77,56,21,5,0,0,0,0,0,0,0,0,64,0,0
Giorgos Kyriakopoulos,GRE,"FW,DF",26,1996,8.5,391,332,56,7,0,6,39,39,10,2,5,0,300,3,9
Grégoire Defrel,MTQ,FW,31,1991,13.0,250,219,31,0,1,1,1,1,2,1,0,0,211,0,5
Hamed Junior Traorè,CIV,"MF,FW",22,2000,6.6,245,219,22,3,1,4,26,2,16,6,4,0,184,4,14
Janis Antiste,FRA,FW,19,2002,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0
Jeremy Toljan,GER,DF,27,1994,29.7,1610,1299,308,33,2,10,28,275,0,0,0,0,1363,3,32
Kaan Ayhan,TUR,DF,27,1994,6.1,332,311,20,15,0,7,0,2,0,0,0,0,288,1,2
Kristian Thorstvedt,NOR,MF,23,1999,12.6,488,476,12,6,2,1,10,6,0,0,0,0,372,0,15
Luca D'Andrea,ITA,FW,17,2004,3.5,84,80,4,0,1,0,7,1,3,0,0,0,61,0,1
Martin Erlic,CRO,DF,24,1998,25.9,1295,1236,57,53,2,20,2,4,0,0,0,0,1111,2,8
Matheus Henrique,BRA,MF,24,1997,21.6,864,834,28,16,3,8,9,6,3,0,0,0,741,2,25
Maxime Lopez,FRA,MF,24,1997,25.5,1673,1606,60,44,3,9,25,3,12,2,6,0,1471,7,14
Mert Müldür,TUR,"FW,DF",23,1999,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Nadir Zortea,ITA,DF,23,1999,7.3,410,338,71,9,0,1,33,60,2,1,1,0,310,1,12
Nedim Bajrami,ALB,"FW,MF",23,1999,9.1,355,307,48,9,0,0,57,5,34,17,13,0,245,0,15
Pedro Obiang,EQG,MF,30,1992,9.7,438,411,25,25,0,12,1,0,0,0,0,0,363,2,6
Riccardo Marchizza,ITA,DF,24,1998,3.1,181,148,33,4,0,3,18,25,4,0,4,0,137,0,4
Rogério,BRA,DF,24,1998,33.3,2038,1647,385,53,1,22,113,332,0,0,0,0,1644,6,52
Ruan,BRA,DF,23,1999,19.0,939,875,62,35,1,3,0,2,0,0,0,0,835,2,8
