General,General,General,General,General,Playing time,Playing time,Playing time,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Ga,Ga90,Sota,Saves,Save%,W,D,L,Cs,Cs%,Pkatt,Pka,Pksv,Pkm,Save%
Alessandro Russo,ITA,GK,21,2001,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
Andrea Consigli,ITA,GK,35,1987,35,35,3150,35.0,55,1.57,117,64,55.6,12,8,15,9,25.7,3,3,0,0,0.0
Gianluca Pegolo,ITA,GK,41,1981,2,2,180,2.0,3,1.5,6,3,66.7,0,1,1,0,0.0,1,1,0,0,0.0
