General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alessandro Tuia,ITA,DF,32,1990,5.7,204,193,11,10,0,6,1,0,0,0,0,0,142,0,0
Alexis Blin,FRA,MF,25,1996,26.4,963,903,59,15,1,11,28,20,2,1,0,0,766,1,16
Antonino Gallo,ITA,DF,22,2000,27.6,1254,980,267,20,0,14,89,247,0,0,0,0,843,7,24
Assan Ceesay,GAM,FW,28,1994,20.1,394,370,20,0,0,2,15,5,1,0,0,0,226,4,17
Federico Baschirotto,ITA,DF,25,1996,37.0,1432,1312,113,66,1,22,14,41,0,0,0,0,1049,7,14
Federico Di Francesco,ITA,"FW,MF",28,1994,22.6,511,466,42,2,7,3,45,11,29,0,2,0,340,3,24
Gabriel Strefezza,BRA,"FW,MF",25,1997,27.1,886,805,71,19,6,23,121,17,35,15,10,0,553,10,36
Giuseppe Pezzella,ITA,DF,24,1997,10.2,534,410,123,13,0,3,34,109,1,0,1,0,419,1,16
Joan Gonzàlez,ESP,MF,20,2002,24.4,782,733,45,7,3,9,26,13,1,0,0,0,598,4,16
Joel Voelkerling Persson,SWE,"FW,MF",19,2003,1.1,39,38,1,0,0,0,4,0,0,0,0,0,24,0,1
Kastriot Dermaku,ALB,DF,30,1992,0.4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Kristijan Bistrović,CRO,MF,24,1998,5.1,140,119,21,11,0,3,21,0,7,3,3,0,101,0,6
Kristoffer Askildsen,NOR,MF,21,2001,8.1,269,234,34,11,0,8,19,5,15,7,6,0,165,1,8
Lameck Banda,ZAM,"FW,MF",21,2001,18.2,428,409,17,1,0,1,51,5,11,5,1,0,278,2,22
Lorenzo Colombo,ITA,FW,20,2002,16.8,332,316,13,0,0,9,10,2,0,0,0,0,208,3,14
Marcin Listkowski,POL,"MF,FW",24,1998,0.9,24,23,1,0,0,0,3,1,0,0,0,0,16,0,0
Marin Pongračić,CRO,DF,24,1997,8.8,361,324,37,37,0,3,0,0,0,0,0,0,296,0,1
Morten Hjulmand,DEN,MF,23,1999,32.9,1325,1233,88,83,2,26,17,3,1,0,1,0,1040,4,19
Pablo Rodríguez,ESP,"FW,MF",20,2001,0.6,21,18,3,0,0,0,4,1,2,0,1,0,14,0,2
Pietro Ceccaroni,ITA,DF,26,1995,0.5,14,10,4,1,0,0,0,3,0,0,0,0,10,0,0
Remi Oudin,FRA,"FW,MF",25,1996,14.7,596,492,101,28,2,12,113,14,59,20,35,0,372,3,27
Samuel Umtiti,FRA,DF,28,1993,23.5,868,807,57,53,0,8,2,4,0,0,0,0,724,4,12
Simone Romagnoli,ITA,DF,32,1990,1.9,74,71,3,3,0,0,0,0,0,0,0,0,61,0,0
Tommaso Cassandro,ITA,DF,22,2000,0.1,6,3,3,0,0,0,0,3,0,0,0,0,6,0,0
Valentin Gendrey,FRA,DF,22,2000,34.5,1448,1076,367,15,1,8,74,352,0,0,0,0,1031,5,33
Wladimiro Falcone,ITA,GK,27,1995,38.0,1167,771,387,105,0,4,0,0,0,0,0,0,597,9,0
Youssef Maleh,MAR,MF,23,1998,7.5,206,198,8,2,0,0,8,2,2,0,0,0,146,0,6
Yıldırım Mert Çetin,TUR,DF,25,1997,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
Þórir Jóhann Helgason,ISL,MF,21,2000,2.5,75,65,10,2,0,0,10,0,6,5,1,0,55,0,0
