General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Adam Masina,MAR,DF,28,1994,14,789,56,23.1,8.8,8,82,5,6,22,6,1.07,12,14,-2,-0.23,-0.26,11.6,14.8,-3.1,-0.36,-0.3
Alberto Centis,ITA,MF,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Axel Guessand,FRA,DF,17,2004,1,79,79,2.3,0.9,1,79,0,0,,15,0.0,0,1,-1,-1.14,-1.14,0.5,1.2,-0.7,-0.83,-0.72
Beto,GNB,FW,24,1998,33,2129,65,62.3,23.7,23,80,11,10,28,0,1.27,25,31,-6,-0.25,-0.6,31.2,32.7,-1.5,-0.06,0.18
Bram Nuytinck,NED,DF,32,1990,6,385,64,11.3,4.3,3,86,2,3,42,8,1.5,5,6,-1,-0.23,-0.23,4.0,6.6,-2.6,-0.61,-0.55
Brandon Soppy,FRA,DF,20,2002,1,90,90,2.6,1.0,1,90,1,0,,0,0.0,2,4,-2,-2.0,-2.03,0.5,2.3,-1.8,-1.8,-1.71
Daniele Padelli,ITA,GK,36,1985,0,,,,,0,,0,0,,38,,,,,,,,,,,
Destiny Udogie,ITA,DF,19,2002,33,2704,82,79.1,30.0,31,86,20,2,22,0,1.33,35,33,2,0.07,0.44,39.0,39.7,-0.7,-0.02,0.51
Diego Russo,ITA,MF,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
Edoardo Piana,ITA,GK,18,2003,0,,,,,0,,0,0,,38,,,,,,,,,,,
Enzo Ebosse,CMR,DF,23,1999,20,930,47,27.2,10.3,9,77,7,11,22,4,1.15,15,14,1,0.1,0.17,13.0,13.5,-0.4,-0.04,0.12
Festy Ebosele,IRL,DF,19,2002,17,411,24,12.0,4.6,4,65,0,13,12,18,1.06,3,5,-2,-0.44,-0.47,4.4,5.6,-1.2,-0.26,-0.15
Filip Benković,CRO,DF,25,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Florian Thauvin,FRA,"FW,MF",29,1993,16,546,34,16.0,6.1,5,69,0,11,18,2,0.88,6,9,-3,-0.49,-0.56,7.5,6.5,1.0,0.16,0.34
Gerard Deulofeu,ESP,FW,28,1994,16,1211,76,35.4,13.5,15,80,8,1,13,0,1.69,19,15,4,0.3,0.5,17.5,16.2,1.3,0.09,0.35
Ilija Nestorovski,MKD,"FW,MF",32,1990,21,638,30,18.7,7.1,5,85,4,16,13,12,0.95,13,8,5,0.71,0.9,8.1,8.0,0.1,0.01,0.17
Isaac Success,NGA,FW,26,1996,30,1815,61,53.1,20.2,21,74,4,9,30,0,1.4,28,22,6,0.3,0.69,26.6,28.8,-2.2,-0.11,0.04
Jaka Bijol,SVN,DF,23,1999,32,2728,85,79.8,30.3,32,85,28,0,,3,1.19,34,38,-4,-0.13,-0.52,35.7,41.9,-6.2,-0.2,-0.37
James Abankwah,IRL,DF,18,2004,2,63,32,1.8,0.7,1,58,0,1,5,33,0.0,0,0,0,0.0,0.03,0.4,0.7,-0.3,-0.37,-0.25
Jean-Victor Makengo,FRA,MF,24,1998,16,805,50,23.5,8.9,11,65,0,5,19,1,1.63,13,11,2,0.22,0.33,11.3,12.9,-1.6,-0.18,-0.06
Kingsley Ehizibue,NED,DF,27,1995,27,1535,57,44.9,17.1,16,83,7,11,19,2,1.3,24,24,0,0.0,0.05,22.4,24.0,-1.6,-0.1,0.06
Lazar Samardzic,SRB,MF,20,2002,37,1848,50,54.0,20.5,19,75,3,18,24,1,1.22,29,27,2,0.1,0.27,26.7,26.8,-0.1,0.0,0.27
Leonardo Buta,POR,DF,20,2002,2,16,8,0.5,0.2,0,,0,2,8,17,0.0,0,1,-1,-5.63,-5.63,0.3,0.9,-0.6,-3.23,-3.12
Marco Silvestri,ITA,GK,31,1991,38,3420,90,100.0,38.0,38,90,38,0,,0,1.21,47,48,-1,-0.03,,46.9,51.8,-4.9,-0.13,
Martin Palumbo,NOR,MF,20,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Marvin Zeegelaar,NED,DF,31,1990,7,353,50,10.3,3.9,4,78,1,3,13,5,1.0,4,6,-2,-0.51,-0.54,4.4,3.8,0.7,0.17,0.33
Mato Jajalo,BIH,MF,34,1988,3,63,21,1.8,0.7,0,,0,3,21,12,0.67,2,0,2,2.86,2.94,0.8,0.2,0.6,0.82,0.97
Matteo Bassi,ITA,MF,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Nehuén Pérez,ARG,DF,22,2000,34,2818,83,82.4,31.3,33,85,24,1,13,0,1.18,38,39,-1,-0.03,-0.03,37.9,43.2,-5.3,-0.17,-0.23
Nicolò Cocetta,ITA,DF,18,2003,1,32,32,0.9,0.4,0,,0,1,32,1,0.0,0,1,-1,-2.81,-2.81,0.4,0.6,-0.2,-0.64,-0.52
Riccardo Castagnaviz,ITA,MF,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Roberto Pereyra,ARG,"DF,MF",31,1991,34,2820,83,82.5,31.3,33,84,20,1,32,2,1.21,41,42,-1,-0.03,-0.03,37.7,42.7,-5.0,-0.16,-0.18
Rodrigo Becão,BRA,DF,26,1996,28,2484,89,72.6,27.6,28,89,25,0,,0,1.5,38,31,7,0.25,1.02,35.2,37.7,-2.5,-0.09,0.14
Sandi Lovrić,SVN,MF,24,1998,37,2335,63,68.3,25.9,28,75,6,9,27,0,1.22,29,34,-5,-0.19,-0.52,30.5,36.7,-6.1,-0.24,-0.34
Simone Pafundi,ITA,"MF,FW",16,2006,8,85,11,2.5,0.9,0,,0,8,11,15,1.0,1,2,-1,-1.06,-1.06,1.3,1.7,-0.3,-0.37,-0.24
Tolgay Arslan,GER,MF,31,1990,36,1211,34,35.4,13.5,12,60,0,24,21,0,1.28,12,16,-4,-0.3,-0.42,16.7,17.7,-1.1,-0.08,0.07
Vivaldo Semedo,POR,"FW,MF",17,2005,5,36,7,1.1,0.4,0,,0,5,7,8,0.2,0,1,-1,-2.5,-2.5,0.5,0.8,-0.3,-0.87,-0.75
Walace,BRA,MF,27,1995,37,3190,86,93.3,35.4,37,86,28,0,,0,1.24,42,44,-2,-0.06,-0.45,43.1,49.4,-6.3,-0.18,-0.74
