General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Adam Masina,MAR,DF,28,1994,8.8,428,386,40,13,1,6,10,27,0,0,0,0,332,2,3
Axel Guessand,FRA,DF,17,2004,0.9,22,21,1,0,0,0,0,1,0,0,0,0,17,0,0
Beto,GNB,FW,24,1998,23.7,299,289,9,0,0,0,9,0,0,0,0,0,190,1,11
Bram Nuytinck,NED,DF,32,1990,4.3,139,124,14,4,0,3,0,9,0,0,0,0,113,1,2
Brandon Soppy,FRA,DF,20,2002,1.0,32,29,2,0,0,0,1,2,0,0,0,0,22,1,0
Destiny Udogie,ITA,DF,19,2002,30.0,1127,966,160,23,1,2,29,133,4,0,0,0,931,1,40
Enzo Ebosse,CMR,DF,23,1999,10.3,557,479,77,17,0,11,15,59,1,0,0,0,453,1,3
Festy Ebosele,IRL,DF,19,2002,4.6,151,137,14,1,1,0,16,13,0,0,0,0,101,0,6
Florian Thauvin,FRA,"FW,MF",29,1993,6.1,216,182,33,6,3,1,37,2,18,7,4,0,144,1,6
Gerard Deulofeu,ESP,FW,28,1994,13.5,588,475,110,27,1,0,59,14,43,20,14,0,443,3,14
Ilija Nestorovski,MKD,"FW,MF",32,1990,7.1,163,153,9,0,6,1,0,0,0,0,0,0,116,1,6
Isaac Success,NGA,FW,26,1996,20.2,570,552,11,0,9,8,13,0,0,0,0,0,372,7,23
Jaka Bijol,SVN,DF,23,1999,30.3,1381,1341,35,28,4,13,1,1,0,0,0,0,1170,5,5
James Abankwah,IRL,DF,18,2004,0.7,29,22,7,3,0,1,0,4,0,0,0,0,23,0,0
Jean-Victor Makengo,FRA,MF,24,1998,8.9,316,315,1,1,0,0,6,0,0,0,0,0,264,0,9
Kingsley Ehizibue,NED,DF,27,1995,17.1,565,493,72,1,0,2,37,70,1,0,0,0,412,0,30
Lazar Samardzic,SRB,MF,20,2002,20.5,893,772,118,48,3,23,92,5,62,33,17,0,715,3,17
Leonardo Buta,POR,DF,20,2002,0.2,13,12,1,0,0,0,2,1,0,0,0,0,10,0,1
Marco Silvestri,ITA,GK,31,1991,38.0,1177,783,391,89,0,5,0,0,0,0,0,0,916,3,0
Marvin Zeegelaar,NED,DF,31,1990,3.9,187,165,22,3,0,2,4,19,0,0,0,0,153,0,0
Mato Jajalo,BIH,MF,34,1988,0.7,29,29,0,0,0,2,0,0,0,0,0,0,23,0,2
Nehuén Pérez,ARG,DF,22,2000,31.3,1807,1621,184,57,0,63,18,120,0,0,0,0,1538,2,13
Nicolò Cocetta,ITA,DF,18,2003,0.4,12,11,1,0,0,0,0,1,0,0,0,0,11,0,0
Roberto Pereyra,ARG,"DF,MF",31,1991,31.3,1277,1174,99,31,1,7,71,57,4,2,1,0,1038,4,40
Rodrigo Becão,BRA,DF,26,1996,27.6,1400,1181,216,68,1,10,19,148,0,0,0,0,1089,3,31
Sandi Lovrić,SVN,MF,24,1998,25.9,963,884,74,33,4,12,75,5,36,6,15,0,767,5,15
Simone Pafundi,ITA,"MF,FW",16,2006,0.9,66,61,5,0,1,1,1,3,2,1,0,0,55,0,0
Tolgay Arslan,GER,MF,31,1990,13.5,605,556,48,27,0,15,28,6,14,7,1,0,485,1,14
Vivaldo Semedo,POR,"FW,MF",17,2005,0.4,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Walace,BRA,MF,27,1995,35.4,1771,1688,77,56,1,25,21,7,1,0,0,0,1482,6,38
