General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Adam Masina,MAR,DF,28,1994,8.8,332,428,77.6,7007,2817,110,125,88.0,164,195,84.1,56,99,56.6,0,0.2,0.3,-0.2,2,26,5,3,24
Axel Guessand,FRA,DF,17,2004,0.9,17,22,77.3,291,107,8,9,88.9,7,8,87.5,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,0
Beto,GNB,FW,24,1998,23.7,190,299,63.5,2421,295,128,179,71.5,40,67,59.7,7,13,53.8,1,2.6,1.9,-1.6,23,9,4,0,13
Bram Nuytinck,NED,DF,32,1990,4.3,113,139,81.3,2516,1038,24,27,88.9,67,75,89.3,20,32,62.5,0,0.0,0.0,0.0,0,4,1,0,4
Brandon Soppy,FRA,DF,20,2002,1.0,22,32,68.8,322,140,13,14,92.9,7,10,70.0,1,6,16.7,0,0.2,0.0,-0.2,2,2,1,0,4
Destiny Udogie,ITA,DF,19,2002,30.0,931,1127,82.6,13917,4753,523,589,88.8,348,410,84.9,37,51,72.5,4,4.2,2.2,-0.2,34,67,30,4,106
Enzo Ebosse,CMR,DF,23,1999,10.3,453,557,81.3,8801,3202,179,201,89.1,203,240,84.6,65,102,63.7,0,0.0,0.1,0.0,1,43,4,1,51
Festy Ebosele,IRL,DF,19,2002,4.6,101,151,66.9,1691,748,52,64,81.3,39,56,69.6,9,17,52.9,1,0.9,0.5,0.1,5,9,9,5,17
Florian Thauvin,FRA,"FW,MF",29,1993,6.1,144,216,66.7,2489,708,71,88,80.7,51,71,71.8,17,42,40.5,0,1.1,1.3,-1.1,10,9,10,2,24
Gerard Deulofeu,ESP,FW,28,1994,13.5,443,588,75.3,6574,2331,260,294,88.4,139,181,76.8,27,64,42.2,6,4.4,4.0,1.6,48,40,42,2,82
Ilija Nestorovski,MKD,"FW,MF",32,1990,7.1,116,163,71.2,1638,309,70,92,76.1,34,44,77.3,7,11,63.6,1,0.5,0.4,0.5,2,7,2,0,19
Isaac Success,NGA,FW,26,1996,20.2,372,570,65.3,5429,1119,207,288,71.9,99,144,68.8,32,51,62.7,6,4.0,3.3,2.0,31,22,19,1,53
Jaka Bijol,SVN,DF,23,1999,30.3,1170,1381,84.7,24657,10028,322,367,87.7,681,730,93.3,155,253,61.3,2,1.6,1.7,0.4,9,54,5,1,66
James Abankwah,IRL,DF,18,2004,0.7,23,29,79.3,375,79,14,15,93.3,6,8,75.0,2,5,40.0,0,0.0,0.0,0.0,0,0,0,0,0
Jean-Victor Makengo,FRA,MF,24,1998,8.9,264,316,83.5,3718,884,167,180,92.8,79,96,82.3,9,13,69.2,1,0.5,0.4,0.5,5,19,6,1,36
Kingsley Ehizibue,NED,DF,27,1995,17.1,412,565,72.9,6819,2543,191,230,83.0,169,216,78.2,38,68,55.9,0,0.9,1.1,-0.9,8,32,12,7,40
Lazar Samardzic,SRB,MF,20,2002,20.5,715,893,80.1,13984,4303,295,332,88.9,266,308,86.4,130,206,63.1,4,3.7,2.9,0.3,48,82,21,6,100
Leonardo Buta,POR,DF,20,2002,0.2,10,13,76.9,166,54,6,6,100.0,3,5,60.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
