General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Aaron Ramsey,WAL,MF,31,1990,17.6,1,22,6,27.3,1.25,0.34,0.05,0.17,15.3,1,0,0,2.5,2.5,0.11,-1.5,-1.5
Alexis Beka Beka,FRA,"MF,DF",21,2001,6.1,0,9,3,33.3,1.49,0.5,0.0,0.0,24.5,1,0,0,0.5,0.5,0.05,-0.5,-0.5
Alexis Claude-Maurice,FRA,FW,24,1998,0.7,0,2,0,0.0,2.81,0.0,0.0,,24.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Amine Gouiri,ALG,"FW,MF",22,2000,2.5,0,5,2,40.0,1.99,0.8,0.0,0.0,12.5,0,0,0,0.6,0.6,0.12,-0.6,-0.6
Andréa Dacourt,FRA,MF,17,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Andy Delort,ALG,FW,30,1991,8.7,6,23,8,34.8,2.65,0.92,0.13,0.38,16.4,1,3,3,5.4,3.0,0.13,0.6,0.0
Antoine Mendy,FRA,DF,18,2004,5.8,0,8,2,25.0,1.39,0.35,0.0,0.0,16.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Ayoub Amraoui,MAR,"DF,FW",18,2004,3.3,0,1,0,0.0,0.31,0.0,0.0,,20.4,0,0,0,0.0,0.0,0.01,0.0,0.0
Badredine Bouanani,ALG,"FW,MF",17,2004,9.6,0,24,10,41.7,2.5,1.04,0.0,0.0,21.1,1,0,0,1.7,1.7,0.07,-1.7,-1.7
Bilal Brahimi,ALG,"FW,MF",22,2000,8.9,3,20,6,30.0,2.25,0.68,0.15,0.5,24.3,0,0,0,1.0,1.0,0.05,2.0,2.0
Calvin Stengs,NED,FW,23,1998,2.4,0,3,1,33.3,1.27,0.42,0.0,0.0,20.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Dante,BRA,DF,38,1983,36.7,1,23,5,21.7,0.63,0.14,0.04,0.2,13.8,0,0,0,1.5,1.5,0.07,-0.5,-0.5
Flavius Daniliuc,AUT,DF,21,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
