General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Aaron Ramsey,WAL,MF,31,1990,17.6,1279,43,208,723,361,50,1279,24,14,58.3,5,20.8,980,4866,1934,29,34,8,24,32,902,84
Alexis Beka Beka,FRA,"MF,DF",21,2001,6.1,387,14,82,219,93,5,387,17,8,47.1,8,47.1,295,1911,864,13,12,3,12,8,262,23
Alexis Claude-Maurice,FRA,FW,24,1998,0.7,39,4,9,18,12,0,39,0,0,,0,,24,129,34,0,1,0,3,2,25,1
Amine Gouiri,ALG,"FW,MF",22,2000,2.5,99,3,12,35,52,7,99,3,0,0.0,2,66.7,75,470,179,8,3,2,7,5,79,18
Andréa Dacourt,FRA,MF,17,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Andy Delort,ALG,FW,30,1991,8.7,309,7,21,150,141,37,306,12,4,33.3,7,58.3,224,1093,372,7,7,1,23,9,246,48
Antoine Mendy,FRA,DF,18,2004,5.8,394,22,122,186,88,9,394,4,3,75.0,1,25.0,266,1269,580,2,5,0,11,5,235,37
Ayoub Amraoui,MAR,"DF,FW",18,2004,3.3,210,10,69,93,50,1,210,4,2,50.0,1,25.0,165,761,396,6,5,0,3,1,156,18
Badredine Bouanani,ALG,"FW,MF",17,2004,9.6,498,1,61,203,243,35,498,51,27,52.9,20,39.2,406,3033,1541,47,25,16,23,13,389,98
Bilal Brahimi,ALG,"FW,MF",22,2000,8.9,487,1,45,198,250,27,487,34,18,52.9,13,38.2,385,2906,1354,41,23,9,27,12,383,100
Calvin Stengs,NED,FW,23,1998,2.4,119,0,14,47,61,6,119,10,6,60.0,3,30.0,105,727,332,10,11,1,6,3,100,16
Dante,BRA,DF,38,1983,36.7,2991,346,1427,1505,75,31,2991,13,8,61.5,5,38.5,2374,11876,6155,12,11,0,15,9,2177,3
Flavius Daniliuc,AUT,DF,21,2001,1.0,71,3,23,28,20,1,71,0,0,,0,,45,234,129,2,2,0,1,0,43,3
Gaëtan Laborde,FRA,FW,28,1994,27.8,1031,21,109,423,507,153,1030,55,26,47.3,27,49.1,700,4021,1723,54,40,21,69,29,696,196
Hicham Boudaoui,ALG,MF,22,1999,20.8,1511,48,352,880,297,25,1511,67,29,43.3,32,47.8,1166,7025,3098,39,54,7,27,17,1070,55
Jean-Clair Todibo,FRA,DF,22,1999,31.9,2514,304,1267,1222,57,24,2514,28,20,71.4,6,21.4,1980,11039,5931,21,13,0,23,10,1760,6
Joe Bryan,ENG,"MF,DF",28,1993,2.0,119,4,27,58,36,5,119,2,0,0.0,2,100.0,82,438,182,2,6,0,3,0,73,16
Jordan Lotomba,SUI,DF,23,1998,27.3,1720,93,506,857,385,20,1720,73,38,52.1,26,35.6,1131,7852,4210,82,72,6,40,24,1034,99
Kasper Schmeichel,DEN,GK,35,1986,36.0,1258,1119,1253,5,0,0,1258,0,0,,0,,860,3975,2015,0,0,0,2,0,604,0
Khéphren Thuram,FRA,MF,21,2001,28.3,1667,64,365,946,396,61,1667,77,46,59.7,24,31.2,1322,8692,4400,92,78,18,31,35,1223,77
Marcin Bułka,POL,GK,22,1999,2.0,70,64,70,0,0,0,70,0,0,,0,,46,210,72,0,0,0,0,0,29,0
Mario Lemina,GAB,"MF,DF",28,1993,9.3,724,39,204,451,73,6,724,16,11,68.8,5,31.3,579,2983,1278,14,14,0,4,1,549,10
Mattia Viti,ITA,DF,20,2002,7.0,424,57,222,189,15,2,424,12,5,41.7,5,41.7,320,1547,749,1,5,0,2,2,296,1
Melvin Bard,FRA,DF,21,2000,27.3,1820,93,603,837,409,26,1820,54,23,42.6,25,46.3,1191,6786,3208,61,60,8,23,16,1050,126
Nicolas Pépé,CIV,"FW,MF",27,1995,16.6,918,3,88,392,455,90,915,76,34,44.7,33,43.4,752,4476,1872,48,29,26,45,52,724,151
Pablo Rosario,NED,"MF,DF",25,1997,19.6,1227,71,357,693,184,16,1227,19,7,36.8,10,52.6,940,4523,2232,18,19,0,22,11,885,42
