General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Aaron Ramsey,WAL,MF,31,1990,17.6,47,25,18,19,10,16,39,41.0,23,25,4,21,17,64,18,1
Alexis Beka Beka,FRA,"MF,DF",21,2001,6.1,16,5,6,9,1,4,15,26.7,11,9,1,8,12,28,6,0
Alexis Claude-Maurice,FRA,FW,24,1998,0.7,3,2,2,1,0,3,3,100.0,0,0,0,0,2,5,1,0
Amine Gouiri,ALG,"FW,MF",22,2000,2.5,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,3,0
Andréa Dacourt,FRA,MF,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andy Delort,ALG,FW,30,1991,8.7,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,7,0
Antoine Mendy,FRA,DF,18,2004,5.8,22,13,16,5,1,9,15,60.0,6,6,1,5,2,24,16,0
Ayoub Amraoui,MAR,"DF,FW",18,2004,3.3,6,5,3,3,0,2,5,40.0,3,1,0,1,4,10,4,0
Badredine Bouanani,ALG,"FW,MF",17,2004,9.6,13,9,2,7,4,7,14,50.0,7,4,0,4,1,14,2,0
Bilal Brahimi,ALG,"FW,MF",22,2000,8.9,8,5,2,5,1,1,7,14.3,6,4,0,4,4,12,0,0
Calvin Stengs,NED,FW,23,1998,2.4,2,2,1,0,1,1,2,50.0,1,0,0,0,0,2,0,0
Dante,BRA,DF,38,1983,36.7,70,40,45,21,4,36,59,61.0,23,52,31,21,47,117,125,2
Flavius Daniliuc,AUT,DF,21,2001,1.0,2,0,2,0,0,1,1,100.0,0,4,1,3,0,2,1,0
Gaëtan Laborde,FRA,FW,28,1994,27.8,45,25,13,17,15,18,40,45.0,22,27,2,25,9,54,13,0
Hicham Boudaoui,ALG,MF,22,1999,20.8,67,32,31,30,6,35,53,66.0,18,34,5,29,36,103,16,0
Jean-Clair Todibo,FRA,DF,22,1999,31.9,76,48,54,19,3,41,56,73.2,15,41,19,22,41,117,110,2
Joe Bryan,ENG,"MF,DF",28,1993,2.0,5,4,3,2,0,4,4,100.0,0,2,0,2,1,6,1,0
Jordan Lotomba,SUI,DF,23,1998,27.3,65,38,33,24,8,31,48,64.6,17,38,11,27,32,97,53,0
Kasper Schmeichel,DEN,GK,35,1986,36.0,1,0,1,0,0,1,4,25.0,3,1,0,1,1,2,11,1
Khéphren Thuram,FRA,MF,21,2001,28.3,51,25,22,23,6,19,43,44.2,24,33,13,20,38,89,34,0
Marcin Bułka,POL,GK,22,1999,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Mario Lemina,GAB,"MF,DF",28,1993,9.3,32,21,11,14,7,12,18,66.7,6,13,5,8,11,43,20,0
Mattia Viti,ITA,DF,20,2002,7.0,4,2,1,1,2,2,5,40.0,3,9,3,6,8,12,22,0
Melvin Bard,FRA,DF,21,2000,27.3,96,60,61,29,6,59,89,66.3,30,35,4,31,64,160,40,1
Nicolas Pépé,CIV,"FW,MF",27,1995,16.6,25,13,14,5,6,11,25,44.0,14,17,0,17,3,28,1,0
Pablo Rosario,NED,"MF,DF",25,1997,19.6,46,26,22,20,4,18,34,52.9,16,15,5,10,23,69,32,1
Rareş Ilie,ROU,"MF,FW",19,2003,1.6,3,3,0,1,2,2,4,50.0,2,2,0,2,1,4,1,0
Reda Belahyane,FRA,MF,18,2004,2.0,8,6,5,3,0,3,5,60.0,2,5,1,4,2,10,0,0
Ross Barkley,ENG,"MF,FW",28,1993,10.7,16,9,7,4,5,7,13,53.8,6,7,2,5,8,24,6,0
Sofiane Diop,FRA,"MF,FW",22,2000,13.6,23,11,12,6,5,7,20,35.0,13,14,2,12,16,39,5,0
Terem Moffi,NGA,FW,23,1999,14.8,12,6,0,6,6,2,12,16.7,10,3,0,3,2,14,5,0
Théo Trinker,FRA,MF,21,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Youcef Atal,ALG,"DF,MF",26,1996,8.7,38,22,18,15,5,23,32,71.9,9,9,0,9,14,52,13,0
Youssouf Ndayishimiye,BDI,"MF,DF",23,1998,6.3,13,9,8,5,0,6,11,54.5,5,8,5,3,12,25,22,1
