General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Aaron Ramsey,WAL,MF,31,1990,17.6,915,1088,84.1,16069,3809,398,431,92.3,382,444,86.0,100,159,62.9,1,1.8,2.0,-0.8,28,88,20,3,126
Alexis Beka Beka,FRA,"MF,DF",21,2001,6.1,236,303,77.9,3971,967,123,145,84.8,82,103,79.6,24,42,57.1,0,0.1,0.2,-0.1,3,19,2,1,25
Alexis Claude-Maurice,FRA,FW,24,1998,0.7,20,25,80.0,260,33,12,13,92.3,5,7,71.4,1,2,50.0,0,0.0,0.0,0.0,1,1,1,0,2
Amine Gouiri,ALG,"FW,MF",22,2000,2.5,53,74,71.6,736,116,30,35,85.7,17,22,77.3,2,5,40.0,0,0.3,0.2,-0.3,3,2,1,0,1
Andréa Dacourt,FRA,MF,17,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Andy Delort,ALG,FW,30,1991,8.7,139,230,60.4,2109,558,78,113,69.0,41,73,56.2,12,25,48.0,1,1.4,0.9,-0.4,11,16,7,1,19
Antoine Mendy,FRA,DF,18,2004,5.8,262,325,80.6,4265,1050,125,138,90.6,112,132,84.8,18,40,45.0,1,0.4,0.3,0.6,6,11,7,3,21
Ayoub Amraoui,MAR,"DF,FW",18,2004,3.3,155,185,83.8,2237,638,83,86,96.5,56,67,83.6,6,15,40.0,0,0.1,0.1,-0.1,2,10,2,2,13
Badredine Bouanani,ALG,"FW,MF",17,2004,9.6,288,378,76.2,4811,1017,146,169,86.4,102,125,81.6,29,59,49.2,4,3.5,2.6,0.5,22,18,18,8,31
Bilal Brahimi,ALG,"FW,MF",22,2000,8.9,280,389,72.0,4139,916,145,169,85.8,95,127,74.8,17,46,37.0,2,1.7,1.5,0.3,17,11,15,12,16
Calvin Stengs,NED,FW,23,1998,2.4,82,100,82.0,1288,254,45,55,81.8,31,34,91.2,3,7,42.9,0,0.1,0.4,-0.1,1,11,2,0,12
Dante,BRA,DF,38,1983,36.7,2376,2643,89.9,45941,18236,861,908,94.8,1220,1286,94.9,257,388,66.2,2,1.7,1.5,0.3,12,154,9,0,160
Flavius Daniliuc,AUT,DF,21,2001,1.0,57,63,90.5,787,259,35,38,92.1,15,16,93.8,3,4,75.0,0,0.1,0.0,-0.1,1,1,1,1,4
Gaëtan Laborde,FRA,FW,28,1994,27.8,471,714,66.0,6581,1639,292,380,76.8,132,200,66.0,24,69,34.8,3,5.8,6.0,-2.8,44,25,28,7,53
Hicham Boudaoui,ALG,MF,22,1999,20.8,1081,1226,88.2,17025,4134,533,589,90.5,422,464,90.9,66,93,71.0,2,1.9,1.5,0.1,23,99,16,3,110
Jean-Clair Todibo,FRA,DF,22,1999,31.9,1931,2181,88.5,37579,14089,614,646,95.0,1134,1198,94.7,161,289,55.7,0,0.2,0.6,-0.2,5,137,6,1,153
Joe Bryan,ENG,"MF,DF",28,1993,2.0,80,101,79.2,1121,455,52,59,88.1,25,29,86.2,2,6,33.3,0,0.0,0.1,0.0,1,2,3,0,8
Jordan Lotomba,SUI,DF,23,1998,27.3,1183,1412,83.8,17087,5822,700,775,90.3,408,484,84.3,38,69,55.1,2,0.9,1.4,1.1,16,70,22,10,106
Kasper Schmeichel,DEN,GK,35,1986,36.0,918,1188,77.3,25553,18698,162,162,100.0,419,430,97.4,332,589,56.4,0,0.4,0.0,-0.4,2,8,0,0,0
Khéphren Thuram,FRA,MF,21,2001,28.3,1155,1358,85.1,18557,4343,558,622,89.7,484,543,89.1,74,111,66.7,4,5.1,4.1,-1.1,36,107,24,2,128
Marcin Bułka,POL,GK,22,1999,2.0,54,67,80.6,1465,1156,9,9,100.0,32,33,97.0,13,25,52.0,0,0.0,0.0,0.0,0,0,0,0,0
Mario Lemina,GAB,"MF,DF",28,1993,9.3,569,637,89.3,9544,2701,253,268,94.4,252,265,95.1,42,75,56.0,0,0.1,0.2,-0.1,4,44,3,0,46
Mattia Viti,ITA,DF,20,2002,7.0,303,360,84.2,5043,1569,140,155,90.3,133,144,92.4,22,43,51.2,0,0.0,0.0,0.0,0,14,0,0,19
Melvin Bard,FRA,DF,21,2000,27.3,1201,1505,79.8,18633,6326,652,739,88.2,447,545,82.0,66,128,51.6,0,0.9,1.3,-0.9,10,70,21,7,96
Nicolas Pépé,CIV,"FW,MF",27,1995,16.6,558,694,80.4,8009,1739,327,376,87.0,159,198,80.3,35,54,64.8,0,2.6,3.1,-2.6,28,29,19,4,53
Pablo Rosario,NED,"MF,DF",25,1997,19.6,930,1049,88.7,16595,5260,377,412,91.5,431,470,91.7,95,124,76.6,1,1.8,1.0,-0.8,19,84,15,3,112
Rareş Ilie,ROU,"MF,FW",19,2003,1.6,47,60,78.3,559,91,32,37,86.5,8,11,72.7,2,3,66.7,0,0.2,0.0,-0.2,2,2,0,0,1
Reda Belahyane,FRA,MF,18,2004,2.0,103,114,90.4,1771,445,40,44,90.9,50,54,92.6,7,8,87.5,0,0.0,0.0,0.0,1,6,0,0,10
Ross Barkley,ENG,"MF,FW",28,1993,10.7,391,497,78.7,6687,1994,185,215,86.0,148,172,86.0,43,79,54.4,2,2.4,1.9,-0.4,31,36,8,0,48
Sofiane Diop,FRA,"MF,FW",22,2000,13.6,556,703,79.1,8948,2261,283,336,84.2,199,246,80.9,46,71,64.8,4,1.9,1.9,2.1,21,53,18,4,72
Terem Moffi,NGA,FW,23,1999,14.8,186,232,80.2,2484,375,111,134,82.8,58,65,89.2,4,5,80.0,3,2.9,1.1,0.1,27,7,7,1,20
Théo Trinker,FRA,MF,21,2001,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Youcef Atal,ALG,"DF,MF",26,1996,8.7,408,509,80.2,6228,1790,232,262,88.5,131,157,83.4,33,64,51.6,0,1.3,1.7,-1.3,11,28,16,7,39
Youssouf Ndayishimiye,BDI,"MF,DF",23,1998,6.3,337,374,90.1,6228,1553,130,139,93.5,165,178,92.7,35,47,74.5,0,0.1,0.4,-0.1,1,32,3,1,30
