NED-Eredivisie
2223
NEC Nijmegen
Andri Fannar Baldursson
ISL
MF
20
2002
11
1
213
2.4
0
0
0
0
0
0
2
0
0.2
0.2
0.0
0.3
1
9
0
0.0
0.0
0.0
0.0
0.0
0.09
0.02
0.11
0.09
0.11
