General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Ado Onaiwu,JPN,FW,26,1995,12.0,11,6,4,4,3,5,13,38.5,8,5,1,4,2,13,5,0
Anthony Rouault,FRA,DF,21,2001,36.8,66,37,54,10,2,30,58,51.7,28,52,26,26,56,122,126,4
Branco van den Boomen,NED,MF,27,1995,32.1,71,36,26,32,13,36,89,40.4,53,27,4,23,10,81,27,2
Brecht Dejaegere,BEL,MF,31,1991,20.1,40,23,10,20,10,15,51,29.4,36,25,5,20,14,54,11,0
Christian Mawissa,FRA,DF,17,2005,1.1,2,0,1,1,0,1,3,33.3,2,0,0,0,3,5,1,0
Denis Genreau,AUS,MF,23,1999,7.3,35,13,16,12,7,13,31,41.9,18,16,1,15,8,43,9,0
Fares Chaïbi,ALG,"FW,MF",19,2002,26.0,31,18,8,15,8,17,50,34.0,33,38,5,33,19,50,36,1
Gabriel Suazo,CHI,DF,24,1997,14.0,38,22,20,15,3,29,63,46.0,34,21,5,16,22,60,24,1
Issiaga Sylla,GUI,DF,28,1994,15.2,28,15,14,9,5,15,34,44.1,19,15,5,10,38,66,38,0
Kévin Keben Biakolo,CMR,DF,18,2004,4.0,3,2,2,0,1,0,4,0.0,4,1,0,1,5,8,9,0
Logan Costa,CPV,DF,21,2001,4.6,9,4,7,1,1,6,9,66.7,3,6,3,3,4,13,12,0
Maxime Dupé,FRA,GK,29,1993,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,3
Mikkel Desler,DEN,DF,27,1995,25.1,71,38,36,27,8,43,67,64.2,24,35,6,29,36,107,48,2
Moussa Diarra,MLI,DF,21,2000,13.6,20,9,9,9,2,9,15,60.0,6,25,10,15,19,39,27,1
Naatan Skyttä,FIN,MF,20,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Nathan N'Goumou,FRA,FW,22,2000,1.0,3,2,2,1,0,1,1,100.0,0,2,0,2,2,5,0,0
Oliver Zandén,SWE,"DF,MF",20,2001,1.6,2,1,1,0,1,2,5,40.0,3,0,0,0,1,3,7,0
Rafael Ratão,BRA,"FW,MF",26,1995,20.6,52,36,29,16,7,27,73,37.0,46,34,0,34,21,73,7,0
Rasmus Nicolaisen,DEN,DF,25,1997,33.3,48,21,34,14,0,29,46,63.0,17,58,45,13,50,98,152,0
Rhys Healey,WAL,FW,27,1994,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Saïd Hamulic,BIH,FW,21,2000,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Stijn Spierings,NED,MF,26,1996,34.7,95,67,37,49,9,43,101,42.6,58,49,11,38,53,148,44,0
Theocharis Tsingaras,GRE,MF,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Thijs Dallinga,NED,FW,21,2000,26.1,8,6,2,2,4,1,13,7.7,12,17,3,14,3,11,20,0
Veljko Birmančević,SRB,"FW,MF",24,1998,4.9,13,7,5,4,4,7,21,33.3,14,12,2,10,7,20,1,0
Vincent Sierro,SUI,MF,26,1995,7.4,19,11,9,9,1,11,29,37.9,18,12,3,9,4,23,11,1
Waren Kamanzi,NOR,DF,21,2000,7.4,16,9,9,5,2,13,19,68.4,6,8,2,6,8,24,9,0
Yanis Begraoui,MAR,"FW,MF",21,2001,0.7,2,0,1,0,1,1,2,50.0,1,0,0,0,1,3,0,0
Zakaria Aboukhlal,MAR,"FW,MF",22,2000,27.5,33,23,13,9,11,14,45,31.1,31,18,1,17,22,55,23,0
