General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Ado Onaiwu,JPN,FW,26,1995,12.0,252,337,74.8,3501,718,145,187,77.5,78,100,78.0,10,15,66.7,1,1.1,1.4,-0.1,8,19,10,1,30
Anthony Rouault,FRA,DF,21,2001,36.8,1802,2063,87.3,34985,13356,621,677,91.7,941,1003,93.8,208,329,63.2,1,0.8,0.5,0.2,6,113,6,0,136
Branco van den Boomen,NED,MF,27,1995,32.1,1684,2214,76.1,37506,12927,551,625,88.2,700,852,82.2,387,636,60.8,8,8.1,8.1,-0.1,88,270,51,13,321
Brecht Dejaegere,BEL,MF,31,1991,20.1,518,664,78.0,8008,2371,278,331,84.0,196,242,81.0,30,49,61.2,1,1.7,2.1,-0.7,17,56,25,0,96
Christian Mawissa,FRA,DF,17,2005,1.1,41,48,85.4,600,267,26,29,89.7,13,15,86.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,6
Denis Genreau,AUS,MF,23,1999,7.3,243,323,75.2,3403,1177,132,155,85.2,73,101,72.3,12,19,63.2,1,0.7,0.6,0.3,6,24,6,2,27
Fares Chaïbi,ALG,"FW,MF",19,2002,26.0,742,1018,72.9,11489,3144,398,486,81.9,252,324,77.8,56,121,46.3,5,4.9,4.5,0.1,30,68,27,5,101
Gabriel Suazo,CHI,DF,24,1997,14.0,687,828,83.0,10771,4493,344,384,89.6,281,324,86.7,38,64,59.4,1,0.8,0.9,0.2,11,49,15,2,79
Issiaga Sylla,GUI,DF,28,1994,15.2,645,838,77.0,9771,3801,339,407,83.3,246,307,80.1,31,56,55.4,0,0.5,1.1,-0.5,6,58,20,4,95
Kévin Keben Biakolo,CMR,DF,18,2004,4.0,117,148,79.1,1797,613,58,66,87.9,50,62,80.6,5,11,45.5,0,0.2,0.1,-0.2,2,3,1,0,5
Logan Costa,CPV,DF,21,2001,4.6,194,230,84.3,3783,1708,65,74,87.8,93,103,90.3,31,44,70.5,0,0.2,0.1,-0.2,2,15,2,0,18
Maxime Dupé,FRA,GK,29,1993,38.0,994,1271,78.2,25377,16802,169,169,100.0,560,570,98.2,258,523,49.3,0,0.0,0.0,0.0,0,6,0,0,0
Mikkel Desler,DEN,DF,27,1995,25.1,1336,1573,84.9,19956,7128,737,809,91.1,490,567,86.4,63,108,58.3,2,1.9,2.6,0.1,17,104,19,7,136
Moussa Diarra,MLI,DF,21,2000,13.6,537,646,83.1,8760,3452,252,291,86.6,235,265,88.7,32,51,62.7,1,0.7,0.6,0.3,8,30,11,4,50
Naatan Skyttä,FIN,MF,20,2002,0.3,7,11,63.6,87,19,4,6,66.7,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,3
Nathan N'Goumou,FRA,FW,22,2000,1.0,25,30,83.3,352,110,18,22,81.8,5,6,83.3,1,1,100.0,0,0.3,0.4,-0.3,1,2,4,1,5
Oliver Zandén,SWE,"DF,MF",20,2001,1.6,47,71,66.2,768,319,22,31,71.0,20,31,64.5,3,6,50.0,0,0.1,0.1,-0.1,2,6,2,1,6
Rafael Ratão,BRA,"FW,MF",26,1995,20.6,590,800,73.8,8370,2341,338,423,79.9,183,243,75.3,31,58,53.4,4,4.1,3.8,-0.1,30,46,33,9,83
Rasmus Nicolaisen,DEN,DF,25,1997,33.3,1484,1763,84.2,29502,11304,479,556,86.2,790,870,90.8,188,289,65.1,2,0.8,0.7,1.2,5,81,3,0,114
Rhys Healey,WAL,FW,27,1994,0.7,8,15,53.3,64,7,3,6,50.0,1,3,33.3,0,0,,0,0.2,0.1,-0.2,2,0,0,0,0
Saïd Hamulic,BIH,FW,21,2000,1.2,6,10,60.0,111,56,2,2,100.0,3,5,60.0,1,2,50.0,0,0.0,0.1,0.0,1,3,0,0,2
Stijn Spierings,NED,MF,26,1996,34.7,1778,2085,85.3,32238,10001,781,875,89.3,730,809,90.2,210,298,70.5,0,2.1,1.7,-2.1,22,192,22,5,231
Theocharis Tsingaras,GRE,MF,21,2000,0.1,4,5,80.0,74,25,2,2,100.0,2,2,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,1
Thijs Dallinga,NED,FW,21,2000,26.1,327,522,62.6,4337,720,200,288,69.4,89,145,61.4,12,18,66.7,1,2.0,1.3,-1.0,22,19,5,1,30
Veljko Birmančević,SRB,"FW,MF",24,1998,4.9,107,161,66.5,1391,503,62,87,71.3,33,45,73.3,2,8,25.0,0,0.2,0.2,-0.2,2,9,4,0,16
Vincent Sierro,SUI,MF,26,1995,7.4,321,408,78.7,6144,1812,120,145,82.8,151,174,86.8,41,67,61.2,0,0.8,0.6,-0.8,11,36,6,0,49
Waren Kamanzi,NOR,DF,21,2000,7.4,306,358,85.5,4140,1289,187,208,89.9,98,123,79.7,7,10,70.0,0,0.3,0.2,-0.3,5,17,2,0,22
Yanis Begraoui,MAR,"FW,MF",21,2001,0.7,14,19,73.7,207,68,9,12,75.0,4,5,80.0,1,2,50.0,0,0.3,0.0,-0.3,2,1,1,0,3
Zakaria Aboukhlal,MAR,"FW,MF",22,2000,27.5,576,777,74.1,7539,1994,373,447,83.4,158,208,76.0,12,29,41.4,5,3.3,2.8,1.7,22,30,22,4,72
