General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Ado Onaiwu,JPN,FW,26,1995,12.0,337,328,7,1,2,3,5,2,0,0,0,0,252,2,16
Anthony Rouault,FRA,DF,21,2001,36.8,2063,1923,138,67,1,23,0,12,0,0,0,0,1802,2,14
Branco van den Boomen,NED,MF,27,1995,32.1,2214,1891,310,89,12,70,282,21,169,58,101,0,1684,13,37
Brecht Dejaegere,BEL,MF,31,1991,20.1,664,619,40,2,5,3,19,8,1,1,0,0,518,5,18
Christian Mawissa,FRA,DF,17,2005,1.1,48,41,7,1,0,0,1,6,0,0,0,0,41,0,0
Denis Genreau,AUS,MF,23,1999,7.3,323,313,10,1,0,2,16,4,0,0,0,0,243,0,17
Fares Chaïbi,ALG,"FW,MF",19,2002,26.0,1018,975,37,8,6,13,57,14,8,1,4,0,742,6,33
Gabriel Suazo,CHI,DF,24,1997,14.0,828,722,101,9,1,3,14,92,0,0,0,0,687,5,25
Issiaga Sylla,GUI,DF,28,1994,15.2,838,675,160,17,0,1,41,143,0,0,0,0,645,3,25
Kévin Keben Biakolo,CMR,DF,18,2004,4.0,148,112,36,1,0,1,6,35,0,0,0,0,117,0,6
Logan Costa,CPV,DF,21,2001,4.6,230,225,5,4,0,0,0,1,0,0,0,0,194,0,3
Maxime Dupé,FRA,GK,29,1993,38.0,1271,918,352,88,0,2,0,0,0,0,0,0,994,1,1
Mikkel Desler,DEN,DF,27,1995,25.1,1573,1338,230,22,1,2,42,208,0,0,0,0,1336,5,36
Moussa Diarra,MLI,DF,21,2000,13.6,646,552,89,21,0,5,13,68,0,0,0,0,537,5,15
Naatan Skyttä,FIN,MF,20,2002,0.3,11,11,0,0,0,0,0,0,0,0,0,0,7,0,0
Nathan N'Goumou,FRA,FW,22,2000,1.0,30,29,1,0,0,0,1,1,0,0,0,0,25,0,1
Oliver Zandén,SWE,"DF,MF",20,2001,1.6,71,58,13,2,0,0,6,11,0,0,0,0,47,0,3
Rafael Ratão,BRA,"FW,MF",26,1995,20.6,800,777,18,1,5,3,52,16,0,0,0,0,590,5,25
Rasmus Nicolaisen,DEN,DF,25,1997,33.3,1763,1721,40,37,0,20,0,3,0,0,0,0,1484,2,10
Rhys Healey,WAL,FW,27,1994,0.7,15,15,0,0,0,0,0,0,0,0,0,0,8,0,1
Saïd Hamulic,BIH,FW,21,2000,1.2,10,9,1,0,1,0,1,0,0,0,0,0,6,0,1
Stijn Spierings,NED,MF,26,1996,34.7,2085,2005,75,68,1,35,21,7,0,0,0,0,1778,5,40
Theocharis Tsingaras,GRE,MF,21,2000,0.1,5,4,1,1,0,0,0,0,0,0,0,0,4,0,0
Thijs Dallinga,NED,FW,21,2000,26.1,522,516,4,0,0,4,18,2,0,0,0,0,327,2,32
Veljko Birmančević,SRB,"FW,MF",24,1998,4.9,161,152,5,1,0,2,5,3,1,0,0,0,107,4,5
Vincent Sierro,SUI,MF,26,1995,7.4,408,367,38,7,2,7,25,2,21,11,8,0,321,3,8
Waren Kamanzi,NOR,DF,21,2000,7.4,358,295,62,4,0,1,6,58,0,0,0,0,306,1,4
Yanis Begraoui,MAR,"FW,MF",21,2001,0.7,19,17,2,0,0,0,0,0,0,0,0,0,14,0,0
Zakaria Aboukhlal,MAR,"FW,MF",22,2000,27.5,777,744,28,1,1,1,29,22,1,0,0,0,576,5,46
