General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Ado Onaiwu,JPN,FW,26,1995,12.0,438,7,42,202,198,35,438,15,6,40.0,8,53.3,334,1810,619,11,11,6,24,26,355,86
Anthony Rouault,FRA,DF,21,2001,36.8,2451,369,1282,1113,69,33,2451,10,3,30.0,5,50.0,1683,8531,4632,10,8,1,23,5,1513,6
Branco van den Boomen,NED,MF,27,1995,32.1,2457,43,385,1362,726,38,2453,38,19,50.0,14,36.8,1758,8854,3811,48,54,7,32,12,1682,102
Brecht Dejaegere,BEL,MF,31,1991,20.1,879,21,114,478,303,43,879,50,19,38.0,25,50.0,649,3832,1521,36,26,5,35,18,613,96
Christian Mawissa,FRA,DF,17,2005,1.1,56,5,11,34,11,0,56,1,0,0.0,1,100.0,39,195,113,1,2,0,0,0,35,1
Denis Genreau,AUS,MF,23,1999,7.3,435,18,106,208,126,16,435,23,8,34.8,14,60.9,289,1596,677,9,14,2,14,6,263,34
Fares Chaïbi,ALG,"FW,MF",19,2002,26.0,1314,48,194,606,531,86,1314,36,12,33.3,21,58.3,997,5316,2412,71,41,18,54,24,970,212
Gabriel Suazo,CHI,DF,24,1997,14.0,976,57,306,483,199,15,976,34,22,64.7,11,32.4,697,4072,2110,26,34,2,16,10,611,66
Issiaga Sylla,GUI,DF,28,1994,15.2,1027,56,261,448,332,17,1027,34,10,29.4,22,64.7,668,4225,2097,51,44,5,23,34,576,107
Kévin Keben Biakolo,CMR,DF,18,2004,4.0,198,13,69,84,49,3,198,10,1,10.0,7,70.0,118,619,225,5,10,1,8,5,96,18
Logan Costa,CPV,DF,21,2001,4.6,280,40,150,119,15,8,280,3,1,33.3,1,33.3,207,1138,632,5,3,1,5,0,186,0
Maxime Dupé,FRA,GK,29,1993,38.0,1372,1064,1364,7,1,1,1372,2,2,100.0,0,0.0,941,5150,3364,0,0,0,2,0,686,0
Mikkel Desler,DEN,DF,27,1995,25.1,1855,94,457,936,477,33,1855,51,27,52.9,16,31.4,1269,6952,3217,59,56,9,40,17,1146,127
Moussa Diarra,MLI,DF,21,2000,13.6,789,56,296,344,153,8,789,24,9,37.5,13,54.2,546,3188,1480,21,22,1,23,5,489,43
Naatan Skyttä,FIN,MF,20,2002,0.3,14,1,2,7,5,3,14,0,0,,0,,11,93,49,1,0,0,1,0,10,2
Nathan N'Goumou,FRA,FW,22,2000,1.0,40,0,6,14,20,0,40,3,1,33.3,2,66.7,27,167,27,1,2,0,0,2,25,7
Oliver Zandén,SWE,"DF,MF",20,2001,1.6,89,8,25,31,33,3,89,6,3,50.0,2,33.3,51,251,121,4,0,0,3,0,45,12
Rafael Ratão,BRA,"FW,MF",26,1995,20.6,1084,17,160,478,464,72,1084,85,38,44.7,37,43.5,856,5513,2196,61,40,16,57,31,783,216
Rasmus Nicolaisen,DEN,DF,25,1997,33.3,2130,328,1123,960,55,33,2130,15,9,60.0,3,20.0,1500,8417,4790,21,9,2,7,6,1353,4
Rhys Healey,WAL,FW,27,1994,0.7,24,0,2,7,15,8,24,0,0,,0,,19,94,21,1,0,1,3,2,23,7
Saïd Hamulic,BIH,FW,21,2000,1.2,24,0,0,15,10,1,24,5,3,60.0,2,40.0,22,188,27,1,1,0,3,4,20,3
Stijn Spierings,NED,MF,26,1996,34.7,2428,96,582,1532,340,20,2428,40,16,40.0,13,32.5,1843,8655,3759,31,41,4,27,25,1616,30
Theocharis Tsingaras,GRE,MF,21,2000,0.1,5,0,0,4,1,0,5,0,0,,0,,3,9,3,0,0,0,0,0,3,0
Thijs Dallinga,NED,FW,21,2000,26.1,719,24,43,341,341,110,719,24,10,41.7,9,37.5,517,2700,742,23,21,8,40,18,574,174
Veljko Birmančević,SRB,"FW,MF",24,1998,4.9,240,7,37,90,116,21,240,22,5,22.7,12,54.5,182,1095,521,21,13,11,13,3,169,50
Vincent Sierro,SUI,MF,26,1995,7.4,485,16,100,296,92,6,485,8,6,75.0,1,12.5,343,1717,666,7,10,2,6,7,313,13
Waren Kamanzi,NOR,DF,21,2000,7.4,431,28,138,187,109,7,431,18,10,55.6,5,27.8,293,1715,1007,22,22,4,6,6,252,28
Yanis Begraoui,MAR,"FW,MF",21,2001,0.7,29,0,7,11,11,2,29,2,1,50.0,1,50.0,22,91,32,1,1,0,6,1,21,3
Zakaria Aboukhlal,MAR,"FW,MF",22,2000,27.5,1163,32,156,456,571,151,1163,109,42,38.5,57,52.3,901,6003,2662,100,48,44,83,36,843,276
