General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Anuar,MAR,"MF,FW",27,1995,2.3,4,4,0,1,3,0,0,,0,5,2,3,3,7,3,0
Babatunde Akinsola,NGA,FW,19,2003,0.1,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Cyle Larin,CAN,FW,27,1995,16.3,9,3,2,4,3,3,7,42.9,4,6,3,3,0,9,15,0
Darwin Machís,VEN,FW,29,1993,6.7,3,2,0,2,1,1,8,12.5,7,5,0,5,3,6,4,0
David Torres,ESP,DF,19,2003,4.3,1,1,0,1,0,1,1,100.0,0,4,2,2,3,4,8,0
Gonzalo Plata,ECU,FW,21,2000,25.6,66,35,31,24,11,23,70,32.9,47,40,0,40,12,78,10,1
Iván Fresneda,ESP,DF,17,2004,19.4,48,34,31,13,4,29,47,61.7,18,32,8,24,15,63,60,0
Iván Sánchez,ESP,"MF,FW",29,1992,12.8,20,14,8,8,4,10,27,37.0,17,14,1,13,8,28,4,0
Javi Sánchez,ESP,DF,25,1997,26.6,43,26,27,15,1,17,26,65.4,9,32,22,10,46,89,116,0
Jawad El Yamiq,MAR,DF,30,1992,17.9,17,11,10,7,0,6,11,54.5,5,27,19,8,37,54,101,0
Joaquín Fernández,ESP,DF,26,1996,24.0,35,28,20,11,4,19,30,63.3,11,31,22,9,27,62,98,1
Jordi Masip,ESP,GK,33,1989,27.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,3,2
Juanjo Narváez,COL,"MF,FW",27,1995,1.6,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0
Kenedy,BRA,"FW,DF",26,1996,3.1,6,2,3,3,0,2,4,50.0,2,2,0,2,1,7,0,0
Kike Pérez,ESP,MF,25,1997,25.6,67,33,30,32,5,25,68,36.8,43,26,7,19,20,87,28,0
Lucas Olaza,URU,DF,28,1994,16.6,24,14,12,10,2,17,26,65.4,9,20,8,12,14,38,34,0
Lucas Oliveira Rosa,BRA,DF,22,2000,10.3,39,18,23,10,6,12,20,60.0,8,12,2,10,15,54,24,0
Luis Pérez,ESP,DF,27,1995,13.5,44,24,26,12,6,27,38,71.1,11,13,4,9,16,60,29,0
Manuel Pozo,ESP,FW,20,2001,0.2,0,0,0,0,0,0,0,,0,2,0,2,2,2,0,0
Martin Hongla,CMR,"DF,MF",24,1998,14.5,18,13,13,5,0,11,21,52.4,10,15,12,3,8,26,46,1
Mickael Malsa,MTQ,MF,26,1995,0.8,2,2,1,1,0,1,4,25.0,3,1,1,0,2,4,3,0
Monchu,ESP,MF,22,1999,22.6,50,29,20,21,9,19,46,41.3,27,28,11,17,18,68,22,1
Roberto Arroyo,ESP,MF,18,2003,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Roque Mesa,ESP,MF,33,1989,18.0,27,15,16,10,1,12,38,31.6,26,16,4,12,13,40,18,0
Selim Amallah,MAR,"MF,FW",25,1996,3.0,15,9,7,8,0,5,8,62.5,3,2,0,2,5,20,2,0
Sergi Guardiola,ESP,FW,31,1991,5.6,12,7,6,5,1,2,4,50.0,2,6,0,6,2,14,7,0
Sergio Asenjo,ESP,GK,33,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2
Sergio Escudero,ESP,DF,32,1989,16.0,33,19,21,8,4,15,35,42.9,20,26,6,20,26,59,46,0
Sergio León,ESP,FW,33,1989,14.8,6,4,0,4,2,3,6,50.0,3,6,0,6,0,6,4,0
Shon Weissman,ISR,FW,26,1996,8.3,2,1,1,1,0,0,4,0.0,4,8,0,8,1,3,7,0
Sékou Gassama,SEN,FW,27,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Toni Villa,ESP,MF,27,1995,1.0,6,3,2,3,1,4,9,44.4,5,0,0,0,0,6,0,0
Zouhair Feddal,MAR,DF,33,1989,4.2,4,2,1,3,0,3,4,75.0,1,9,9,0,5,9,27,0
Álvaro Aceves,ESP,GK,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Álvaro Aguado,ESP,MF,26,1996,21.0,27,15,13,11,3,15,25,60.0,10,16,4,12,13,40,15,0
Óscar Plano,ESP,"FW,MF",31,1991,22.6,40,25,9,17,14,12,37,32.4,25,26,2,24,29,69,23,0
