General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Jordi Masip,ESP,GK,33,1989,27.9,42,5,0,0,1,45.8,0.27,4.8,0.17,133,389,34.2,722,121,36.8,35.9,239,51.5,41.9,396,15,3.8,14,0.5,12.7
Sergio Asenjo,ESP,GK,33,1989,10.0,21,1,1,0,0,16.8,0.31,-4.2,-0.42,58,162,35.8,260,46,38.8,35.8,92,66.3,51.2,166,5,3.0,17,1.7,16.1
Álvaro Aceves,ESP,GK,19,2003,0.1,0,0,0,0,0,0.1,0.04,0.1,0.9,1,2,50.0,7,3,28.6,25.7,1,0.0,24.0,1,0,0.0,2,13.85,33.0
