General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Benno Schmitz,GER,DF,27,1994,26.9,938,1499,62.6,16734,8969,398,488,81.6,435,644,67.5,91,272,33.5,0,2.4,3.1,-2.4,19,108,42,19,149
Davie Selke,GER,FW,27,1995,9.7,118,212,55.7,1441,257,75,116,64.7,35,62,56.5,0,3,0.0,0,0.9,1.1,-0.9,9,4,4,0,16
Dejan Ljubicic,AUT,"MF,FW",24,1997,19.0,445,615,72.4,6899,1962,249,301,82.7,142,185,76.8,36,66,54.5,1,2.1,1.9,-1.1,27,39,22,6,65
Denis Huseinbasic,BIH,"MF,FW",21,2001,8.8,216,282,76.6,3125,789,129,152,84.9,65,78,83.3,13,22,59.1,1,0.3,0.6,0.7,5,23,6,0,34
Dimitris Limnios,GRE,FW,24,1998,0.4,13,23,56.5,190,28,7,8,87.5,4,8,50.0,1,3,33.3,0,0.1,0.1,-0.1,2,1,0,0,0
Ellyes Skhiri,TUN,MF,27,1995,31.7,1505,1717,87.7,26548,8222,615,688,89.4,739,804,91.9,126,152,82.9,1,1.8,1.8,-0.8,27,112,13,2,155
Eric Martel,GER,MF,20,2002,22.4,695,888,78.3,11692,2691,307,360,85.3,321,385,83.4,48,84,57.1,1,0.8,1.3,0.2,7,50,8,4,72
Florian Dietz,GER,FW,23,1998,4.4,39,76,51.3,487,111,27,40,67.5,7,20,35.0,2,5,40.0,0,0.3,0.5,-0.3,4,4,0,0,5
Florian Kainz,AUT,"MF,FW",29,1992,26.0,759,1207,62.9,15078,6097,285,341,83.6,319,443,72.0,134,325,41.2,10,8.7,8.7,1.3,70,82,57,18,159
Jan Thielmann,GER,FW,20,2002,9.7,158,249,63.5,2625,624,80,109,73.4,64,83,77.1,10,23,43.5,2,0.9,2.1,1.1,10,10,11,7,19
Jonas Hector,GER,DF,32,1990,31.4,1378,1830,75.3,24579,7977,609,681,89.4,596,744,80.1,145,307,47.2,2,3.9,4.3,-1.9,32,86,16,9,129
Julian Chabot,GER,DF,24,1998,20.0,975,1184,82.3,18978,6050,320,359,89.1,560,635,88.2,89,171,52.0,2,2.0,0.8,0.0,4,45,0,0,52
Justin Diehl,GER,"MF,FW",17,2004,0.2,2,2,100.0,19,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Kingsley Ehizibue,NED,DF,27,1995,0.7,15,24,62.5,275,142,8,10,80.0,3,6,50.0,4,6,66.7,0,0.0,0.0,0.0,0,1,1,0,2
Kingsley Schindler,GHA,"DF,MF",29,1993,12.1,352,546,64.5,6455,2445,133,169,78.7,173,243,71.2,37,86,43.0,1,0.7,0.7,0.3,10,30,12,3,50
Kristian Pedersen,DEN,DF,27,1994,3.1,121,173,69.9,2180,1051,48,59,81.4,58,78,74.4,12,25,48.0,0,0.1,0.0,-0.1,2,7,1,0,10
Linton Maina,GER,"FW,MF",23,1999,24.9,474,684,69.3,6857,1622,279,332,84.0,155,213,72.8,23,62,37.1,7,5.9,4.8,1.1,35,32,25,9,61
Luca Kilian,GER,DF,22,1999,12.5,585,685,85.4,11572,3324,147,169,87.0,377,399,94.5,56,101,55.4,0,0.2,0.2,-0.2,3,38,1,0,53
Mark Uth,GER,"MF,FW",30,1991,0.5,11,15,73.3,181,42,5,7,71.4,5,5,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,1
Marvin Schwäbe,GER,GK,27,1995,34.0,1091,1390,78.5,28445,18655,168,170,98.8,636,646,98.5,287,569,50.4,0,0.0,0.1,0.0,0,22,1,0,1
Mathias Olesen,LUX,MF,21,2001,5.3,123,157,78.3,1974,458,61,75,81.3,41,48,85.4,10,16,62.5,0,0.1,0.2,-0.1,2,9,3,1,15
Nikola Soldo,CRO,DF,21,2001,6.6,270,348,77.6,5661,1561,61,74,82.4,174,191,91.1,35,72,48.6,0,0.0,0.0,0.0,1,11,1,0,15
Ondrej Duda,SVK,MF,27,1994,7.7,208,279,74.6,3598,866,97,115,84.3,82,101,81.2,20,37,54.1,0,0.7,0.8,-0.7,8,28,5,1,40
Sargis Adamyan,ARM,"FW,MF",29,1993,7.2,123,179,68.7,2000,527,61,76,80.3,48,64,75.0,10,16,62.5,2,0.8,1.4,1.2,8,7,11,2,24
Steffen Tigges,GER,FW,24,1998,17.7,200,348,57.5,2900,748,112,177,63.3,65,101,64.4,11,21,52.4,1,1.9,1.3,-0.9,17,26,13,3,31
Tim Lemperle,GER,"FW,MF",20,2002,1.5,28,53,52.8,344,123,17,26,65.4,5,12,41.7,2,4,50.0,0,1.0,1.0,-1.0,3,3,2,0,5
Timo Hübers,GER,DF,26,1996,28.4,1400,1702,82.3,28853,9551,334,381,87.7,908,1010,89.9,149,274,54.4,0,0.1,0.6,-0.1,2,60,4,0,84
