General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Benno Schmitz,GER,DF,27,1994,26.9,1499,1183,307,13,1,1,96,294,0,0,0,0,938,9,49
Davie Selke,GER,FW,27,1995,9.7,212,203,6,0,0,0,7,0,0,0,0,0,118,3,6
Dejan Ljubicic,AUT,"MF,FW",24,1997,19.0,615,598,10,1,2,2,42,2,2,1,1,0,445,7,24
Denis Huseinbasic,BIH,"MF,FW",21,2001,8.8,282,277,5,1,0,1,12,2,2,0,1,0,216,0,13
Dimitris Limnios,GRE,FW,24,1998,0.4,23,20,3,0,0,0,6,0,3,1,2,0,13,0,2
Ellyes Skhiri,TUN,MF,27,1995,31.7,1717,1647,65,52,1,9,13,12,0,0,0,0,1505,5,23
Eric Martel,GER,MF,20,2002,22.4,888,876,10,9,1,3,20,1,0,0,0,0,695,2,25
Florian Dietz,GER,FW,23,1998,4.4,76,66,9,0,0,0,4,2,0,0,0,0,39,1,3
Florian Kainz,AUT,"MF,FW",29,1992,26.0,1207,943,251,62,8,10,251,26,152,61,66,0,759,13,51
Jan Thielmann,GER,FW,20,2002,9.7,249,233,14,1,0,3,37,13,0,0,0,0,158,2,20
Jonas Hector,GER,DF,32,1990,31.4,1830,1449,375,69,1,4,114,280,23,12,4,0,1378,6,46
Julian Chabot,GER,DF,24,1998,20.0,1184,1106,76,43,1,3,3,1,0,0,0,0,975,2,5
Justin Diehl,GER,"MF,FW",17,2004,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Kingsley Ehizibue,NED,DF,27,1995,0.7,24,18,6,1,0,0,0,5,0,0,0,0,15,0,1
Kingsley Schindler,GHA,"DF,MF",29,1993,12.1,546,438,106,4,0,1,45,99,3,1,1,0,352,2,28
Kristian Pedersen,DEN,DF,27,1994,3.1,173,135,38,3,0,2,4,35,0,0,0,0,121,0,4
Linton Maina,GER,"FW,MF",23,1999,24.9,684,640,43,5,1,1,87,15,18,10,5,0,474,1,47
Luca Kilian,GER,DF,22,1999,12.5,685,662,20,13,0,5,1,4,0,0,0,0,585,3,5
Mark Uth,GER,"MF,FW",30,1991,0.5,15,12,3,1,0,0,2,0,1,0,1,0,11,0,0
Marvin Schwäbe,GER,GK,27,1995,34.0,1390,1135,253,68,0,1,0,0,0,0,0,0,1091,2,1
Mathias Olesen,LUX,MF,21,2001,5.3,157,151,5,1,0,2,2,0,0,0,0,0,123,1,4
Nikola Soldo,CRO,DF,21,2001,6.6,348,333,12,11,0,2,1,1,0,0,0,0,270,3,6
Ondrej Duda,SVK,MF,27,1994,7.7,279,259,19,6,0,7,12,2,1,1,0,0,208,1,10
Sargis Adamyan,ARM,"FW,MF",29,1993,7.2,179,159,19,0,1,1,13,6,0,0,0,0,123,1,8
Steffen Tigges,GER,FW,24,1998,17.7,348,319,28,0,0,1,15,6,0,0,0,0,200,1,15
Tim Lemperle,GER,"FW,MF",20,2002,1.5,53,51,1,0,2,0,1,0,0,0,0,0,28,1,3
Timo Hübers,GER,DF,26,1996,28.4,1702,1627,73,45,1,3,2,5,0,0,0,0,1400,2,10
