General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Benno Schmitz,GER,DF,27,1994,26.9,1757,83,485,799,483,22,1757,11,3,27.3,7,63.6,777,3363,1919,48,39,3,24,8,915,126
Davie Selke,GER,FW,27,1995,9.7,298,17,28,147,126,53,298,9,4,44.4,5,55.6,131,504,254,7,6,0,12,9,235,40
Dejan Ljubicic,AUT,"MF,FW",24,1997,19.0,809,15,116,376,334,58,808,47,19,40.4,25,53.2,476,2683,1290,37,32,10,39,16,530,95
Denis Huseinbasic,BIH,"MF,FW",21,2001,8.8,409,9,65,181,168,26,409,19,6,31.6,12,63.2,229,1208,504,12,10,2,24,18,241,45
Dimitris Limnios,GRE,FW,24,1998,0.4,28,0,2,10,16,3,28,2,2,100.0,0,0.0,18,98,54,2,0,0,0,1,18,7
Ellyes Skhiri,TUN,MF,27,1995,31.7,2056,105,583,1207,287,54,2056,32,24,75.0,8,25.0,1123,6762,3462,50,35,7,27,20,1263,61
Eric Martel,GER,MF,20,2002,22.4,1196,72,333,661,213,35,1196,13,7,53.8,5,38.5,595,2557,839,17,20,1,35,25,651,46
Florian Dietz,GER,FW,23,1998,4.4,137,3,4,62,72,25,137,7,1,14.3,4,57.1,68,331,153,8,4,4,18,9,99,22
Florian Kainz,AUT,"MF,FW",29,1992,26.0,1496,24,207,641,673,45,1493,82,33,40.2,35,42.7,812,4905,2154,64,54,8,39,36,877,147
Jan Thielmann,GER,FW,20,2002,9.7,373,7,46,146,192,31,373,35,19,54.3,13,37.1,230,1616,654,27,15,9,38,12,245,66
Jonas Hector,GER,DF,32,1990,31.4,2247,127,668,1061,545,56,2247,59,33,55.9,15,25.4,1125,5762,2579,54,44,9,36,19,1226,122
Julian Chabot,GER,DF,24,1998,20.0,1434,228,831,572,35,17,1434,8,4,50.0,1,12.5,765,3090,1438,5,6,1,4,2,825,2
Justin Diehl,GER,"MF,FW",17,2004,0.2,3,0,0,0,3,0,3,1,0,0.0,1,100.0,3,17,12,0,0,0,0,0,4,1
Kingsley Ehizibue,NED,DF,27,1995,0.7,33,1,12,14,7,0,33,1,0,0.0,1,100.0,15,66,31,1,2,0,2,0,18,3
Kingsley Schindler,GHA,"DF,MF",29,1993,12.1,699,37,165,305,234,25,699,22,8,36.4,11,50.0,345,1642,684,20,14,5,27,15,382,75
Kristian Pedersen,DEN,DF,27,1994,3.1,215,22,94,91,31,2,215,7,2,28.6,5,71.4,86,482,222,6,0,0,1,1,100,3
Linton Maina,GER,"FW,MF",23,1999,24.9,932,11,81,349,523,99,932,68,22,32.4,38,55.9,597,5016,2421,90,53,37,55,26,626,173
Luca Kilian,GER,DF,22,1999,12.5,801,87,442,326,37,7,801,4,2,50.0,1,25.0,510,2877,1621,14,8,0,4,3,528,4
Mark Uth,GER,"MF,FW",30,1991,0.5,20,0,0,12,8,3,20,2,1,50.0,1,50.0,8,34,19,0,0,0,2,0,12,1
Marvin Schwäbe,GER,GK,27,1995,34.0,1457,1025,1439,20,0,0,1457,0,0,,0,,940,4444,2678,0,1,1,1,0,911,0
Mathias Olesen,LUX,MF,21,2001,5.3,193,5,45,113,38,3,193,4,2,50.0,1,25.0,100,513,212,2,5,0,4,9,114,11
Nikola Soldo,CRO,DF,21,2001,6.6,421,47,230,182,13,7,421,3,0,0.0,3,100.0,236,1193,722,3,2,0,1,0,261,0
Ondrej Duda,SVK,MF,27,1994,7.7,360,5,37,205,120,14,360,21,9,42.9,11,52.4,220,1157,450,12,9,3,16,13,241,33
Sargis Adamyan,ARM,"FW,MF",29,1993,7.2,310,6,36,134,147,48,310,27,6,22.2,16,59.3,166,924,352,12,8,5,28,16,191,58
Steffen Tigges,GER,FW,24,1998,17.7,531,20,45,259,230,85,531,23,10,43.5,12,52.2,247,1262,526,20,7,10,32,21,340,81
Tim Lemperle,GER,"FW,MF",20,2002,1.5,85,4,13,37,38,9,85,8,3,37.5,5,62.5,49,234,82,1,2,2,6,6,53,16
Timo Hübers,GER,DF,26,1996,28.4,2020,272,1191,787,57,24,2020,6,6,100.0,0,0.0,1146,5506,2832,10,7,0,10,2,1217,2
