General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Benno Schmitz,GER,DF,27,1994,26.9,64,42,31,28,5,42,82,51.2,40,34,4,30,26,90,57,0
Davie Selke,GER,FW,27,1995,9.7,0,0,0,0,0,0,4,0.0,4,4,1,3,0,0,11,0
Dejan Ljubicic,AUT,"MF,FW",24,1997,19.0,25,14,7,14,4,13,40,32.5,27,20,1,19,8,33,8,1
Denis Huseinbasic,BIH,"MF,FW",21,2001,8.8,23,9,8,11,4,10,25,40.0,15,16,2,14,4,27,5,0
Dimitris Limnios,GRE,FW,24,1998,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Ellyes Skhiri,TUN,MF,27,1995,31.7,79,44,29,42,8,26,66,39.4,40,52,12,40,56,135,48,0
Eric Martel,GER,MF,20,2002,22.4,66,41,29,30,7,30,60,50.0,30,29,9,20,33,99,49,0
Florian Dietz,GER,FW,23,1998,4.4,2,1,0,2,0,1,4,25.0,3,4,1,3,0,2,2,0
Florian Kainz,AUT,"MF,FW",29,1992,26.0,21,10,7,12,2,8,26,30.8,18,27,6,21,32,53,30,1
Jan Thielmann,GER,FW,20,2002,9.7,9,8,3,4,2,2,11,18.2,9,16,3,13,9,18,7,0
Jonas Hector,GER,DF,32,1990,31.4,112,66,59,43,10,66,113,58.4,47,61,9,52,39,151,74,1
Julian Chabot,GER,DF,24,1998,20.0,36,23,19,14,3,20,35,57.1,15,30,18,12,41,77,105,0
Justin Diehl,GER,"MF,FW",17,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kingsley Ehizibue,NED,DF,27,1995,0.7,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0
Kingsley Schindler,GHA,"DF,MF",29,1993,12.1,23,12,13,8,2,18,28,64.3,10,14,2,12,15,38,24,0
Kristian Pedersen,DEN,DF,27,1994,3.1,5,4,4,1,0,0,2,0.0,2,3,0,3,6,11,17,0
Linton Maina,GER,"FW,MF",23,1999,24.9,18,12,5,11,2,7,30,23.3,23,19,0,19,5,23,9,0
Luca Kilian,GER,DF,22,1999,12.5,22,16,14,7,1,12,21,57.1,9,16,8,8,11,33,48,0
Mark Uth,GER,"MF,FW",30,1991,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marvin Schwäbe,GER,GK,27,1995,34.0,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,8,2
Mathias Olesen,LUX,MF,21,2001,5.3,10,5,4,4,2,5,8,62.5,3,6,1,5,2,12,3,0
Nikola Soldo,CRO,DF,21,2001,6.6,15,9,8,7,0,7,11,63.6,4,7,6,1,7,22,28,0
Ondrej Duda,SVK,MF,27,1994,7.7,9,8,2,5,2,4,11,36.4,7,7,1,6,2,11,3,0
Sargis Adamyan,ARM,"FW,MF",29,1993,7.2,14,7,5,3,6,7,17,41.2,10,12,0,12,4,18,5,0
Steffen Tigges,GER,FW,24,1998,17.7,12,7,1,8,3,4,14,28.6,10,13,2,11,8,20,17,0
Tim Lemperle,GER,"FW,MF",20,2002,1.5,6,4,3,1,2,3,5,60.0,2,5,0,5,1,7,4,0
Timo Hübers,GER,DF,26,1996,28.4,43,28,35,8,0,24,52,46.2,28,27,13,14,58,101,153,0
