General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Mory Diaw,SEN,GK,29,1993,37.0,47,8,0,5,0,55.4,0.28,8.4,0.23,235,601,39.1,1209,173,40.0,37.0,255,45.9,40.4,464,34,7.3,25,0.68,11.5
Ouparine Djoco,GNB,GK,24,1998,1.0,2,0,0,0,0,1.0,0.34,-1.0,-0.97,3,17,17.6,30,4,40.0,33.6,10,50.0,31.7,14,1,7.1,5,5.0,21.3
