General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Alidu Seidu,GHA,DF,22,2000,27.3,1152,1375,83.8,20609,6267,470,517,90.9,537,612,87.7,110,184,59.8,0,0.5,0.6,-0.5,7,52,11,6,65
Arial Mendy,SEN,DF,27,1994,2.5,82,120,68.3,1347,382,42,55,76.4,32,45,71.1,7,14,50.0,0,0.1,0.3,-0.1,1,7,4,2,7
Aïman Maurer,MAR,MF,17,2004,5.6,87,125,69.6,1442,365,46,55,83.6,35,43,81.4,5,20,25.0,1,1.5,1.4,-0.5,6,3,6,1,9
Baila Diallo,FRA,"DF,MF",21,2001,1.0,32,47,68.1,516,233,12,16,75.0,16,23,69.6,2,5,40.0,0,0.0,0.2,0.0,0,0,2,1,1
Brandon Baiye,BEL,MF,21,2000,0.6,27,32,84.4,416,120,14,15,93.3,10,13,76.9,2,2,100.0,0,0.1,0.1,-0.1,1,1,0,0,2
Cheick Konaté,MLI,DF,18,2004,6.4,228,314,72.6,4007,1579,96,118,81.4,107,136,78.7,20,43,46.5,0,0.2,0.2,-0.2,2,14,3,1,21
Elba Rashani,KVX,"MF,FW",29,1993,24.0,543,729,74.5,7569,1657,316,375,84.3,179,229,78.2,18,46,39.1,3,3.6,2.8,-0.6,20,34,15,5,54
Florent Ogier,FRA,DF,33,1989,18.9,741,935,79.3,13955,6170,278,317,87.7,348,414,84.1,93,168,55.4,1,1.3,0.6,-0.3,5,47,3,0,57
Grejohn Kyei,FRA,FW,26,1995,24.8,376,527,71.3,5521,891,212,277,76.5,112,152,73.7,24,34,70.6,3,1.6,1.5,1.4,15,31,11,2,37
Jason Berthomier,FRA,MF,32,1990,0.3,19,19,100.0,248,34,13,13,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Jean-Claude Billong,CMR,MF,28,1993,0.3,33,34,97.1,619,231,10,10,100.0,21,21,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,4
Jim Allevinah,GAB,"DF,FW",27,1995,24.9,658,848,77.6,9331,2378,388,453,85.7,216,273,79.1,25,62,40.3,1,2.0,2.5,-1.0,18,37,14,9,59
Jodel Dossou,BEN,"MF,DF",30,1992,2.9,39,59,66.1,552,196,26,32,81.3,10,18,55.6,2,5,40.0,0,0.2,0.2,-0.2,3,5,1,1,6
Johan Gastien,FRA,MF,34,1988,28.9,1743,2103,82.9,34446,11716,623,716,87.0,805,909,88.6,264,392,67.3,3,2.1,3.2,0.9,28,193,30,5,219
Jérémie Bela,ANG,"DF,MF",29,1993,8.3,174,260,66.9,2397,917,99,133,74.4,61,84,72.6,4,17,23.5,1,0.2,0.4,0.8,3,20,7,3,24
Komnen Andrić,SRB,FW,27,1995,16.1,320,428,74.8,4806,688,174,229,76.0,98,124,79.0,24,28,85.7,3,0.9,0.8,2.1,15,22,6,0,27
Mateusz Wieteska,POL,DF,25,1997,34.6,1344,1631,82.4,25000,10745,518,587,88.2,670,756,88.6,128,239,53.6,1,0.3,0.6,0.7,3,80,5,0,99
Maxime Gonalons,FRA,MF,33,1989,16.1,736,835,88.1,13744,4112,275,313,87.9,350,374,93.6,82,104,78.8,0,0.5,0.6,-0.5,9,80,6,1,99
Maximiliano Caufriez,BEL,DF,25,1997,24.7,996,1126,88.5,17670,6475,421,459,91.7,446,487,91.6,102,140,72.9,0,0.0,0.3,0.0,0,67,4,0,92
Mehdi Zeffane,ALG,"DF,MF",30,1992,7.3,201,273,73.6,3443,1009,93,114,81.6,81,108,75.0,21,37,56.8,1,0.7,0.6,0.3,9,14,7,3,18
Mory Diaw,SEN,GK,29,1993,37.0,1034,1467,70.5,30947,21906,160,163,98.2,455,467,97.4,412,826,49.9,0,0.2,0.1,-0.2,4,34,3,0,0
Muhammed Cham,AUT,MF,21,2000,21.9,813,1038,78.3,12971,3167,409,479,85.4,288,345,83.5,71,130,54.6,4,3.1,4.1,0.9,31,62,35,3,106
Neto Borges,BRA,DF,25,1996,31.5,1163,1496,77.7,18327,6651,602,687,87.6,480,610,78.7,59,119,49.6,1,2.7,3.5,-1.7,28,59,43,15,100
Ouparine Djoco,GNB,GK,24,1998,1.0,26,40,65.0,516,382,8,8,100.0,13,13,100.0,4,18,22.2,0,0.0,0.0,0.0,0,0,0,0,0
Saîf-Eddine Khaoui,TUN,MF,27,1995,22.5,486,713,68.2,7402,2642,249,314,79.3,165,224,73.7,36,106,34.0,3,3.8,1.9,-0.8,38,50,14,2,72
Souleymane Cissé,FRA,DF,19,2002,0.4,8,11,72.7,128,9,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Yanis Massolin,FRA,MF,19,2002,0.7,30,39,76.9,497,155,15,18,83.3,13,17,76.5,2,3,66.7,0,0.0,0.0,0.0,0,3,0,0,4
Yohann Magnin,FRA,MF,25,1997,26.7,1121,1337,83.8,18526,5540,507,577,87.9,463,531,87.2,93,141,66.0,0,2.3,1.8,-2.3,21,88,9,2,121
