General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adam Smith,ENG,DF,31,1991,32.7,49,29,27,19,3,29,60,48.3,31,30,13,17,25,74,81,1
Antoine Semenyo,GHA,"FW,MF",22,2000,2.9,1,0,0,0,1,1,6,16.7,5,10,1,9,2,3,4,0
Ben Pearson,ENG,MF,27,1995,3.2,7,3,3,3,1,1,3,33.3,2,4,0,4,2,9,6,0
Chris Mepham,WAL,DF,24,1997,24.4,45,22,37,8,0,19,30,63.3,11,40,27,13,30,75,152,0
Dango Ouattara,BFA,"MF,FW",20,2002,13.8,28,15,20,6,2,13,32,40.6,19,20,3,17,13,41,29,1
David Brooks,WAL,"FW,MF",25,1997,1.9,1,0,1,0,0,0,1,0.0,1,2,0,2,2,3,5,0
Dominic Solanke,ENG,"FW,MF",24,1997,31.8,15,9,8,3,4,5,22,22.7,17,26,7,19,6,21,46,0
Emiliano Marcondes,DEN,MF,27,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Hamed Junior Traorè,CIV,"FW,MF",22,2000,4.7,17,11,5,9,3,6,18,33.3,12,9,0,9,2,19,1,0
Illia Zabarnyi,UKR,DF,19,2002,3.3,4,2,4,0,0,3,7,42.9,4,7,2,5,3,7,14,0
Jack Stacey,ENG,DF,26,1996,3.3,5,4,3,1,1,2,5,40.0,3,3,1,2,5,10,15,0
Jack Stephens,ENG,DF,28,1994,13.0,15,11,10,4,1,6,10,60.0,4,23,16,7,16,31,53,0
Jaidon Anthony,ENG,"MF,FW",22,1999,14.0,30,17,15,9,6,8,24,33.3,16,30,3,27,10,40,19,0
Jamal Lowe,JAM,"MF,FW",28,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jefferson Lerma,COL,MF,27,1994,36.1,50,30,23,23,4,20,45,44.4,25,32,15,17,47,97,91,2
Joe Rothwell,ENG,MF,27,1995,11.3,20,13,7,12,1,7,21,33.3,14,14,3,11,9,29,7,0
Jordan Zemura,ZIM,DF,22,1999,16.2,39,24,24,14,1,23,44,52.3,21,31,9,22,16,55,32,0
Junior Stanislas,ENG,MF,32,1989,0.7,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
Kieffer Moore,WAL,FW,29,1992,14.2,14,11,2,9,3,5,16,31.3,11,12,5,7,1,15,26,0
Lewis Cook,ENG,MF,25,1997,19.1,37,22,10,22,5,18,44,40.9,26,29,10,19,23,60,31,0
Lloyd Kelly,ENG,DF,23,1998,22.7,33,18,23,9,1,13,19,68.4,6,26,15,11,26,59,101,1
Marcos Senesi,ARG,DF,25,1997,27.7,50,35,28,22,0,23,44,52.3,21,38,20,18,43,93,146,2
Marcus Tavernier,ENG,"MF,FW",23,1999,19.4,33,22,19,11,3,11,33,33.3,22,25,4,21,9,42,23,0
Mark Travers,IRL,GK,23,1999,11.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,6,0
Matías Viña,URU,DF,24,1997,5.1,19,11,9,8,2,14,30,46.7,16,13,1,12,4,23,22,0
Neto,BRA,GK,33,1989,26.5,3,1,3,0,0,3,3,100.0,0,0,0,0,0,3,10,3
Owen Bevan,WAL,DF,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Philip Billing,DEN,"MF,FW",26,1996,30.7,63,36,21,33,9,11,42,26.2,31,48,8,40,31,94,58,1
Ryan Christie,SCO,"MF,FW",27,1995,20.4,34,22,10,23,1,14,50,28.0,36,16,4,12,26,60,20,0
Ryan Fredericks,ENG,DF,29,1992,5.9,3,2,2,0,1,1,4,25.0,3,7,2,5,1,4,27,0
Siriki Dembélé,CIV,"FW,MF",25,1996,1.2,3,1,2,1,0,0,1,0.0,1,1,0,1,1,4,1,0
