General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Adam Smith,ENG,DF,31,1991,32.7,0,5,1,20.0,0.15,0.03,0.0,0.0,16.2,0,0,0,0.5,0.5,0.1,-0.5,-0.5
Antoine Semenyo,GHA,"FW,MF",22,2000,2.9,1,3,1,33.3,1.05,0.35,0.33,1.0,17.2,0,0,0,0.3,0.3,0.09,0.7,0.7
Ben Pearson,ENG,MF,27,1995,3.2,0,2,1,50.0,0.63,0.31,0.0,0.0,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Chris Mepham,WAL,DF,24,1997,24.4,0,8,4,50.0,0.33,0.16,0.0,0.0,9.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Dango Ouattara,BFA,"MF,FW",20,2002,13.8,1,26,5,19.2,1.89,0.36,0.04,0.2,14.3,0,0,0,3.6,3.6,0.14,-2.6,-2.6
David Brooks,WAL,"FW,MF",25,1997,1.9,0,5,1,20.0,2.6,0.52,0.0,0.0,20.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Dominic Solanke,ENG,"FW,MF",24,1997,31.8,6,76,28,36.8,2.39,0.88,0.08,0.21,12.8,0,0,0,9.1,9.1,0.12,-3.1,-3.1
Emiliano Marcondes,DEN,MF,27,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Hamed Junior Traorè,CIV,"FW,MF",22,2000,4.7,0,6,0,0.0,1.26,0.0,0.0,,17.1,1,0,0,0.9,0.9,0.15,-0.9,-0.9
Illia Zabarnyi,UKR,DF,19,2002,3.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jack Stacey,ENG,DF,26,1996,3.3,0,1,0,0.0,0.3,0.0,0.0,,16.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Jack Stephens,ENG,DF,28,1994,13.0,0,2,1,50.0,0.15,0.08,0.0,0.0,5.2,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Jaidon Anthony,ENG,"MF,FW",22,1999,14.0,3,22,13,59.1,1.58,0.93,0.14,0.23,19.3,2,0,0,2.2,2.2,0.1,0.8,0.8
Jamal Lowe,JAM,"MF,FW",28,1994,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jefferson Lerma,COL,MF,27,1994,36.1,5,35,10,28.6,0.97,0.28,0.14,0.5,17.6,0,0,0,2.6,2.6,0.07,2.4,2.4
Joe Rothwell,ENG,MF,27,1995,11.3,0,3,2,66.7,0.27,0.18,0.0,0.0,24.1,1,0,0,0.1,0.1,0.05,-0.1,-0.1
Jordan Zemura,ZIM,DF,22,1999,16.2,0,4,0,0.0,0.25,0.0,0.0,,12.9,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Junior Stanislas,ENG,MF,32,1989,0.7,0,1,0,0.0,1.48,0.0,0.0,,24.5,0,0,0,0.0,0.0,0.04,0.0,0.0
Kieffer Moore,WAL,FW,29,1992,14.2,4,23,8,34.8,1.62,0.56,0.17,0.5,11.2,0,0,0,4.4,4.4,0.19,-0.4,-0.4
Lewis Cook,ENG,MF,25,1997,19.1,0,6,0,0.0,0.31,0.0,0.0,,28.7,2,0,0,0.2,0.2,0.04,-0.2,-0.2
Lloyd Kelly,ENG,DF,23,1998,22.7,0,3,0,0.0,0.13,0.0,0.0,,8.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Marcos Senesi,ARG,DF,25,1997,27.7,2,8,2,25.0,0.29,0.07,0.25,1.0,9.1,0,0,0,1.6,1.6,0.2,0.4,0.4
Marcus Tavernier,ENG,"MF,FW",23,1999,19.4,5,37,14,37.8,1.91,0.72,0.14,0.36,17.3,2,0,0,3.1,3.1,0.08,1.9,1.9
Mark Travers,IRL,GK,23,1999,11.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Matías Viña,URU,DF,24,1997,5.1,2,9,6,66.7,1.77,1.18,0.22,0.33,18.6,0,0,0,0.9,0.9,0.1,1.1,1.1
Neto,BRA,GK,33,1989,26.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Owen Bevan,WAL,DF,18,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Philip Billing,DEN,"MF,FW",26,1996,30.7,7,38,18,47.4,1.24,0.59,0.18,0.39,18.3,5,0,0,4.9,4.9,0.13,2.1,2.1
Ryan Christie,SCO,"MF,FW",27,1995,20.4,1,33,9,27.3,1.62,0.44,0.03,0.11,14.0,0,0,0,2.7,2.7,0.08,-1.7,-1.7
Ryan Fredericks,ENG,DF,29,1992,5.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Siriki Dembélé,CIV,"FW,MF",25,1996,1.2,0,2,2,100.0,1.64,1.64,0.0,0.0,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
