General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Adam Smith,ENG,DF,31,1991,32.7,29,0.89,25,1,0,2,0,1,2,0.06,2,0,0,0,0,0
Antoine Semenyo,GHA,"FW,MF",22,2000,2.9,7,2.44,3,0,2,1,1,0,0,0.0,0,0,0,0,0,0
Ben Pearson,ENG,MF,27,1995,3.2,2,0.63,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Chris Mepham,WAL,DF,24,1997,24.4,8,0.33,6,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Dango Ouattara,BFA,"MF,FW",20,2002,13.8,44,3.19,26,1,8,4,4,1,5,0.36,1,0,2,1,1,0
David Brooks,WAL,"FW,MF",25,1997,1.9,8,4.19,5,0,1,1,1,0,0,0.0,0,0,0,0,0,0
Dominic Solanke,ENG,"FW,MF",24,1997,31.8,61,1.92,36,1,11,10,2,1,13,0.41,10,1,0,2,0,0
Emiliano Marcondes,DEN,MF,27,1995,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hamed Junior Traorè,CIV,"FW,MF",22,2000,4.7,20,4.22,12,7,1,0,0,0,1,0.21,1,0,0,0,0,0
Illia Zabarnyi,UKR,DF,19,2002,3.3,1,0.3,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Jack Stacey,ENG,DF,26,1996,3.3,1,0.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jack Stephens,ENG,DF,28,1994,13.0,10,0.77,9,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Jaidon Anthony,ENG,"MF,FW",22,1999,14.0,38,2.72,28,3,4,1,1,1,4,0.29,2,0,1,0,1,0
Jamal Lowe,JAM,"MF,FW",28,1994,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jefferson Lerma,COL,MF,27,1994,36.1,46,1.27,41,2,0,2,1,0,1,0.03,1,0,0,0,0,0
Joe Rothwell,ENG,MF,27,1995,11.3,24,2.12,16,6,1,1,0,0,2,0.18,1,1,0,0,0,0
Jordan Zemura,ZIM,DF,22,1999,16.2,36,2.23,25,0,7,2,2,0,2,0.12,2,0,0,0,0,0
Junior Stanislas,ENG,MF,32,1989,0.7,4,5.9,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kieffer Moore,WAL,FW,29,1992,14.2,18,1.26,14,0,1,0,3,0,2,0.14,2,0,0,0,0,0
Lewis Cook,ENG,MF,25,1997,19.1,39,2.04,27,8,0,0,1,3,4,0.21,2,1,0,0,0,1
Lloyd Kelly,ENG,DF,23,1998,22.7,16,0.71,13,1,0,1,1,0,2,0.09,2,0,0,0,0,0
Marcos Senesi,ARG,DF,25,1997,27.7,16,0.58,14,1,0,1,0,0,3,0.11,3,0,0,0,0,0
Marcus Tavernier,ENG,"MF,FW",23,1999,19.4,48,2.48,31,7,5,3,2,0,8,0.41,3,2,1,2,0,0
Mark Travers,IRL,GK,23,1999,11.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matías Viña,URU,DF,24,1997,5.1,8,1.57,7,0,1,0,0,0,2,0.39,2,0,0,0,0,0
Neto,BRA,GK,33,1989,26.5,2,0.08,2,0,0,0,0,0,1,0.04,1,0,0,0,0,0
Owen Bevan,WAL,DF,18,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Philip Billing,DEN,"MF,FW",26,1996,30.7,54,1.76,41,2,5,5,1,0,6,0.2,4,0,0,2,0,0
Ryan Christie,SCO,"MF,FW",27,1995,20.4,66,3.24,48,5,5,5,3,0,4,0.2,3,0,0,1,0,0
Ryan Fredericks,ENG,DF,29,1992,5.9,5,0.84,4,0,1,0,0,0,1,0.17,1,0,0,0,0,0
Siriki Dembélé,CIV,"FW,MF",25,1996,1.2,5,4.09,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
