General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Adam Smith,ENG,DF,31,1991,32.7,11,0,0,29,27,0,48,25,29,0,1,0,128,29,38,43.3
Antoine Semenyo,GHA,"FW,MF",22,2000,2.9,0,0,0,6,5,1,1,2,0,0,0,0,13,9,9,50.0
Ben Pearson,ENG,MF,27,1995,3.2,1,0,0,9,2,0,0,2,3,0,0,0,19,2,3,40.0
Chris Mepham,WAL,DF,24,1997,24.4,7,0,0,16,7,0,0,30,22,0,0,2,85,53,31,63.1
Dango Ouattara,BFA,"MF,FW",20,2002,13.8,1,0,0,6,15,8,30,13,15,0,0,0,64,30,37,44.8
David Brooks,WAL,"FW,MF",25,1997,1.9,1,0,0,3,1,0,6,2,0,0,0,0,4,2,3,40.0
Dominic Solanke,ENG,"FW,MF",24,1997,31.8,2,0,0,40,53,11,13,6,9,0,0,0,87,52,98,34.7
Emiliano Marcondes,DEN,MF,27,1995,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Hamed Junior Traorè,CIV,"FW,MF",22,2000,4.7,0,0,0,4,4,1,41,2,11,0,0,0,33,3,2,60.0
Illia Zabarnyi,UKR,DF,19,2002,3.3,0,0,0,1,2,0,0,3,2,0,0,0,18,1,3,25.0
Jack Stacey,ENG,DF,26,1996,3.3,2,0,0,4,0,1,10,5,4,0,0,0,15,5,3,62.5
Jack Stephens,ENG,DF,28,1994,13.0,3,0,0,8,2,0,2,16,11,0,0,0,66,16,19,45.7
Jaidon Anthony,ENG,"MF,FW",22,1999,14.0,2,0,0,9,12,5,43,10,17,0,0,0,80,10,12,45.5
Jamal Lowe,JAM,"MF,FW",28,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jefferson Lerma,COL,MF,27,1994,36.1,7,0,0,37,33,2,11,47,30,0,2,1,260,62,40,60.8
Joe Rothwell,ENG,MF,27,1995,11.3,1,0,0,17,3,0,26,9,13,0,0,0,56,1,3,25.0
Jordan Zemura,ZIM,DF,22,1999,16.2,1,0,0,17,14,0,18,16,24,0,1,0,78,7,11,38.9
Junior Stanislas,ENG,MF,32,1989,0.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Kieffer Moore,WAL,FW,29,1992,14.2,1,0,0,26,30,1,7,1,11,0,0,0,26,68,60,53.1
Lewis Cook,ENG,MF,25,1997,19.1,4,0,0,15,10,0,45,23,22,0,0,0,129,7,10,41.2
Lloyd Kelly,ENG,DF,23,1998,22.7,3,0,0,17,5,0,14,26,18,0,1,0,131,36,20,64.3
Marcos Senesi,ARG,DF,25,1997,27.7,7,0,0,29,13,0,8,43,35,0,2,0,168,26,22,54.2
Marcus Tavernier,ENG,"MF,FW",23,1999,19.4,1,0,0,21,28,4,93,9,22,0,0,0,124,17,32,34.7
Mark Travers,IRL,GK,23,1999,11.5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,100.0
Matías Viña,URU,DF,24,1997,5.1,1,0,0,7,11,0,4,4,11,0,0,0,28,4,7,36.4
Neto,BRA,GK,33,1989,26.5,4,0,0,0,4,0,0,0,1,0,0,0,21,4,3,57.1
Owen Bevan,WAL,DF,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Philip Billing,DEN,"MF,FW",26,1996,30.7,5,0,0,30,35,3,38,31,36,0,0,0,146,52,35,59.8
Ryan Christie,SCO,"MF,FW",27,1995,20.4,2,0,0,36,45,1,32,26,22,0,0,0,132,16,23,41.0
Ryan Fredericks,ENG,DF,29,1992,5.9,1,0,0,3,1,0,15,1,2,0,0,0,13,5,10,33.3
Siriki Dembélé,CIV,"FW,MF",25,1996,1.2,0,0,0,1,2,0,3,1,1,0,0,0,9,0,4,0.0
