General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Ayoze Pérez,ESP,"MF,FW",29,1993,4.2,244,3,38,104,108,17,244,21,6,28.6,12,57.1,132,696,356,17,6,6,12,11,155,43
Boubakary Soumaré,FRA,MF,23,1999,18.1,1091,45,319,675,112,2,1091,22,12,54.5,6,27.3,588,2940,1182,17,12,0,26,22,733,20
Daniel Amartey,GHA,DF,27,1994,17.9,1279,185,658,578,46,9,1279,5,2,40.0,2,40.0,779,3720,2275,23,11,0,8,4,909,5
Daniel Iversen,DEN,GK,25,1997,12.0,411,344,406,5,0,0,411,0,0,,0,,177,1011,571,0,0,0,0,0,136,0
Danny Ward,WAL,GK,29,1993,26.0,1000,806,996,5,0,0,1000,0,0,,0,,559,2832,1665,0,0,0,0,0,482,0
Dennis Praet,BEL,"MF,FW",28,1994,7.2,342,11,67,163,118,14,342,14,6,42.9,7,50.0,177,902,357,15,7,1,11,10,217,42
Harry Souttar,AUS,DF,23,1998,11.0,663,104,365,282,20,15,663,5,3,60.0,0,0.0,390,1878,948,6,2,1,3,0,420,4
Harvey Barnes,ENG,"FW,MF",24,1997,30.1,1143,17,128,435,600,133,1143,91,27,29.7,53,58.2,734,5174,2749,100,72,48,75,42,900,257
James Justin,ENG,DF,24,1998,13.9,980,48,296,475,216,8,980,19,4,21.1,11,57.9,417,1831,834,20,19,4,15,6,574,50
James Maddison,ENG,"MF,FW",25,1996,27.6,1447,17,160,647,655,103,1445,107,46,43.0,39,36.4,964,5653,2671,77,44,31,45,31,1075,155
Jamie Vardy,ENG,FW,35,1987,20.6,437,32,59,175,206,71,436,29,12,41.4,14,48.3,192,926,358,16,9,13,33,16,261,101
Jonny Evans,NIR,DF,34,1988,11.7,906,137,474,424,9,2,906,0,0,,0,,529,2218,1206,6,4,0,5,0,629,0
Kelechi Iheanacho,NGA,"FW,MF",25,1996,12.5,464,10,28,197,244,58,463,39,20,51.3,17,43.6,293,1661,724,33,13,18,41,36,380,99
Kiernan Dewsbury-Hall,ENG,MF,23,1998,25.6,1490,48,279,796,443,50,1490,76,42,55.3,26,34.2,903,5218,2559,68,36,16,73,32,1038,91
Lewis Brunt,ENG,DF,21,2000,0.3,23,1,8,12,3,0,23,0,0,,0,,9,30,4,0,0,0,0,0,13,2
Luke Thomas,ENG,DF,21,2001,11.9,786,39,319,359,115,3,786,12,6,50.0,5,41.7,355,1374,610,10,8,1,9,8,414,13
Marc Albrighton,ENG,"FW,MF",32,1989,2.6,173,6,33,61,79,5,173,2,2,100.0,0,0.0,83,391,147,4,4,0,4,2,116,18
Nampalys Mendy,SEN,MF,30,1992,8.4,490,12,139,310,45,2,490,11,7,63.6,3,27.3,283,1352,468,2,5,0,7,1,333,4
Patson Daka,ZAM,FW,23,1998,13.2,444,13,42,175,230,58,444,18,7,38.9,8,44.4,207,1090,461,18,8,11,46,19,288,82
Ricardo Pereira,POR,"DF,MF",28,1993,5.0,383,23,116,183,90,4,383,7,5,71.4,1,14.3,174,605,323,5,9,2,7,3,217,14
Tetê,BRA,FW,22,2000,8.2,350,5,59,165,134,30,350,33,20,60.6,10,30.3,212,1624,708,22,11,15,19,13,237,55
Timothy Castagne,BEL,DF,26,1995,36.2,2237,158,820,920,508,52,2237,31,12,38.7,14,45.2,989,4010,1994,39,23,5,32,17,1246,149
Victor Bernth Kristiansen,DEN,DF,19,2002,9.9,607,33,234,255,123,4,607,15,7,46.7,5,33.3,278,1494,714,17,8,0,10,10,302,24
Wesley Fofana,FRA,DF,21,2000,2.0,169,11,68,97,7,3,169,3,2,66.7,0,0.0,116,647,365,3,5,2,3,0,115,1
Wilfred Ndidi,NGA,MF,25,1996,18.7,1129,83,406,652,92,5,1129,15,10,66.7,4,26.7,564,2464,1075,11,14,0,14,10,659,7
Wout Faes,BEL,DF,24,1998,31.0,2177,357,1230,916,44,19,2177,12,9,75.0,3,25.0,1262,6476,3606,11,7,0,15,5,1436,2
Youri Tielemans,BEL,MF,25,1997,26.0,1877,62,436,1080,382,14,1875,35,26,74.3,5,14.3,952,4043,2088,35,25,1,33,15,1309,56
Çağlar Söyüncü,TUR,DF,26,1996,5.9,382,71,226,147,12,7,382,1,1,100.0,0,0.0,185,1096,601,5,1,0,2,0,203,0
