General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Ayoze Pérez,ESP,"MF,FW",29,1993,4.2,0,0,0,7,12,0,17,2,8,0,0,0,35,2,4,33.3
Boubakary Soumaré,FRA,MF,23,1999,18.1,9,0,0,31,22,1,2,33,34,0,0,0,119,18,14,56.3
Daniel Amartey,GHA,DF,27,1994,17.9,1,0,0,7,3,0,0,8,8,0,1,0,108,34,26,56.7
Daniel Iversen,DEN,GK,25,1997,12.0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,100.0
Danny Ward,WAL,GK,29,1993,26.0,0,0,0,0,5,0,0,0,1,0,0,0,27,3,0,100.0
Dennis Praet,BEL,"MF,FW",28,1994,7.2,1,0,0,9,8,1,15,5,9,0,0,0,48,1,11,8.3
Harry Souttar,AUS,DF,23,1998,11.0,2,0,0,5,5,1,0,12,9,0,0,1,45,38,6,86.4
Harvey Barnes,ENG,"FW,MF",24,1997,30.1,3,0,0,38,37,9,44,8,14,0,0,0,101,29,57,33.7
James Justin,ENG,DF,24,1998,13.9,0,0,0,8,29,2,21,15,18,1,0,0,64,23,32,41.8
James Maddison,ENG,"MF,FW",25,1996,27.6,10,0,0,31,79,6,123,13,26,1,0,0,101,4,10,28.6
Jamie Vardy,ENG,FW,35,1987,20.6,1,0,0,21,7,29,7,2,5,2,0,0,41,47,78,37.6
Jonny Evans,NIR,DF,34,1988,11.7,1,0,0,9,7,1,0,18,5,0,0,0,60,26,13,66.7
Kelechi Iheanacho,NGA,"FW,MF",25,1996,12.5,0,0,0,18,5,12,6,0,2,0,0,0,30,15,31,32.6
Kiernan Dewsbury-Hall,ENG,MF,23,1998,25.6,5,1,1,37,35,1,46,28,29,0,0,0,149,15,13,53.6
Lewis Brunt,ENG,DF,21,2000,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Luke Thomas,ENG,DF,21,2001,11.9,3,0,0,12,7,0,9,27,19,0,0,1,69,11,14,44.0
Marc Albrighton,ENG,"FW,MF",32,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0
Nampalys Mendy,SEN,MF,30,1992,8.4,1,0,0,9,10,0,1,13,9,0,0,0,46,4,6,40.0
Patson Daka,ZAM,FW,23,1998,13.2,2,0,0,23,15,7,8,7,8,1,0,0,36,26,45,36.6
Ricardo Pereira,POR,"DF,MF",28,1993,5.0,2,0,0,4,4,0,16,4,7,0,0,0,30,5,11,31.3
Tetê,BRA,FW,22,2000,8.2,0,0,0,3,17,4,19,2,8,0,0,0,52,5,12,29.4
Timothy Castagne,BEL,DF,26,1995,36.2,3,0,0,25,15,6,58,43,44,0,2,0,202,55,62,47.0
Victor Bernth Kristiansen,DEN,DF,19,2002,9.9,2,0,0,17,9,0,29,3,23,0,0,0,53,9,15,37.5
Wesley Fofana,FRA,DF,21,2000,2.0,1,0,0,2,3,1,0,9,2,0,0,0,10,5,6,45.5
Wilfred Ndidi,NGA,MF,25,1996,18.7,4,0,0,29,14,0,2,38,42,0,2,0,146,25,22,53.2
Wout Faes,BEL,DF,24,1998,31.0,6,1,1,23,17,0,0,41,33,0,0,2,184,58,41,58.6
Youri Tielemans,BEL,MF,25,1997,26.0,4,0,0,33,25,1,45,28,39,0,0,0,195,26,12,68.4
Çağlar Söyüncü,TUR,DF,26,1996,5.9,2,0,0,7,4,0,0,7,9,0,0,0,42,24,16,60.0
