General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Ayoze Pérez,ESP,"MF,FW",29,1993,4.2,11,8,5,4,2,8,19,42.1,11,6,0,6,2,13,3,0
Boubakary Soumaré,FRA,MF,23,1999,18.1,57,34,29,26,2,23,44,52.3,21,15,4,11,33,90,27,1
Daniel Amartey,GHA,DF,27,1994,17.9,19,8,13,5,1,12,14,85.7,2,24,17,7,8,27,71,0
Daniel Iversen,DEN,GK,25,1997,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
Danny Ward,WAL,GK,29,1993,26.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,14,2
Dennis Praet,BEL,"MF,FW",28,1994,7.2,12,9,5,6,1,6,11,54.5,5,12,2,10,5,17,6,0
Harry Souttar,AUS,DF,23,1998,11.0,15,9,10,5,0,7,18,38.9,11,16,12,4,12,27,45,0
Harvey Barnes,ENG,"FW,MF",24,1997,30.1,26,14,8,14,4,14,42,33.3,28,32,1,31,8,34,12,0
James Justin,ENG,DF,24,1998,13.9,20,18,7,12,1,9,18,50.0,9,24,6,18,15,35,47,0
James Maddison,ENG,"MF,FW",25,1996,27.6,51,26,25,19,7,19,50,38.0,31,19,1,18,13,64,6,1
Jamie Vardy,ENG,FW,35,1987,20.6,9,5,4,2,3,1,8,12.5,7,17,3,14,2,11,30,0
Jonny Evans,NIR,DF,34,1988,11.7,13,5,12,1,0,7,11,63.6,4,15,11,4,18,31,51,0
Kelechi Iheanacho,NGA,"FW,MF",25,1996,12.5,7,2,0,3,4,3,10,30.0,7,9,1,8,0,7,8,0
Kiernan Dewsbury-Hall,ENG,MF,23,1998,25.6,53,29,14,34,5,19,47,40.4,28,55,13,42,28,81,21,0
Lewis Brunt,ENG,DF,21,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Luke Thomas,ENG,DF,21,2001,11.9,23,19,15,5,3,15,32,46.9,17,20,4,16,27,50,35,0
Marc Albrighton,ENG,"FW,MF",32,1989,2.6,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0
Nampalys Mendy,SEN,MF,30,1992,8.4,13,9,7,6,0,8,15,53.3,7,20,4,16,13,26,2,0
Patson Daka,ZAM,FW,23,1998,13.2,14,8,6,8,0,3,13,23.1,10,14,2,12,7,21,7,0
Ricardo Pereira,POR,"DF,MF",28,1993,5.0,11,7,8,3,0,7,17,41.2,10,8,2,6,4,15,20,0
Tetê,BRA,FW,22,2000,8.2,14,8,5,7,2,6,21,28.6,15,9,0,9,2,16,3,0
Timothy Castagne,BEL,DF,26,1995,36.2,87,44,53,27,7,41,84,48.8,43,50,13,37,43,130,110,0
Victor Bernth Kristiansen,DEN,DF,19,2002,9.9,38,23,18,16,4,22,30,73.3,8,16,4,12,3,41,26,1
Wesley Fofana,FRA,DF,21,2000,2.0,4,2,1,2,1,1,3,33.3,2,1,1,0,9,13,5,0
Wilfred Ndidi,NGA,MF,25,1996,18.7,61,42,34,24,3,17,43,39.5,26,32,14,18,38,99,48,3
Wout Faes,BEL,DF,24,1998,31.0,56,33,28,26,2,28,44,63.6,16,53,37,16,41,97,113,2
Youri Tielemans,BEL,MF,25,1997,26.0,66,39,27,30,9,23,62,37.1,39,35,8,27,28,94,24,1
Çağlar Söyüncü,TUR,DF,26,1996,5.9,14,9,10,4,0,7,10,70.0,3,9,8,1,7,21,30,0
