Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA
Paris S-G,38,27,4,7,89,40,+49,85,2.24,78.2,48.3
Lens,38,25,9,4,68,29,+39,84,2.21,66.7,43.5
Marseille,38,22,7,9,67,40,+27,73,1.92,65.3,42.5
Rennes,38,21,5,12,69,39,+30,68,1.79,61.4,44.1
Lille,38,19,10,9,65,44,+21,67,1.76,68.7,40.5
Monaco,38,19,8,11,70,58,+12,65,1.71,62.1,53.2
Lyon,38,18,8,12,65,47,+18,62,1.63,61.1,51.6
Clermont Foot,38,17,8,13,45,49,-4,59,1.55,47.5,58.2
Nice,38,15,13,10,48,37,+11,58,1.53,57.2,44.6
Lorient,38,15,10,13,52,53,-1,55,1.45,44.5,58.2
Reims,38,12,15,11,45,45,0,51,1.34,61.5,52.7
Montpellier,38,15,5,18,65,62,+3,50,1.32,52.2,62.2
Toulouse,38,13,9,16,51,57,-6,48,1.26,52.5,57.0
Brest,38,11,11,16,44,54,-10,44,1.16,43.4,56.1
Strasbourg,38,9,13,16,51,59,-8,40,1.05,48.5,55.3
Nantes,38,7,15,16,37,55,-18,36,0.95,42.8,52.4
Auxerre,38,8,11,19,35,63,-28,35,0.92,42.8,58.7
Ajaccio,38,7,5,26,23,74,-51,26,0.68,36.1,53.9
Troyes,38,4,12,22,45,81,-36,24,0.63,39.1,78.0
Angers,38,4,6,28,33,81,-48,18,0.47,40.9,61.7
