Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA
Manchester City,38,28,5,5,94,33,+61,89,2.34,78.6,32.1
Arsenal,38,26,6,6,88,43,+45,84,2.21,71.6,42.0
Manchester Utd,38,23,6,9,58,43,+15,75,1.97,67.7,50.4
Newcastle Utd,38,19,14,5,68,33,+35,71,1.87,71.9,39.5
Liverpool,38,19,10,9,75,47,+28,67,1.76,71.5,50.8
Brighton,38,18,8,12,72,53,+19,62,1.63,73.3,50.2
Aston Villa,38,18,7,13,51,46,+5,61,1.61,50.3,52.5
Tottenham,38,18,6,14,70,63,+7,60,1.58,57.0,49.6
Brentford,38,15,14,9,58,46,+12,59,1.55,56.3,48.8
Fulham,38,15,7,16,55,53,+2,52,1.37,46.2,63.6
Crystal Palace,38,11,12,15,40,49,-9,45,1.18,39.3,48.1
Chelsea,38,11,11,16,38,47,-9,44,1.16,49.5,52.5
Wolves,38,11,8,19,31,58,-27,41,1.08,36.8,59.9
West Ham,38,11,7,20,42,55,-13,40,1.05,49.2,53.0
Bournemouth,38,11,6,21,37,71,-34,39,1.03,38.5,63.8
Nott'ham Forest,38,9,11,18,38,68,-30,38,1.00,39.3,64.2
Everton,38,8,12,18,34,57,-23,36,0.95,45.2,65.5
Leicester City,38,9,7,22,51,68,-17,34,0.89,50.5,63.3
Leeds United,38,7,10,21,48,78,-30,31,0.82,47.3,67.1
Southampton,38,6,7,25,36,73,-37,25,0.66,37.8,60.8
