Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA
Napoli,38,28,6,4,77,28,+49,90,2.37,64.7,31.8
Lazio,38,22,8,8,60,30,+30,74,1.95,51.1,41.3
Inter,38,23,3,12,71,42,+29,72,1.89,68.0,36.5
Milan,38,20,10,8,64,43,+21,70,1.84,58.8,41.1
Atalanta,38,19,7,12,66,48,+18,64,1.68,57.7,41.4
Roma,38,18,9,11,50,38,+12,63,1.66,57.7,32.3
Juventus,38,22,6,10,56,33,+23,62,1.63,55.3,41.6
Fiorentina,38,15,11,12,53,43,+10,56,1.47,55.0,43.4
Bologna,38,14,12,12,53,49,+4,54,1.42,43.8,48.7
Torino,38,14,11,13,42,41,+1,53,1.39,41.8,40.0
Monza,38,14,10,14,48,52,-4,52,1.37,45.9,51.3
Udinese,38,11,13,14,47,48,-1,46,1.21,46.9,51.8
Sassuolo,38,12,9,17,47,61,-14,45,1.18,51.6,49.7
Empoli,38,10,13,15,37,49,-12,43,1.13,38.8,58.3
Salernitana,38,9,15,14,48,62,-14,42,1.11,36.7,67.1
Lecce,38,8,12,18,33,46,-13,36,0.95,36.3,42.4
Spezia,38,6,13,19,31,62,-31,31,0.82,41.5,59.5
Hellas Verona,38,7,10,21,31,59,-28,31,0.82,35.8,49.9
Cremonese,38,5,12,21,36,69,-33,27,0.71,38.7,66.1
Sampdoria,38,3,10,25,24,71,-47,19,0.50,34.1,66.3
