General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Christian Günter,GER,"DF,MF",29,1993,30.5,996,1400,71.1,17192,6168,456,534,85.4,385,517,74.5,101,231,43.7,4,5.1,5.3,-1.1,59,55,36,28,77
Daniel Kyereh,GHA,"MF,FW",26,1996,6.2,139,182,76.4,1649,285,97,118,82.2,26,35,74.3,4,8,50.0,0,0.3,0.8,-0.3,3,3,3,1,11
Hugo Siquet,BEL,DF,20,2002,0.2,5,7,71.4,59,44,4,4,100.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Jeong Woo-yeong,KOR,"MF,FW",22,1999,7.3,192,244,78.7,2797,705,110,131,84.0,60,71,84.5,10,15,66.7,1,1.2,1.5,-0.2,6,13,6,3,19
Jonathan Schmid,FRA,DF,32,1990,0.5,23,28,82.1,365,121,14,16,87.5,6,8,75.0,3,4,75.0,0,0.1,0.1,-0.1,1,1,2,2,1
Kenneth Schmidt,GER,DF,20,2002,2.8,166,187,88.8,3199,965,55,61,90.2,93,98,94.9,16,25,64.0,0,0.0,0.0,0.0,0,13,1,0,13
Keven Schlotterbeck,GER,DF,25,1997,0.2,6,6,100.0,87,17,3,3,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Kevin Schade,GER,"FW,MF",20,2001,2.0,26,55,47.3,326,84,14,25,56.0,8,13,61.5,0,1,0.0,0,0.0,0.5,0.0,0,5,1,0,3
Kiliann Sildillia,FRA,"DF,MF",20,2002,22.0,787,1103,71.4,14814,5194,316,402,78.6,333,448,74.3,118,183,64.5,2,0.7,1.3,1.3,10,69,9,4,81
Kimberly Ezekwem,GER,DF,21,2001,0.1,6,8,75.0,74,19,3,3,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0
Lucas Höler,GER,"FW,MF",28,1994,16.7,314,483,65.0,4218,902,188,259,72.6,91,139,65.5,15,23,65.2,2,1.9,2.0,0.1,13,22,11,1,33
Lukas Kübler,GER,DF,29,1992,18.2,569,827,68.8,10273,3706,240,294,81.6,244,333,73.3,67,146,45.9,1,0.4,0.7,0.6,7,59,9,4,57
Manuel Gulde,GER,DF,31,1991,7.1,343,412,83.3,6393,1826,128,144,88.9,172,190,90.5,38,65,58.5,0,0.2,0.3,-0.2,2,24,2,2,23
Mark Flekken,NED,GK,29,1993,34.0,1035,1468,70.5,34098,25402,93,97,95.9,498,506,98.4,443,856,51.8,0,0.3,0.3,-0.3,4,58,3,0,0
Matthias Ginter,GER,DF,28,1994,34.0,1566,1903,82.3,32228,12401,436,506,86.2,903,1006,89.8,216,350,61.7,1,0.9,1.5,0.1,13,122,12,1,122
Maximilian Eggestein,GER,MF,25,1996,27.2,660,864,76.4,10099,3171,355,435,81.6,239,282,84.8,36,56,64.3,2,1.7,1.9,0.3,23,83,18,2,93
Merlin Röhl,GER,"MF,FW",20,2002,0.6,13,18,72.2,158,41,8,9,88.9,4,5,80.0,0,0,,1,0.5,0.2,0.5,3,1,1,0,1
Michael Gregoritsch,AUT,FW,28,1994,23.9,297,541,54.9,3845,1141,178,290,61.4,80,145,55.2,14,28,50.0,4,3.0,2.6,1.0,24,28,16,1,57
Nicolas Höfler,GER,MF,32,1990,31.3,1149,1386,82.9,19559,5565,478,554,86.3,534,609,87.7,88,125,70.4,1,0.9,0.8,0.1,5,88,8,0,110
Nils Petersen,GER,FW,33,1988,3.1,33,74,44.6,408,79,18,36,50.0,10,22,45.5,2,6,33.3,0,0.0,0.0,0.0,1,1,1,0,5
Noah Weißhaupt,GER,"MF,DF",20,2001,4.7,111,162,68.5,1810,410,57,71,80.3,36,50,72.0,13,27,48.1,1,1.0,0.8,0.0,8,9,6,2,14
Philipp Lienhart,AUT,DF,26,1996,27.8,1369,1612,84.9,29859,8951,332,375,88.5,833,896,93.0,196,308,63.6,0,0.3,0.5,-0.3,3,74,4,0,79
Ritsu Doan,JPN,"MF,FW",24,1998,26.9,437,625,69.9,6572,1840,261,329,79.3,125,168,74.4,31,52,59.6,4,3.2,4.0,0.8,27,44,28,5,69
Robert Wagner,GER,MF,19,2003,0.4,7,15,46.7,99,35,2,5,40.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Roland Sallai,HUN,"MF,FW",25,1997,11.1,238,342,69.6,3506,824,136,160,85.0,74,106,69.8,13,35,37.1,3,1.3,1.6,1.7,17,11,12,7,17
Vincenzo Grifo,ITA,"MF,FW",29,1993,26.8,977,1336,73.1,17577,5272,459,538,85.3,370,474,78.1,123,256,48.0,5,5.5,6.2,-0.5,55,82,46,4,128
Yannik Keitel,GER,MF,22,2000,7.6,189,245,77.1,3239,681,91,104,87.5,77,104,74.0,18,27,66.7,2,0.1,0.3,1.9,4,18,2,0,26
