General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Benjamin Uphoff,GER,GK,28,1993,0,,,,,0,,0,0,,26,,,,,,,,,,,
Christian Günter,GER,"DF,MF",29,1993,33,2748,83,89.8,30.5,31,87,28,2,23,0,1.76,46,40,6,0.2,-0.09,43.1,43.6,-0.5,-0.02,0.11
Daniel Kyereh,GHA,"MF,FW",26,1996,12,559,47,18.3,6.2,7,72,0,5,11,2,1.58,7,11,-4,-0.64,-1.04,9.0,7.6,1.4,0.23,0.31
Hugo Siquet,BEL,DF,20,2002,2,17,9,0.6,0.2,0,,0,2,9,3,3.0,0,0,0,0.0,-0.21,0.0,0.1,-0.1,-0.41,-0.38
Jeong Woo-yeong,KOR,"MF,FW",22,1999,26,653,25,21.3,7.3,4,66,0,22,18,8,1.88,12,12,0,0.0,-0.26,11.2,12.7,-1.5,-0.21,-0.23
Jonathan Schmid,FRA,DF,32,1990,3,41,14,1.3,0.5,0,,0,3,14,9,1.33,0,1,-1,-2.2,-2.43,1.0,1.5,-0.4,-0.93,-0.91
Kenneth Schmidt,GER,DF,20,2002,5,251,50,8.2,2.8,3,69,0,2,22,4,1.0,4,2,2,0.72,0.56,4.6,3.5,1.1,0.39,0.45
Keven Schlotterbeck,GER,DF,25,1997,2,14,7,0.5,0.2,0,,0,2,7,13,3.0,0,0,0,0.0,-0.21,0.2,0.3,-0.1,-0.81,-0.79
Kevin Schade,GER,"FW,MF",20,2001,8,182,23,5.9,2.0,1,56,0,7,18,2,1.5,2,6,-4,-1.98,-2.32,0.6,4.3,-3.6,-1.8,-1.89
Kiliann Sildillia,FRA,"DF,MF",20,2002,27,1977,73,64.6,22.0,23,83,18,4,16,4,1.63,29,32,-3,-0.14,-0.97,28.8,33.0,-4.2,-0.19,-0.47
Kimberly Ezekwem,GER,DF,21,2001,1,8,8,0.3,0.1,0,,0,1,8,3,0.0,0,0,0,0.0,-0.21,0.4,0.2,0.1,1.37,1.4
Lucas Höler,GER,"FW,MF",28,1994,26,1503,58,49.1,16.7,16,83,4,10,17,0,1.62,22,23,-1,-0.06,-0.52,19.7,27.8,-8.1,-0.48,-0.9
Lukas Kübler,GER,DF,29,1992,22,1639,75,53.6,18.2,19,83,10,3,22,6,1.82,32,18,14,0.77,1.21,26.5,25.2,1.3,0.07,0.21
Manuel Gulde,GER,DF,31,1991,15,643,43,21.0,7.1,8,73,5,7,8,8,1.4,6,15,-9,-1.26,-1.86,7.5,12.0,-4.5,-0.63,-0.77
Mark Flekken,NED,GK,29,1993,34,3060,90,100.0,34.0,34,90,34,0,,0,1.74,51,44,7,0.21,,47.9,48.8,-0.9,-0.03,
Matthias Ginter,GER,DF,28,1994,34,3060,90,100.0,34.0,34,90,34,0,,0,1.74,51,44,7,0.21,,47.9,48.8,-0.9,-0.03,
Maximilian Eggestein,GER,MF,25,1996,31,2451,79,80.1,27.2,27,87,17,4,25,1,1.71,36,34,2,0.07,-0.67,33.0,40.9,-7.8,-0.29,-1.31
Merlin Röhl,GER,"MF,FW",20,2002,3,57,19,1.9,0.6,0,,0,3,19,8,1.33,1,1,0,0.0,-0.21,1.0,0.9,0.1,0.18,0.21
Michael Gregoritsch,AUT,FW,28,1994,30,2150,72,70.3,23.9,27,77,2,3,24,1,1.7,37,26,11,0.46,0.86,38.4,30.6,7.8,0.33,1.19
Nicolas Höfler,GER,MF,32,1990,32,2816,88,92.0,31.3,32,88,26,0,,0,1.75,47,39,8,0.26,0.62,43.8,43.3,0.5,0.02,0.52
Nils Petersen,GER,FW,33,1988,27,277,10,9.1,3.1,0,,0,27,10,7,1.96,7,8,-1,-0.32,-0.58,4.3,7.5,-3.2,-1.03,-1.11
Noah Atubolu,GER,GK,20,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,
Noah Weißhaupt,GER,"MF,DF",20,2001,18,427,24,14.0,4.7,3,64,0,15,16,14,1.5,5,6,-1,-0.21,-0.48,6.2,7.8,-1.5,-0.32,-0.34
Philipp Lienhart,AUT,DF,26,1996,29,2498,86,81.6,27.8,27,89,25,2,45,0,1.86,45,30,15,0.54,1.82,40.7,38.0,2.7,0.1,0.67
Ritsu Doan,JPN,"MF,FW",24,1998,33,2424,73,79.2,26.9,30,77,5,3,34,0,1.79,45,34,11,0.41,0.97,40.9,34.7,6.3,0.23,1.24
Robert Wagner,GER,MF,19,2003,4,38,10,1.2,0.4,0,,0,4,10,8,2.25,1,2,-1,-2.37,-2.61,2.2,1.7,0.5,1.18,1.22
Roland Sallai,HUN,"MF,FW",25,1997,19,1002,53,32.7,11.1,10,73,2,9,31,4,1.84,16,16,0,0.0,-0.31,15.9,17.6,-1.7,-0.15,-0.19
Vincenzo Grifo,ITA,"MF,FW",29,1993,33,2408,73,78.7,26.8,30,79,3,3,18,0,1.79,45,26,19,0.71,2.37,39.9,33.2,6.7,0.25,1.3
Yannik Keitel,GER,MF,22,2000,22,682,31,22.3,7.6,8,70,2,14,9,9,1.86,13,9,4,0.53,0.41,11.8,9.5,2.3,0.31,0.43
