General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Alex Mighten,ENG,FW,20,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
André Ayew,GHA,"FW,MF",32,1989,3.5,3,0.86,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Brennan Johnson,WAL,"FW,MF",21,2001,32.6,55,1.69,36,0,6,7,5,1,11,0.34,5,0,1,3,2,0
Cafú,POR,MF,29,1993,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Cheikhou Kouyaté,SEN,MF,32,1989,9.8,10,1.02,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chris Wood,NZL,FW,30,1991,4.1,6,1.45,4,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Danilo,BRA,MF,21,2001,10.8,23,2.12,17,1,3,1,1,0,6,0.55,5,0,1,0,0,0
Dean Henderson,ENG,GK,25,1997,18.0,3,0.17,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Emmanuel Dennis,NGA,"FW,MF",24,1997,8.0,25,3.12,14,1,2,2,6,0,3,0.37,2,0,0,0,1,0
Felipe,BRA,DF,33,1989,15.8,15,0.95,10,0,0,4,1,0,1,0.06,1,0,0,0,0,0
Giulian Biancone,FRA,DF,22,2000,0.2,1,5.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gustavo Scarpa,BRA,"MF,FW",28,1994,2.0,10,4.97,3,1,1,1,3,1,0,0.0,0,0,0,0,0,0
Harry Toffolo,ENG,DF,26,1995,10.4,19,1.82,14,3,1,0,0,1,0,0.0,0,0,0,0,0,0
Jack Colback,ENG,MF,32,1989,5.5,3,0.54,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jesse Lingard,ENG,"FW,MF",29,1992,10.3,25,2.44,18,1,2,3,1,0,2,0.2,1,0,0,1,0,0
Joe Worrall,ENG,DF,25,1997,24.7,16,0.65,14,1,0,0,1,0,0,0.0,0,0,0,0,0,0
Jonjo Shelvey,ENG,MF,30,1992,6.0,16,2.67,11,4,0,1,0,0,0,0.0,0,0,0,0,0,0
Keylor Navas,CRC,GK,35,1986,17.0,3,0.18,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Lewis O'Brien,ENG,MF,23,1998,6.5,21,3.24,14,0,1,1,3,2,0,0.0,0,0,0,0,0,0
Morgan Gibbs-White,ENG,"MF,FW",22,2000,33.0,119,3.6,72,27,9,6,2,3,12,0.36,6,3,1,2,0,0
Moussa Niakhate,SEN,DF,26,1996,12.9,9,0.7,4,5,0,0,0,0,1,0.08,0,1,0,0,0,0
Neco Williams,WAL,DF,21,2001,20.9,39,1.86,23,4,4,2,3,3,2,0.1,1,0,0,1,0,0
Orel Mangala,BEL,MF,24,1998,17.2,13,0.76,11,0,0,0,2,0,1,0.06,1,0,0,0,0,0
Remo Freuler,SUI,MF,30,1992,24.0,29,1.21,27,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Renan Lodi,BRA,DF,24,1998,24.6,30,1.22,22,6,0,1,1,0,4,0.16,3,0,0,1,0,0
Ryan Yates,ENG,MF,24,1997,20.4,24,1.18,18,0,0,4,2,0,3,0.15,1,0,0,2,0,0
Sam Surridge,ENG,FW,24,1998,3.6,4,1.11,3,0,0,1,0,0,1,0.28,1,0,0,0,0,0
Scott McKenna,SCO,DF,25,1996,17.5,10,0.57,10,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Serge Aurier,CIV,DF,29,1992,21.6,26,1.2,21,2,0,0,2,1,1,0.05,0,1,0,0,0,0
Steve Cook,ENG,DF,31,1991,10.6,6,0.56,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Taiwo Awoniyi,NGA,FW,24,1997,15.6,25,1.6,18,0,2,2,2,1,4,0.26,2,0,1,1,0,0
Wayne Hennessey,WAL,GK,35,1987,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Willy Boly,CIV,DF,31,1991,7.6,5,0.66,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0
