General,General,General,General,General,Playing time,Playing time,Playing time,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Ga,Ga90,Sota,Saves,Save%,W,D,L,Cs,Cs%,Pkatt,Pka,Pksv,Pkm,Save%
Dean Henderson,ENG,GK,25,1997,18,18,1620,18.0,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50.0
Keylor Navas,CRC,GK,35,1986,17,17,1529,17.0,32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,0.0
Wayne Hennessey,WAL,GK,35,1987,4,3,271,3.0,5,1.66,14,9,64.3,0,2,1,1,33.3,0,0,0,0,
