General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alex Mighten,ENG,FW,20,2002,0.1,4,0,1,0,3,0,4,3,0,0.0,2,66.7,4,27,10,0,0,0,0,0,4,1
André Ayew,GHA,"FW,MF",32,1989,3.5,106,11,15,49,42,8,105,6,1,16.7,4,66.7,40,271,102,3,3,2,3,4,62,16
Brennan Johnson,WAL,"FW,MF",21,2001,32.6,806,9,90,309,434,116,803,88,33,37.5,41,46.6,450,3848,2111,88,46,42,76,25,507,155
Cafú,POR,MF,29,1993,0.1,3,1,2,1,0,0,3,0,0,,0,,2,12,7,0,0,0,0,0,1,0
Cheikhou Kouyaté,SEN,MF,32,1989,9.8,363,39,136,166,64,14,363,10,7,70.0,1,10.0,160,725,304,7,4,3,15,9,175,14
Chris Wood,NZL,FW,30,1991,4.1,99,4,12,57,31,8,99,2,0,0.0,2,100.0,50,189,70,2,2,0,11,6,79,12
Danilo,BRA,MF,21,2001,10.8,383,26,118,182,92,21,383,19,14,73.7,4,21.1,171,815,439,13,9,6,20,8,171,22
Dean Henderson,ENG,GK,25,1997,18.0,715,600,711,5,0,0,715,0,0,,0,,397,2242,1245,0,0,0,1,0,319,0
Emmanuel Dennis,NGA,"FW,MF",24,1997,8.0,335,5,55,118,177,40,335,54,19,35.2,26,48.1,211,1512,840,24,15,8,32,25,219,63
Felipe,BRA,DF,33,1989,15.8,798,163,477,275,59,36,798,18,14,77.8,3,16.7,391,2137,1182,3,3,0,12,4,386,4
Giulian Biancone,FRA,DF,22,2000,0.2,25,2,19,5,1,0,25,0,0,,0,,10,76,61,2,1,0,0,0,13,1
Gustavo Scarpa,BRA,"MF,FW",28,1994,2.0,108,3,24,58,27,1,108,4,1,25.0,2,50.0,67,515,313,9,5,0,1,0,71,4
Harry Toffolo,ENG,DF,26,1995,10.4,498,48,175,179,151,12,498,9,3,33.3,5,55.6,191,721,342,8,6,4,10,6,223,43
Jack Colback,ENG,MF,32,1989,5.5,189,16,65,100,27,1,189,4,3,75.0,0,0.0,75,404,210,5,5,0,5,1,88,3
Jesse Lingard,ENG,"FW,MF",29,1992,10.3,371,7,44,202,132,16,371,10,6,60.0,4,40.0,214,1003,527,11,12,0,16,10,263,38
Joe Worrall,ENG,DF,25,1997,24.7,1408,213,813,524,75,29,1408,4,3,75.0,1,25.0,684,2948,1604,5,5,1,6,4,796,1
Jonjo Shelvey,ENG,MF,30,1992,6.0,345,23,102,209,35,1,345,4,4,100.0,0,0.0,178,978,442,1,3,0,3,4,214,0
Keylor Navas,CRC,GK,35,1986,17.0,578,515,576,2,0,0,578,1,1,100.0,0,0.0,267,1718,1174,0,0,0,1,0,175,0
Lewis O'Brien,ENG,MF,23,1998,6.5,297,19,72,161,71,3,297,17,7,41.2,3,17.6,157,947,518,13,9,2,12,7,166,3
Morgan Gibbs-White,ENG,"MF,FW",22,2000,33.0,1447,20,169,626,680,76,1445,97,48,49.5,43,44.3,764,4463,2187,69,62,19,91,44,902,157
Moussa Niakhate,SEN,DF,26,1996,12.9,528,96,301,159,69,7,528,4,0,0.0,4,100.0,184,923,435,2,0,0,5,1,189,3
Neco Williams,WAL,DF,21,2001,20.9,1153,82,445,422,309,23,1153,55,19,34.5,31,56.4,555,3620,2064,51,33,5,31,17,532,67
Orel Mangala,BEL,MF,24,1998,17.2,655,31,183,380,99,8,655,34,16,47.1,12,35.3,334,1742,808,14,6,2,11,9,383,8
Remo Freuler,SUI,MF,30,1992,24.0,1058,71,360,537,167,13,1058,12,6,50.0,4,33.3,491,2192,959,7,11,0,20,8,557,11
Renan Lodi,BRA,DF,24,1998,24.6,1143,96,478,418,263,21,1143,39,16,41.0,14,35.9,546,2834,1379,24,15,2,18,13,535,70
Ryan Yates,ENG,MF,24,1997,20.4,790,66,235,418,143,34,790,10,5,50.0,3,30.0,303,1260,577,11,4,3,18,15,384,27
Sam Surridge,ENG,FW,24,1998,3.6,137,9,27,55,59,15,137,5,2,40.0,2,40.0,71,361,140,2,5,1,13,4,93,17
Scott McKenna,SCO,DF,25,1996,17.5,877,151,501,333,45,21,877,7,5,71.4,1,14.3,430,1885,929,5,1,0,2,2,508,2
Serge Aurier,CIV,DF,29,1992,21.6,1238,107,484,505,263,13,1238,32,16,50.0,11,34.4,520,2394,1398,37,26,2,31,18,574,50
Steve Cook,ENG,DF,31,1991,10.6,559,100,321,220,19,10,559,1,1,100.0,0,0.0,284,1293,577,1,3,0,3,2,350,0
Taiwo Awoniyi,NGA,FW,24,1997,15.6,434,22,62,177,203,55,434,23,9,39.1,11,47.8,246,1269,530,18,13,9,68,29,284,55
Wayne Hennessey,WAL,GK,35,1987,3.0,108,91,108,0,0,0,108,0,0,,0,,56,318,181,0,0,0,0,0,47,0
Willy Boly,CIV,DF,31,1991,7.6,353,69,239,101,15,9,353,2,1,50.0,0,0.0,171,769,355,1,1,0,2,0,182,0
