General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Dean Henderson,ENG,GK,25,1997,18.0,31,2,1,5,0,26.9,0.28,-4.1,-0.23,108,334,32.3,513,107,47.2,38.5,156,59.0,45.3,291,20,6.9,27,1.5,15.6
Keylor Navas,CRC,GK,35,1986,17.0,32,4,1,3,0,29.3,0.32,-2.7,-0.16,106,320,33.1,378,65,56.3,41.3,151,70.9,48.1,295,14,4.7,9,0.53,9.0
Wayne Hennessey,WAL,GK,35,1987,3.0,5,0,0,1,0,3.9,0.28,-1.1,-0.36,23,58,39.7,72,13,54.2,43.2,25,76.0,54.5,35,1,2.9,2,0.66,17.0
