General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Aaron Wan-Bissaka,ENG,DF,24,1997,15.9,840,715,123,4,2,2,14,119,0,0,0,0,706,2,22
Alejandro Garnacho,ARG,"FW,MF",18,2004,6.3,187,187,0,0,0,2,2,0,0,0,0,0,150,0,7
Anthony Elanga,SWE,FW,20,2002,4.7,130,127,3,0,0,1,7,2,0,0,0,0,95,0,2
Anthony Martial,FRA,FW,26,1995,10.9,328,314,12,3,3,0,4,2,0,0,0,0,263,2,14
Antony,BRA,FW,22,2000,20.0,819,804,15,1,3,2,32,13,1,0,0,0,651,0,29
Bruno Fernandes,POR,"MF,FW",27,1994,36.8,2030,1838,182,32,35,36,141,24,83,20,23,2,1498,10,65
Casemiro,BRA,MF,30,1992,23.6,1439,1408,24,22,12,13,19,1,0,0,0,0,1114,7,29
Christian Eriksen,DEN,MF,30,1992,22.8,1485,1373,106,32,9,20,81,7,62,27,16,2,1203,6,28
Cristiano Ronaldo,POR,FW,37,1985,5.8,162,157,5,0,2,1,3,1,0,0,0,0,121,0,10
David de Gea,ESP,GK,31,1990,38.0,1218,968,243,64,1,3,0,0,0,0,0,0,866,7,1
Diogo Dalot,POR,DF,23,1999,23.9,1441,1216,219,17,3,20,44,202,0,0,0,0,1141,6,35
Donny van de Beek,NED,MF,25,1997,1.9,61,56,3,0,0,0,0,0,1,0,0,0,46,2,4
Facundo Pellistri,URU,"FW,MF",20,2001,0.7,16,15,1,0,0,0,0,1,0,0,0,0,15,0,0
Fred,BRA,MF,29,1993,13.9,781,761,16,9,7,1,14,1,3,0,1,0,618,4,26
Harry Maguire,ENG,DF,29,1993,8.5,577,564,12,11,0,9,1,1,0,0,0,0,491,1,3
Jadon Sancho,ENG,"FW,MF",22,2000,18.7,776,760,14,0,4,3,17,8,5,2,0,0,647,2,28
Kobbie Mainoo,ENG,MF,17,2005,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
Lisandro Martínez,ARG,DF,24,1998,23.5,1528,1401,122,34,7,16,0,5,0,0,0,0,1330,5,7
Luke Shaw,ENG,DF,27,1995,28.4,2098,1792,297,36,2,13,89,195,38,20,7,0,1757,9,37
Marcel Sabitzer,AUT,MF,28,1994,7.0,307,293,9,4,2,3,4,2,1,0,0,0,237,5,7
Marcus Rashford,ENG,FW,24,1997,32.0,817,790,22,2,2,6,24,9,0,0,0,0,627,5,31
Raphaël Varane,FRA,DF,29,1993,21.2,1106,1073,30,27,2,4,1,3,0,0,0,0,954,3,6
Scott McTominay,SCO,MF,25,1996,12.9,432,426,5,3,3,3,4,1,0,0,0,0,355,1,6
Tyrell Malacia,NED,DF,22,1999,15.5,802,670,130,11,0,5,15,117,2,2,0,0,694,2,16
Victor Lindelöf,SWE,DF,28,1994,15.2,930,905,25,13,2,1,1,1,0,0,0,0,866,0,1
Wout Weghorst,NED,"FW,MF",29,1992,8.9,207,206,1,0,4,1,0,0,0,0,0,0,151,0,6
