General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Aaron Wan-Bissaka,ENG,DF,24,1997,15.9,0,10,2,20.0,0.63,0.13,0.0,0.0,14.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2
Alejandro Garnacho,ARG,"FW,MF",18,2004,6.3,3,24,9,37.5,3.8,1.42,0.13,0.33,16.3,0,0,0,3.0,3.0,0.13,0.0,0.0
Anthony Elanga,SWE,FW,20,2002,4.7,0,10,4,40.0,2.11,0.85,0.0,0.0,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Anthony Martial,FRA,FW,26,1995,10.9,6,26,12,46.2,2.39,1.1,0.19,0.42,13.2,0,1,1,6.2,5.5,0.21,-0.2,-0.5
Antony,BRA,FW,22,2000,20.0,4,72,24,33.3,3.6,1.2,0.06,0.17,19.6,0,0,0,6.6,6.6,0.09,-2.6,-2.6
Bruno Fernandes,POR,"MF,FW",27,1994,36.8,8,90,32,35.6,2.44,0.87,0.07,0.19,20.8,6,2,2,9.3,7.7,0.09,-1.3,-1.7
Casemiro,BRA,MF,30,1992,23.6,4,34,11,32.4,1.44,0.47,0.12,0.36,21.6,0,0,0,3.4,3.4,0.1,0.6,0.6
Christian Eriksen,DEN,MF,30,1992,22.8,1,39,11,28.2,1.71,0.48,0.03,0.09,19.3,4,0,0,5.0,5.0,0.13,-4.0,-4.0
Cristiano Ronaldo,POR,FW,37,1985,5.8,1,25,6,24.0,4.29,1.03,0.04,0.17,17.7,1,0,0,1.9,1.9,0.08,-0.9,-0.9
David de Gea,ESP,GK,31,1990,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Diogo Dalot,POR,DF,23,1999,23.9,1,22,7,31.8,0.92,0.29,0.05,0.14,19.9,0,0,0,2.5,2.5,0.11,-1.5,-1.5
Donny van de Beek,NED,MF,25,1997,1.9,0,2,0,0.0,1.08,0.0,0.0,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Facundo Pellistri,URU,"FW,MF",20,2001,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fred,BRA,MF,29,1993,13.9,2,26,5,19.2,1.87,0.36,0.08,0.4,19.5,0,0,0,2.0,2.0,0.08,0.0,0.0
Harry Maguire,ENG,DF,29,1993,8.5,0,3,0,0.0,0.35,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Jadon Sancho,ENG,"FW,MF",22,2000,18.7,6,21,9,42.9,1.12,0.48,0.29,0.67,14.1,0,0,0,4.2,4.2,0.2,1.8,1.8
Kobbie Mainoo,ENG,MF,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lisandro Martínez,ARG,DF,24,1998,23.5,1,10,1,10.0,0.43,0.04,0.1,1.0,14.8,0,0,0,0.5,0.5,0.05,0.5,0.5
Luke Shaw,ENG,DF,27,1995,28.4,1,14,4,28.6,0.49,0.14,0.07,0.25,18.7,1,0,0,1.1,1.1,0.08,-0.1,-0.1
Marcel Sabitzer,AUT,MF,28,1994,7.0,0,11,3,27.3,1.58,0.43,0.0,0.0,18.2,1,0,0,0.7,0.7,0.07,-0.7,-0.7
Marcus Rashford,ENG,FW,24,1997,32.0,17,108,49,45.4,3.38,1.53,0.16,0.35,16.4,7,0,0,15.4,15.4,0.15,1.6,1.6
Raphaël Varane,FRA,DF,29,1993,21.2,0,8,4,50.0,0.38,0.19,0.0,0.0,11.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Scott McTominay,SCO,MF,25,1996,12.9,1,13,6,46.2,1.01,0.47,0.08,0.17,14.9,0,0,0,1.9,1.9,0.15,-0.9,-0.9
Tyrell Malacia,NED,DF,22,1999,15.5,0,5,2,40.0,0.32,0.13,0.0,0.0,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Victor Lindelöf,SWE,DF,28,1994,15.2,0,3,0,0.0,0.2,0.0,0.0,,7.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Wout Weghorst,NED,"FW,MF",29,1992,8.9,0,14,5,35.7,1.58,0.56,0.0,0.0,12.5,0,0,0,2.0,2.0,0.14,-2.0,-2.0
