General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alejandro Alfaro,ESP,MF,20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Axel Werner,ARG,GK,26,1996,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Carlos Clerc,ESP,"DF,MF",30,1992,29.3,75,51,55,16,4,31,50,62.0,19,29,7,22,28,103,94,1
Carmona,ESP,"MF,DF",20,2002,6.5,16,9,7,6,3,6,16,37.5,10,14,2,12,8,24,9,0
Diego González,ESP,DF,27,1995,10.6,12,7,9,3,0,7,11,63.6,4,14,12,2,7,19,50,1
Domingos Quina,POR,MF,22,1999,3.1,3,2,2,1,0,1,3,33.3,2,5,0,5,3,6,1,0
Enzo Roco,CHI,DF,29,1992,18.4,33,13,23,10,0,15,24,62.5,9,22,15,7,17,50,63,1
Ezequiel Ponce,ARG,"FW,MF",25,1997,12.5,9,7,0,6,3,0,7,0.0,7,6,1,5,1,10,13,0
Federico Fernández,ARG,DF,33,1989,1.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,12,0
Fidel,ESP,"MF,FW",32,1989,19.0,15,10,8,5,2,4,38,10.5,34,9,0,9,5,20,8,0
Gerard Gumbau,ESP,MF,27,1994,30.4,44,25,17,23,4,18,51,35.3,33,32,8,24,28,72,40,0
Gonzalo Verdú,ESP,DF,33,1988,7.8,10,5,8,2,0,4,8,50.0,4,8,6,2,10,20,33,0
Helibelton Palacios,COL,DF,29,1993,21.3,38,20,21,15,2,19,26,73.1,7,26,12,14,20,58,55,0
Javier Pastore,ARG,MF,33,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Johan Mojica,COL,"DF,MF",29,1992,3.0,6,3,5,1,0,2,3,66.7,1,3,2,1,4,10,5,0
John Donald,ESP,"MF,DF",21,2000,12.1,20,11,9,9,2,7,14,50.0,7,14,7,7,14,34,23,1
Josan,ESP,"DF,MF",32,1989,12.0,25,20,20,5,0,14,27,51.9,13,8,0,8,7,32,15,1
Lautaro Blanco,ARG,"DF,MF",23,1999,9.7,16,9,10,4,2,9,26,34.6,17,8,1,7,2,18,10,1
Lisandro Magallán,ARG,DF,28,1993,10.0,19,11,11,5,3,10,12,83.3,2,14,5,9,13,32,30,1
Lucas Boyé,ARG,FW,26,1996,27.4,36,16,12,16,8,17,35,48.6,18,33,5,28,15,51,46,0
Nicolás Ezequiel Fernández,ARG,"MF,DF",22,2000,5.7,23,12,10,7,6,9,17,52.9,8,7,0,7,5,28,2,1
Omar Mascarell,EQG,"MF,DF",29,1993,27.2,53,26,32,19,2,31,64,48.4,33,51,19,32,45,98,54,1
Pape Cheikh Diop,SEN,MF,24,1997,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Pedro Bigas,ESP,DF,31,1990,22.4,37,20,30,7,0,18,29,62.1,11,25,14,11,33,70,95,0
Pere Milla,ESP,"FW,MF",29,1992,20.5,31,20,18,8,5,14,41,34.1,27,18,3,15,9,40,19,1
Pol Lirola,ESP,DF,24,1997,7.0,13,6,9,3,1,8,13,61.5,5,3,2,1,7,20,16,0
Randy Nteka,ANG,"FW,MF",24,1997,8.1,15,10,7,6,2,2,11,18.2,9,15,3,12,4,19,9,0
Raúl Guti,ESP,MF,25,1996,12.4,18,12,8,9,1,8,18,44.4,10,10,3,7,8,26,6,0
Roger Martí,ESP,FW,31,1991,7.3,5,2,3,2,0,1,5,20.0,4,4,0,4,1,6,7,0
Tete Morente,ESP,"MF,DF",25,1996,23.0,33,21,18,13,2,15,36,41.7,21,23,3,20,25,58,28,0
Álex Collado,ESP,MF,23,1999,8.1,26,14,13,11,2,8,13,61.5,5,12,1,11,2,28,4,0
Édgar Badía,ESP,GK,30,1992,36.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,19,3
