General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Alejandro Alfaro,ESP,MF,20,2002,0.2,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Axel Werner,ARG,GK,26,1996,2.0,52,70,74.3,1421,813,4,4,100.0,34,35,97.1,14,30,46.7,0,0.0,0.0,0.0,0,1,0,0,0
Carlos Clerc,ESP,"DF,MF",30,1992,29.3,1040,1397,74.4,16100,6659,563,638,88.2,392,495,79.2,63,179,35.2,1,2.1,2.0,-1.1,16,78,18,9,107
Carmona,ESP,"MF,DF",20,2002,6.5,129,186,69.4,1917,729,81,100,81.0,37,54,68.5,8,16,50.0,0,0.1,0.2,-0.1,4,6,2,0,10
Diego González,ESP,DF,27,1995,10.6,299,382,78.3,6351,2599,80,92,87.0,164,183,89.6,47,90,52.2,0,0.0,0.0,0.0,0,16,1,0,13
Domingos Quina,POR,MF,22,1999,3.1,122,147,83.0,2173,674,54,60,90.0,56,62,90.3,10,15,66.7,0,0.4,0.5,-0.4,3,16,4,1,17
Enzo Roco,CHI,DF,29,1992,18.4,587,719,81.6,11519,4677,189,222,85.1,311,346,89.9,75,119,63.0,0,0.0,0.3,0.0,1,43,4,0,42
Ezequiel Ponce,ARG,"FW,MF",25,1997,12.5,218,292,74.7,2610,432,148,179,82.7,34,50,68.0,12,18,66.7,0,0.7,0.3,-0.7,11,21,4,0,19
Federico Fernández,ARG,DF,33,1989,1.0,8,14,57.1,204,130,1,2,50.0,5,8,62.5,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,0
Fidel,ESP,"MF,FW",32,1989,19.0,631,897,70.3,10113,3511,364,429,84.8,173,238,72.7,64,132,48.5,2,2.3,2.5,-0.3,28,89,15,1,139
Gerard Gumbau,ESP,MF,27,1994,30.4,1112,1446,76.9,22189,7192,458,523,87.6,414,484,85.5,204,337,60.5,6,6.2,6.1,-0.2,73,124,24,12,145
Gonzalo Verdú,ESP,DF,33,1988,7.8,269,338,79.6,5668,1965,65,75,86.7,172,186,92.5,31,70,44.3,0,0.0,0.1,0.0,0,8,0,0,13
Helibelton Palacios,COL,DF,29,1993,21.3,623,835,74.6,10355,5114,309,344,89.8,245,320,76.6,54,126,42.9,0,0.7,0.9,-0.7,7,49,7,4,51
Javier Pastore,ARG,MF,33,1989,0.1,6,8,75.0,81,49,3,3,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Johan Mojica,COL,"DF,MF",29,1992,3.0,127,178,71.3,1917,658,64,73,87.7,54,69,78.3,5,21,23.8,0,0.3,0.2,-0.3,3,5,4,1,9
John Donald,ESP,"MF,DF",21,2000,12.1,356,427,83.4,5839,1808,168,192,87.5,155,179,86.6,22,30,73.3,0,0.1,0.1,-0.1,2,23,0,0,23
Josan,ESP,"DF,MF",32,1989,12.0,424,539,78.7,7003,2471,226,252,89.7,147,183,80.3,38,73,52.1,3,1.6,0.6,1.4,15,29,13,8,39
Lautaro Blanco,ARG,"DF,MF",23,1999,9.7,235,416,56.5,4363,2284,117,141,83.0,85,139,61.2,32,107,29.9,2,1.5,1.3,0.5,12,19,17,10,28
Lisandro Magallán,ARG,DF,28,1993,10.0,325,391,83.1,6440,2695,110,121,90.9,168,191,88.0,42,67,62.7,0,0.1,0.2,-0.1,2,16,1,1,16
Lucas Boyé,ARG,FW,26,1996,27.4,510,650,78.5,7080,1364,292,338,86.4,140,169,82.8,32,39,82.1,2,2.9,1.6,-0.9,29,35,22,5,63
Nicolás Ezequiel Fernández,ARG,"MF,DF",22,2000,5.7,178,240,74.2,2850,1150,101,110,91.8,47,61,77.0,21,43,48.8,1,0.8,1.1,0.2,13,14,16,10,29
Omar Mascarell,EQG,"MF,DF",29,1993,27.2,1091,1270,85.9,20666,6208,429,469,91.5,513,560,91.6,132,201,65.7,1,1.1,1.2,-0.1,20,101,4,1,116
Pape Cheikh Diop,SEN,MF,24,1997,0.4,14,19,73.7,222,71,8,9,88.9,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1
Pedro Bigas,ESP,DF,31,1990,22.4,843,1053,80.1,16786,7505,284,314,90.4,449,500,89.8,100,200,50.0,0,0.0,0.3,0.0,0,63,1,1,83
Pere Milla,ESP,"FW,MF",29,1992,20.5,410,585,70.1,6190,1742,224,283,79.2,127,169,75.1,34,63,54.0,1,1.2,1.5,-0.2,14,53,10,2,65
Pol Lirola,ESP,DF,24,1997,7.0,240,325,73.8,3762,1309,135,154,87.7,79,107,73.8,16,38,42.1,0,0.7,0.6,-0.7,6,10,3,2,19
Randy Nteka,ANG,"FW,MF",24,1997,8.1,118,171,69.0,1458,339,76,101,75.2,22,32,68.8,7,14,50.0,0,0.9,0.7,-0.9,6,8,3,0,13
Raúl Guti,ESP,MF,25,1996,12.4,327,409,80.0,4925,1368,194,217,89.4,87,103,84.5,30,52,57.7,0,0.1,0.3,-0.1,2,26,6,1,32
Roger Martí,ESP,FW,31,1991,7.3,118,160,73.8,1447,357,72,82,87.8,22,32,68.8,7,13,53.8,1,0.7,0.4,0.3,10,7,3,2,7
Tete Morente,ESP,"MF,DF",25,1996,23.0,571,785,72.7,8632,2680,342,395,86.6,166,228,72.8,44,87,50.6,0,1.1,1.6,-1.1,16,44,19,9,63
Álex Collado,ESP,MF,23,1999,8.1,276,336,82.1,4177,909,164,177,92.7,77,92,83.7,24,36,66.7,1,1.6,1.6,-0.6,20,25,10,2,34
