Group,Metric,Model MAE,Model MSE,Baseline MAE,Baseline MSE
Overall,General,5.31,171.81,7.36,136.49
Bottom 25%,points,1.68,3.87,3.05,36.93
Middle 50%,points,4.38,64.78,7.65,122.49
Top 25%,points,11.73,572.25,12.75,294.34
Bottom 25%,cost,3.12,30.47,6.39,104.84
Middle 50%,cost,3.64,34.27,5.89,86.3
Top 25%,cost,10.92,587.1,11.15,264.04
