Group,Metric,Model MAE,Model MSE,Baseline MAE,Baseline MSE
Overall,General,12.98,440.69,7.36,136.49
Bottom 25%,points,6.19,81.9,3.05,36.93
Middle 50%,points,11.59,239.68,7.65,122.49
Top 25%,points,24.45,1251.72,12.75,294.34
Bottom 25%,cost,8.42,155.04,6.39,104.84
Middle 50%,cost,8.94,168.75,5.89,86.3
Top 25%,cost,25.67,1269.22,11.15,264.04
