Group,Metric,Model MAE,Model MSE,Baseline MAE,Baseline MSE
Overall,General,5.45,158.32,7.36,136.49
Bottom 25%,points,2.45,6.91,3.05,36.93
Middle 50%,points,4.29,63.17,7.65,122.49
Top 25%,points,11.4,517.19,12.75,294.34
Bottom 25%,cost,3.39,29.08,6.39,104.84
Middle 50%,cost,3.77,30.15,5.89,86.3
Top 25%,cost,10.93,542.35,11.15,264.04
